ablation_id,metric_name,group,case_count,dice_delta_mean,hd95_delta_mean,component_count_delta_mean,remote_fp_delta_mean
no_proto_dictionary,myops_edema,CenterC,4,-0.25584898392758076,167.25440232344653,434.25,420.75
no_proto_dictionary,myops_edema,remote_fp_baseline_positive,1,-0.15621877052602468,145.3930823025191,208.0,203.0
no_proto_dictionary,myops_scar,all_cases,12,-0.257238060876406,129.2531660105511,66.41666666666667,61.333333333333336
no_proto_dictionary,myops_scar,t2_present,7,-0.40965534605969633,164.12593455588316,98.71428571428571,95.57142857142857
no_proto_dictionary,myops_scar,no_t2,5,-0.04385386161979954,68.22582105622,21.2,13.4
no_proto_dictionary,myops_scar,CenterC,4,-0.5369876920548785,210.16404826982935,157.5,155.25
no_proto_dictionary,myops_scar,remote_fp_baseline_positive,5,-0.2635984141540535,119.36657942352775,35.6,31.0
residual_zero_gate_measured,myops_edema,all_cases,12,0.0,0.0,0.0,0.0
residual_zero_gate_measured,myops_edema,t2_present,7,0.0,0.0,0.0,0.0
residual_zero_gate_measured,myops_edema,no_t2,5,0.0,0.0,0.0,0.0
residual_zero_gate_measured,myops_edema,CenterC,4,0.0,0.0,0.0,0.0
residual_zero_gate_measured,myops_edema,remote_fp_baseline_positive,1,0.0,0.0,0.0,0.0
residual_zero_gate_measured,myops_scar,all_cases,12,0.0,0.0,0.0,0.0
residual_zero_gate_measured,myops_scar,t2_present,7,0.0,0.0,0.0,0.0
residual_zero_gate_measured,myops_scar,no_t2,5,0.0,0.0,0.0,0.0
residual_zero_gate_measured,myops_scar,CenterC,4,0.0,0.0,0.0,0.0
residual_zero_gate_measured,myops_scar,remote_fp_baseline_positive,5,0.0,0.0,0.0,0.0
