ablation_id,case_id,center,modality_group,t2_present,metric_name,class_id,proposal_threshold,proposal_recall,proposal_precision,lesion_wise_recall,proposal_component_count,proposal_small_fp_count,proposal_remote_fp_count,pred_component_count,pred_remote_fp_count,roi_mean,roi_max,crop_mask_volume_ratio,residual_abs_mean
m3_trained,Case1029,CenterA,LGE-only,False,myops_scar,5,0.5,0.864957264957265,0.02530506101220244,1.0,102,74,75,98,73,0.012325196526944637,0.8772355914115906,0.5081787109375,3.101428270339966
m3_trained,Case1029,CenterA,LGE-only,False,myops_edema,4,0.5,,,,0,0,0,0,0,0.00022475933656096458,0.005986067000776529,0.0,0.0
m3_trained,Case1045,CenterA,LGE-only,False,myops_scar,5,0.5,0.239247311827957,0.11596091205211727,0.5714285714285714,33,22,2,32,2,0.004637501668184996,0.692459225654602,0.1697540283203125,1.1823573112487793
m3_trained,Case1045,CenterA,LGE-only,False,myops_edema,4,0.5,,,,0,0,0,0,0,0.0001878371404018253,0.0059114317409694195,0.0,0.0
m3_trained,Case2002,CenterB,C0+LGE+T2,True,myops_scar,5,0.5,0.4649298597194389,0.31120053655264923,1.0,23,16,16,19,14,0.007383651100099087,0.719795286655426,1.0,7.234425067901611
m3_trained,Case2002,CenterB,C0+LGE+T2,True,myops_edema,4,0.5,0.3720159151193634,0.07834101382488479,0.4,167,110,144,124,112,0.015571178868412971,0.7162891626358032,1.0,3.652545690536499
m3_trained,Case2008,CenterB,C0+LGE+T2,True,myops_scar,5,0.5,0.3188976377952756,0.31486880466472306,1.0,28,19,19,20,14,0.00972706638276577,0.7322428822517395,0.34367488110678773,2.436732530593872
m3_trained,Case2008,CenterB,C0+LGE+T2,True,myops_edema,4,0.5,0.501526505689703,0.186712130605497,0.4,121,80,95,108,87,0.01870490424335003,0.7514747977256775,1.0,3.615800380706787
m3_trained,Case2031,CenterB,C0+LGE+T2,True,myops_scar,5,0.5,0.6585648148148148,0.5800203873598369,1.0,11,5,6,13,6,0.010024133138358593,0.8347235321998596,0.3808684607446217,3.1423563957214355
m3_trained,Case2031,CenterB,C0+LGE+T2,True,myops_edema,4,0.5,0.07166123778501629,0.0030500485234992375,0.23076923076923078,122,74,95,107,80,0.016652541235089302,0.6808422207832336,1.0,3.6035897731781006
