case_id,attempted_pairs,terminal_pairs,passed_pairs,pair_pass_fraction,passed_nonreference_frames,case_pass,full_case_denominator,full_case_pass_count,full_case_pass_fraction,registration_gate
Case1001,5,5,5,1.0,5,true,12,12,1.0,PASS
Case1002,5,5,5,1.0,5,true,12,12,1.0,PASS
Case1003,5,5,5,1.0,5,true,12,12,1.0,PASS
Case1004,5,5,5,1.0,5,true,12,12,1.0,PASS
Case1005,5,5,5,1.0,5,true,12,12,1.0,PASS
Case1006,5,5,5,1.0,5,true,12,12,1.0,PASS
Case2001,5,5,5,1.0,5,true,12,12,1.0,PASS
Case2002,5,5,5,1.0,5,true,12,12,1.0,PASS
Case2003,5,5,5,1.0,5,true,12,12,1.0,PASS
Case2004,5,5,5,1.0,5,true,12,12,1.0,PASS
Case2005,5,5,5,1.0,5,true,12,12,1.0,PASS
Case2006,5,5,5,1.0,5,true,12,12,1.0,PASS
