epoch,mean_loss,max_loss,loss_is_finite,scar_changed_voxels_train_patches,no_t2_new_edema_voxels_train_patches
1,0.23299969987322885,0.5226017236709595,True,5214,8
2,0.2219927469144265,0.5459204912185669,True,4791,5
3,0.2260329193621874,0.5216494202613831,True,4507,3
4,0.21980594494690497,0.5475494861602783,True,5342,6
5,0.22790857030699652,0.5491790771484375,True,5398,0
6,0.21637540710469086,0.5508002638816833,True,5216,4
7,0.2186456104243795,0.5501560568809509,True,5184,0
8,0.22411481898278,0.5469435453414917,True,5795,1
9,0.20902248434722423,0.5098180770874023,True,5627,1
10,0.22440535247325896,0.5352749228477478,True,5256,0
11,0.22380778931081294,0.5504685044288635,True,5813,2
12,0.22668617131809393,0.5345587730407715,True,5411,0
13,0.2226146526262164,0.5127476453781128,True,5322,0
14,0.22408880771448214,0.5199448466300964,True,5047,2
15,0.22696365254620712,0.5115354657173157,True,5637,0
16,0.2261572460581859,0.5487909317016602,True,5339,2
17,0.2146532119313876,0.5414345860481262,True,5950,2
18,0.22913161755849917,0.5489640235900879,True,5067,0
19,0.22184077909837166,0.5128558278083801,True,5278,0
20,0.2250026265035073,0.547285795211792,True,5555,0
21,0.21668599932144086,0.5434253215789795,True,5358,0
22,0.21521853218475978,0.5488020777702332,True,5332,1
23,0.21470471821725368,0.5482497215270996,True,4769,1
24,0.22736458150049052,0.5163128972053528,True,5305,0
25,0.21679939590394498,0.5149564743041992,True,5784,0
26,0.2207360215112567,0.5150018334388733,True,5928,0
27,0.22125655462344487,0.5431771278381348,True,5417,0
28,0.213858048679928,0.5178437232971191,True,5054,0
29,0.21462856760869423,0.5082552433013916,True,4831,0
30,0.21745212220897278,0.548809826374054,True,4729,0
31,0.2144583042462667,0.5135368704795837,True,5307,0
32,0.21761014411846796,0.5458555817604065,True,5614,0
33,0.2155368444696069,0.5163623690605164,True,5332,0
34,0.21612003962198892,0.5505373477935791,True,4944,0
35,0.21441317425419887,0.4774523675441742,True,4762,0
36,0.2114552490413189,0.5489963889122009,True,4655,0
37,0.2187620743488272,0.5068504214286804,True,4291,0
38,0.21758924501637616,0.5485754609107971,True,4388,0
39,0.21322341537723938,0.5442981123924255,True,4198,0
40,0.2186946015432477,0.5444992184638977,True,4776,0
41,0.21216020779063305,0.5035670399665833,True,5048,0
42,0.21585977303485077,0.5492456555366516,True,4973,0
43,0.20847380780925354,0.5184570550918579,True,4956,0
44,0.21911777128775914,0.5055995583534241,True,5015,0
45,0.2244834282497565,0.5161646604537964,True,4840,0
46,0.21411076140900454,0.5032809972763062,True,4801,0
47,0.21698435060679913,0.5490821599960327,True,4744,0
48,0.21478435480346283,0.5493953227996826,True,5283,0
49,0.21358591433614493,0.5103260278701782,True,5516,0
50,0.20125360881288845,0.4939371347427368,True,4833,0
51,0.21715811520814896,0.5052592158317566,True,4743,0
52,0.21678939674049616,0.5498936176300049,True,4782,0
53,0.20888652640084426,0.5057749152183533,True,4915,0
54,0.21577409505844117,0.5161282420158386,True,4670,0
55,0.215370506507655,0.5142636299133301,True,4567,1
56,0.22023985495169957,0.5256476998329163,True,4918,0
57,0.20983125288039445,0.5056331753730774,True,5162,0
58,0.21809455254425605,0.5203902125358582,True,4902,0
59,0.2107237652440866,0.5108168125152588,True,4812,0
60,0.21005807064473628,0.5466364622116089,True,4913,0
61,0.21846981942653657,0.5138579607009888,True,4843,0
62,0.21794718727469445,0.548736035823822,True,4819,0
63,0.21631688343981903,0.5490201115608215,True,5154,0
64,0.21613767982770998,0.5235283970832825,True,4335,0
65,0.21830017697066068,0.5478016138076782,True,4955,0
66,0.21464985240250825,0.5113954544067383,True,4632,0
67,0.21708526937911907,0.5477414131164551,True,5028,0
68,0.21570760230223338,0.5487444996833801,True,4728,0
69,0.21566042489061754,0.5097965598106384,True,4659,0
70,0.20876150737206142,0.547558069229126,True,4803,0
71,0.20740140507618587,0.5101653933525085,True,4532,0
72,0.21567554485052823,0.5171598792076111,True,4862,0
73,0.21776499216755232,0.5178459882736206,True,4704,0
74,0.2093651611233751,0.5209121108055115,True,4924,0
75,0.2132729967435201,0.5456928610801697,True,4591,0
76,0.20958739543954533,0.549244225025177,True,4821,0
77,0.21349761250118415,0.5322995781898499,True,4862,0
78,0.22119321675350267,0.5469827055931091,True,4414,0
79,0.21532675399134557,0.5466592907905579,True,4887,0
80,0.2099162679289778,0.545261561870575,True,4984,0
81,0.21167163991679747,0.5000377297401428,True,4882,0
82,0.21103519766281048,0.5483686923980713,True,4681,0
83,0.22625954945882162,0.5119453072547913,True,4461,0
84,0.21503513588259618,0.5488450527191162,True,4871,1
85,0.20832222163677216,0.5477699041366577,True,5004,0
86,0.2146807545920213,0.5331164598464966,True,5079,0
87,0.22055804390460254,0.5204363465309143,True,4578,2
88,0.21430577619622151,0.5457127690315247,True,4832,0
89,0.21755483400076628,0.5488234162330627,True,4826,0
90,0.22402553439140319,0.5417478084564209,True,5065,3
