phase,inherited_terminal_state,inheritance_status
alignment_control,COMPLETED(0:0),INHERITED_TERMINAL_RUNTIME_EVIDENCE
d1_spatial_br2,COMPLETED(0:0),INHERITED_TERMINAL_RUNTIME_EVIDENCE
d2_hierarchical_psip,COMPLETED(0:0),INHERITED_TERMINAL_RUNTIME_EVIDENCE
d3_full_propref,COMPLETED(0:0),INHERITED_TERMINAL_RUNTIME_EVIDENCE
hard_negative_refresh,COMPLETED(0:0),INHERITED_TERMINAL_RUNTIME_EVIDENCE
no_context_control,COMPLETED(0:0),INHERITED_TERMINAL_RUNTIME_EVIDENCE
d0_control,COMPLETED(0:0),INHERITED_TERMINAL_RUNTIME_EVIDENCE_FROM_RETRY4
