phase,variant,checkpoint_name,decode_mode,metric_name,case_metric_rows,case_count,dice_mean,hd95_mean,hd95_worst,remote_fp_mean,status
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_16660,argmax,myops_edema,44,44,0.6810778298451792,53.52897080080505,198.20330371901994,45.09090909090909,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_16660,pathology_aware,myops_scar,44,44,0.38339123151676885,75.68766018786658,232.3664631807917,35.13636363636363,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_16660,pathology_aware,myops_edema,44,44,0.6752278279100615,56.783219754415995,201.30767236268417,84.3409090909091,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_18000,argmax,myops_scar,44,44,0.3709850567890587,89.87654511614949,236.0347929951661,23.954545454545453,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_18000,argmax,myops_edema,44,44,0.6800571216705706,53.20581919399934,184.92755419770347,37.88636363636363,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_18000,pathology_aware,myops_scar,44,44,0.36743759186840685,93.0190937691726,236.63031607466849,30.954545454545453,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_18000,pathology_aware,myops_edema,44,44,0.6695450988893158,56.32096334927888,185.95906566617347,75.29545454545455,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_18326,argmax,myops_scar,44,44,0.3705466159052815,82.06654130028143,232.23680108312698,40.09090909090909,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_18326,argmax,myops_edema,44,44,0.6838083734488994,53.44316497254692,188.81233868111426,41.02272727272727,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_18326,pathology_aware,myops_scar,44,44,0.3678400388601013,90.79070957302233,234.3052814043832,47.56818181818182,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_18326,pathology_aware,myops_edema,44,44,0.6747401712426482,55.93172839784716,188.4715523117742,82.04545454545455,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_19992,argmax,myops_scar,44,44,0.39016599744325525,84.34298477464257,233.9540081515819,32.09090909090909,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_19992,argmax,myops_edema,44,44,0.686218722753209,51.6002266630095,189.67400381994963,43.31818181818182,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_19992,pathology_aware,myops_scar,44,44,0.37778422081832885,91.94188662936823,235.20560118100656,47.88636363636363,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_19992,pathology_aware,myops_edema,44,44,0.6746946699792514,55.87839063632745,190.46592715041535,90.27272727272727,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_20000,argmax,myops_scar,44,44,0.3898452710620867,82.60460290355014,233.86866794749085,27.5,RUNTIME_METRICS
