phase,checkpoint_name,eligible,case_count,exclusion_reason
d3_full_propref,checkpoint_validation_step_26585,True,44,
d3_full_propref,checkpoint_validation_step_27000,True,44,
d3_full_propref,checkpoint_validation_step_28630,True,44,
d3_full_propref,checkpoint_validation_step_30675,True,44,
d3_full_propref,checkpoint_validation_step_32720,True,44,
d3_full_propref,checkpoint_validation_step_34765,True,44,
d3_full_propref,checkpoint_validation_step_36810,True,44,
d3_full_propref,checkpoint_validation_step_38855,True,44,
d3_full_propref,checkpoint_validation_step_40500,True,44,
d3_full_propref,checkpoint_validation_step_40900,True,44,
d3_full_propref,checkpoint_validation_step_42945,True,44,
d3_full_propref,checkpoint_validation_step_44990,True,44,
d3_full_propref,checkpoint_validation_step_45000,True,44,
d3_full_propref,checkpoint_best,True,44,
d3_full_propref,checkpoint_final,True,44,
hard_negative_refresh,checkpoint_validation_step_2000,True,44,
hard_negative_refresh,checkpoint_validation_step_4000,True,44,
hard_negative_refresh,checkpoint_validation_step_6000,True,44,
hard_negative_refresh,checkpoint_validation_step_8000,True,44,
hard_negative_refresh,checkpoint_validation_step_10000,True,44,
hard_negative_refresh,checkpoint_validation_step_12000,True,44,
hard_negative_refresh,checkpoint_validation_step_14000,True,44,
hard_negative_refresh,checkpoint_validation_step_16000,True,44,
hard_negative_refresh,checkpoint_validation_step_18000,True,44,
hard_negative_refresh,checkpoint_validation_step_20000,True,44,
hard_negative_refresh,checkpoint_best,True,44,
hard_negative_refresh,checkpoint_final,True,44,
no_context_control,checkpoint_validation_step_2000,True,44,
no_context_control,checkpoint_validation_step_4000,True,44,
no_context_control,checkpoint_validation_step_6000,True,44,
no_context_control,checkpoint_validation_step_8000,True,44,
no_context_control,checkpoint_validation_step_10000,True,44,
no_context_control,checkpoint_validation_step_12000,True,44,
no_context_control,checkpoint_validation_step_14000,True,44,
no_context_control,checkpoint_validation_step_16000,True,44,
no_context_control,checkpoint_validation_step_18000,True,44,
no_context_control,checkpoint_validation_step_20000,True,44,
no_context_control,checkpoint_best,True,44,
no_context_control,checkpoint_final,True,44,
alignment_control,checkpoint_validation_step_1250,True,44,
alignment_control,checkpoint_validation_step_2000,True,44,
alignment_control,checkpoint_validation_step_2500,True,44,
alignment_control,checkpoint_validation_step_3750,True,44,
alignment_control,checkpoint_validation_step_5000,True,44,
alignment_control,checkpoint_validation_step_6000,True,44,
alignment_control,checkpoint_validation_step_6250,True,44,
alignment_control,checkpoint_validation_step_7500,True,44,
alignment_control,checkpoint_validation_step_8750,True,44,
alignment_control,checkpoint_validation_step_9000,True,44,
alignment_control,checkpoint_validation_step_10000,True,44,
alignment_control,checkpoint_best,True,44,
alignment_control,checkpoint_final,True,44,
