checkpoint,mode,pathology,population,case_count,anchor_dice_mean,mode_dice_mean,dice_delta_mean,mode_hd95_mean,hd95_delta_mean,remote_fp_delta_mm3_mean,component_delta_mean,changed_voxels_mean
step_1800,anchor_identity_control,edema,positive_gt_cases,16,0.3944358976789887,0.3944358976789887,0.0,20.011536366061485,0.0,0.0,0.0,0.0
step_1800,anchor_identity_control,edema,all_case_empty_safe,44,0.3944358976789887,0.3944358976789887,0.0,7.276922314931449,0.0,0.0,0.0,0.0
step_1800,anchor_identity_control,scar,positive_gt_cases,43,0.573196419478004,0.573196419478004,0.0,13.600533414596173,0.0,0.0,0.0,0.0
step_1800,anchor_identity_control,scar,all_case_empty_safe,44,0.5601692281262312,0.5601692281262312,0.0,13.600533414596173,0.0,0.0,0.0,0.0
step_1800,anchor_bounded_full,edema,positive_gt_cases,16,0.3944358976789887,0.39511554834642215,0.0006796506674334821,20.014107268542205,0.00257090248072378,0.0,-0.0625,8.0625
step_1800,anchor_bounded_full,edema,all_case_empty_safe,44,0.3944358976789887,0.39511554834642215,0.0006796506674334821,7.2778571885608025,0.0009348736293541018,0.0,-0.022727272727272728,2.9318181818181817
step_1800,anchor_bounded_full,scar,positive_gt_cases,43,0.573196419478004,0.5745691106140334,0.0013726911360293149,13.942590919735034,0.3420575051388601,-15.075733628610523,-0.023255813953488372,22.72093023255814
step_1800,anchor_bounded_full,scar,all_case_empty_safe,44,0.5601692281262312,0.5615107217364417,0.0013414936102104668,13.942590919735034,0.3420575051388601,-14.733103318869375,-0.022727272727272728,22.204545454545453
step_1800,srr_no_anchor_control,edema,positive_gt_cases,16,0.3944358976789887,0.3122132597897274,-0.08222263788926122,151.48083933905096,131.46930297298945,38758.75538025005,83.3125,3794.8125
step_1800,srr_no_anchor_control,edema,all_case_empty_safe,44,0.3944358976789887,0.3122132597897274,-0.08222263788926122,55.083941577836704,47.80701926290526,14094.092865545472,30.295454545454547,1379.9318181818182
step_1800,srr_no_anchor_control,scar,positive_gt_cases,43,0.573196419478004,0.5390682281987214,-0.034128191279282655,17.18430041441559,3.5203393555609734,63.442526239792116,-1.0930232558139534,403.4186046511628
step_1800,srr_no_anchor_control,scar,all_case_empty_safe,44,0.5601692281262312,0.5268166775578412,-0.033352550568389865,17.18430041441559,3.5203393555609734,477.6434063252513,-1.1818181818181819,421.29545454545456
step_1800,anchor_bounded_proposal_only,edema,positive_gt_cases,16,0.3944358976789887,0.3945535795596313,0.00011768188064261408,20.01316854368492,0.0016321776234369256,0.0,0.0625,1.625
step_1800,anchor_bounded_proposal_only,edema,all_case_empty_safe,44,0.3944358976789887,0.3945535795596313,0.00011768188064261408,7.277515834067244,0.0005935191357952456,0.0,0.022727272727272728,0.5909090909090909
step_1800,anchor_bounded_proposal_only,scar,positive_gt_cases,43,0.573196419478004,0.5741677163896248,0.0009712969116208115,13.762118727353048,0.161585312756875,-6.7182843519961954,0.18604651162790697,19.674418604651162
step_1800,anchor_bounded_proposal_only,scar,all_case_empty_safe,44,0.5601692281262312,0.5611184501080424,0.0009492219818112476,13.762118727353048,0.161585312756875,-6.56559607126901,0.20454545454545456,19.272727272727273
step_1800,anchor_bounded_refiner_only,edema,positive_gt_cases,16,0.3944358976789887,0.3958267782060142,0.001390880527025535,20.015119158636004,0.0035827925745191558,4.4097900390625,-0.625,41.6875
step_1800,anchor_bounded_refiner_only,edema,all_case_empty_safe,44,0.3944358976789887,0.3958267782060142,0.001390880527025535,7.2782251485949105,0.0013028336634615112,1.6035600142045454,-0.22727272727272727,15.159090909090908
step_1800,anchor_bounded_refiner_only,scar,positive_gt_cases,43,0.573196419478004,0.5743227157644839,0.001126296286479862,14.391927056834328,0.7913936422381537,-31.348261529674122,-1.069767441860465,53.46511627906977
step_1800,anchor_bounded_refiner_only,scar,all_case_empty_safe,44,0.5601692281262312,0.5612699267698366,0.0011006986436053196,14.391927056834328,0.7913936422381537,-30.635801040363347,-1.0681818181818181,52.38636363636363
step_1800,production_gate_closed,edema,positive_gt_cases,16,0.3944358976789887,0.3944358976789887,0.0,20.011536366061485,0.0,0.0,0.0,0.0
step_1800,production_gate_closed,edema,all_case_empty_safe,44,0.3944358976789887,0.3944358976789887,0.0,7.276922314931449,0.0,0.0,0.0,0.0
step_1800,production_gate_closed,scar,positive_gt_cases,43,0.573196419478004,0.573196419478004,0.0,13.600533414596173,0.0,0.0,0.0,0.0
step_1800,production_gate_closed,scar,all_case_empty_safe,44,0.5601692281262312,0.5601692281262312,0.0,13.600533414596173,0.0,0.0,0.0,0.0
step_1800,production_gate_open_bounded_control,edema,positive_gt_cases,16,0.3944358976789887,0.39546430136245814,0.0010284036834695073,20.01486689435143,0.0033305282899487865,0.0,0.0625,17.5625
step_1800,production_gate_open_bounded_control,edema,all_case_empty_safe,44,0.3944358976789887,0.39546430136245814,0.0010284036834695073,7.278133416127795,0.0012111011963450132,0.0,0.022727272727272728,6.386363636363637
step_1800,production_gate_open_bounded_control,scar,positive_gt_cases,43,0.573196419478004,0.5745097318652562,0.001313312387252268,13.94434929694806,0.34381588235188554,-15.075733628610523,-0.023255813953488372,24.11627906976744
step_1800,production_gate_open_bounded_control,scar,all_case_empty_safe,44,0.5601692281262312,0.5614526925046823,0.0012834643784510802,13.94434929694806,0.34381588235188554,-14.733103318869375,-0.022727272727272728,23.568181818181817
