split,class_name,gt_positive_cases,teacher_dice_mean,teacher_dice_min,roi_coverage_mean,roi_coverage_min,low_roi_coverage_lt_0_95
train,myops_edema,64,0.43990640502373046,0.0,0.9983418354689411,0.9479166666666666,1
train,myops_scar,169,0.5785971267791176,0.0,0.9726579265834414,0.21724137931034482,17
train,myocardium,148,0.7634276842791146,0.4071287128712871,0.9982061611545461,0.8474364318466028,1
train,LV_blood,148,0.9287737828845274,0.7493403693931399,0.9999894862904339,0.9989788972089857,0
train,RV_blood,84,0.900704063815201,0.19444444444444445,0.9953222169817929,0.7981651376146789,1
val,myops_edema,16,0.3944358976789887,0.16291793313069908,0.9995978920167381,0.9960899315738025,0
val,myops_scar,43,0.573196419478004,0.0,0.9748229465566357,0.31412103746397696,5
val,myocardium,37,0.7197376201561059,0.4116074837724322,0.9997017696934368,0.9960513326752222,0
val,LV_blood,37,0.9210996417098183,0.6856064809677062,1.0,1.0,0
val,RV_blood,20,0.8745094308494128,0.581444975104156,0.9923847034732015,0.9003947062920826,1
all,myops_edema,80,0.43081230355478206,0.0,0.9985930467785005,0.9479166666666666,1
all,myops_scar,212,0.5775017002982313,0.0,0.9730970579930986,0.21724137931034482,22
all,myocardium,185,0.7546896714545128,0.4071287128712871,0.9985052828623242,0.8474364318466028,1
all,LV_blood,185,0.9272389546495857,0.6856064809677062,0.9999915890323472,0.9989788972089857,0
all,RV_blood,104,0.8956666343987033,0.19444444444444445,0.994757310537833,0.7981651376146789,2
