baseline_component_count_mean,baseline_dice_mean,baseline_empty_prediction_rate,baseline_hd95_mean,baseline_hd_mean,baseline_pred_gt_volume_ratio_mean,baseline_remote_fp_mean,baseline_small_fp_mean,candidate_component_count_mean,candidate_dice_mean,candidate_empty_prediction_rate,candidate_hd95_mean,candidate_hd_mean,candidate_pred_gt_volume_ratio_mean,candidate_remote_fp_mean,candidate_small_fp_mean,class_id,delta_component_count_mean_improvement,delta_dice_mean,delta_empty_prediction_rate_improvement,delta_hd95_mean_improvement,delta_hd_mean_improvement,delta_pred_gt_volume_ratio_mean,delta_remote_fp_mean_improvement,delta_small_fp_mean_improvement,group,metric_name,variant
7.714285714285714,0.5029744773313501,0.0,15.933514343740368,24.05449355554381,0.915974670131474,0.0,3.2857142857142856,7.428571428571429,0.501451442888868,0.0,15.817822900444186,24.05449355554381,1.0009472050587618,0.0,3.142857142857143,4,0.2857142857142856,-0.0015230344424821407,0.0,0.11569144329618197,0.0,0.08497253492728774,0.0,0.1428571428571428,CenterB,myops_edema,myocardium_roi_pathology_refiner
10.222222222222221,0.3100170023938187,0.0,23.18333127231124,33.92897135437405,2.1536166132195835,0.2222222222222222,6.555555555555555,11.11111111111111,0.30196930859569604,0.0,23.220333241681594,33.92059838027181,2.190813959816518,0.2222222222222222,7.111111111111111,4,-0.8888888888888893,-0.008047693798122646,0.0,-0.037001969370354715,0.008372974102236697,0.03719734659693463,0.0,-0.5555555555555554,CenterC,myops_edema,myocardium_roi_pathology_refiner
0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,LGE-only,myops_edema,myocardium_roi_pathology_refiner
3.3181818181818183,0.7797948718832686,0.6363636363636364,7.276922314931449,10.766868115413025,1.6121482631185355,0.045454545454545456,1.8636363636363635,3.4545454545454546,0.7779064517632578,0.6363636363636364,7.266085442687356,10.765155461619386,1.6702472546099998,0.045454545454545456,1.9545454545454546,4,-0.13636363636363624,-0.0018884201200107809,0.0,0.010836872244093243,0.0017126537936391628,0.05809899149146425,0.0,-0.09090909090909105,all_cases,myops_edema,myocardium_roi_pathology_refiner
9.125,0.3944358976789887,0.0,20.011536366061485,29.60888731738582,1.6121482631185355,0.125,5.125,9.5,0.3892427423489588,0.0,19.981734967390228,29.60417751945331,1.6702472546099998,0.125,5.375,4,-0.375,-0.005193155330029897,0.0,0.029801398671256862,0.004709797932509474,0.05809899149146425,0.0,-0.25,complete_modality,myops_edema,myocardium_roi_pathology_refiner
9.125,0.3944358976789887,0.0,20.011536366061485,29.60888731738582,1.6121482631185355,0.125,5.125,9.5,0.3892427423489588,0.0,19.981734967390228,29.60417751945331,1.6702472546099998,0.125,5.375,4,-0.375,-0.005193155330029897,0.0,0.029801398671256862,0.004709797932509474,0.05809899149146425,0.0,-0.25,gt_positive_only,myops_edema,myocardium_roi_pathology_refiner
0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,no_T2_empty_GT,myops_edema,myocardium_roi_pathology_refiner
9.125,0.3944358976789887,0.0,20.011536366061485,29.60888731738582,1.6121482631185355,0.125,5.125,9.5,0.3892427423489588,0.0,19.981734967390228,29.60417751945331,1.6702472546099998,0.125,5.375,4,-0.375,-0.005193155330029897,0.0,0.029801398671256862,0.004709797932509474,0.05809899149146425,0.0,-0.25,t2_present,myops_edema,myocardium_roi_pathology_refiner
2.2857142857142856,0.6131815991584468,0.0,12.440137428805636,22.295908965464097,0.9393918668686351,0.0,0.8571428571428571,2.4285714285714284,0.599319628780062,0.0,12.721447486647694,22.703602713616114,0.9172648947320475,0.0,1.1428571428571428,5,-0.1428571428571428,-0.01386197037838488,0.0,-0.28131005784205776,-0.40769374815201687,-0.02212697213658754,0.0,-0.2857142857142857,CenterB,myops_scar,myocardium_roi_pathology_refiner
1.5555555555555556,0.7556758410852353,0.0,6.799401617662012,22.899671694698274,0.958832990880399,0.3333333333333333,0.3333333333333333,1.8888888888888888,0.7529576958101724,0.0,6.737753709489932,22.833424695717117,0.9697409399668951,0.3333333333333333,0.5555555555555556,5,-0.33333333333333326,-0.0027181452750629775,0.0,0.061647908172079546,0.06624699898115693,0.010907949086496171,0.0,-0.22222222222222227,CenterC,myops_scar,myocardium_roi_pathology_refiner
