source,checkpoint,selected
official_pretrained,/users/a/e/aereinh/CARE_worktrees/route_B/results/route_B/runtime/round04/B7/59552549/B7_pretrained_adapter.pt,True
matched_random,/users/a/e/aereinh/CARE_worktrees/route_B/results/route_B/runtime/round04/B7/59552549/B7_random_adapter.pt,True
