case_id,mode,center,modality_group,t2_present,active_slice_count,all_depth_slice_count,supported_slice_count,raw_valid_angle_fraction,valid_angle_fraction,valid_angle_fraction_supported,valid_slice_fraction_all_depth,valid_slice_fraction_supported,geometry_valid,wall_roundtrip_dice,wall_roundtrip_hd95_mm,centroid_inside_lv_fraction,ray_no_crossing_fraction,ray_single_crossing_fraction,ray_multi_crossing_fraction,failed_slice_reason_counts
Case2014,G1_GT_anatomy,CenterB,C0+LGE+T2,True,10,20,10,1.0,1.0,1.0,0.5,1.0,True,0.9998461064943059,0.0,1.0,0.0,0.9890625,0.0109375,"{""unsupported_slice"": 10}"
Case2014,G2_supported_denominator,CenterB,C0+LGE+T2,True,10,20,10,1.0,1.0,1.0,0.5,1.0,True,0.999882817077458,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 10}"
Case2014,G3_repaired_predicted,CenterB,C0+LGE+T2,True,10,20,10,0.504296875,0.504296875,0.504296875,0.1,0.2,False,0.571947194719472,14.798648586948742,1.0,0.0,1.0,0.0,"{""low_valid_angle_slice"": 8, ""unsupported_slice"": 10}"
Case2017,G0_current_predicted,CenterB,C0+LGE+T2,True,10,20,10,0.957421875,0.957421875,0.957421875,0.5,1.0,True,0.9997636492554951,0.0,1.0,0.042578125,0.955078125,0.00234375,"{""unsupported_slice"": 10}"
Case2017,G1_GT_anatomy,CenterB,C0+LGE+T2,True,10,20,10,0.94609375,0.94609375,0.94609375,0.5,1.0,False,0.9992890658325039,0.0,1.0,0.046875,0.93828125,0.01484375,"{""unsupported_slice"": 10}"
Case2017,G2_supported_denominator,CenterB,C0+LGE+T2,True,10,20,10,0.957421875,0.957421875,0.957421875,0.5,1.0,True,0.999719232569022,0.0,1.0,0.042578125,0.955078125,0.00234375,"{""unsupported_slice"": 10}"
Case2017,G3_repaired_predicted,CenterB,C0+LGE+T2,True,10,20,10,0.157421875,0.157421875,0.157421875,0.1,0.2,False,0.14055017829852268,18.15488413363775,1.0,0.042578125,0.957421875,0.0,"{""low_valid_angle_slice"": 8, ""unsupported_slice"": 10}"
Case2020,G0_current_predicted,CenterB,C0+LGE+T2,True,12,20,12,0.9990234375,1.0,1.0,0.6,1.0,True,0.9996159543534318,0.0,1.0,0.0,0.9993489583333334,0.0006510416666666666,"{""unsupported_slice"": 8}"
Case2020,G1_GT_anatomy,CenterB,C0+LGE+T2,True,12,20,12,0.9908854166666666,1.0,1.0,0.6,1.0,True,0.9993348115299335,0.0,1.0,0.0,0.9856770833333334,0.014322916666666666,"{""unsupported_slice"": 8}"
Case2020,G2_supported_denominator,CenterB,C0+LGE+T2,True,12,20,12,0.9990234375,1.0,1.0,0.6,1.0,True,0.9996192548273048,0.0,1.0,0.0,0.9993489583333334,0.0006510416666666666,"{""unsupported_slice"": 8}"
