lv_threshold,wall_threshold,selection_population,case_count,case_geometry_valid_rate,fifth_percentile_roundtrip_dice,median_roundtrip_hd95_mm,l1_distance_from_original_threshold,secondary_metrics_computed,hd95_metrics_computed
0.15,0.1,pilot_train,144,0.013888888888888888,0.10421334448793701,1000000000.0,0.3,True,
0.15,0.15,pilot_train,144,0.013888888888888888,0.1134755493758199,7.745697711887631,0.25,True,True
0.15,0.2,pilot_train,144,0.013888888888888888,0.06672362482091522,1000000000.0,0.19999999999999998,True,
0.15,0.25,pilot_train,144,0.013888888888888888,0.06981279717678102,1000000000.0,0.24999999999999997,True,
0.25,0.1,pilot_train,144,0.013888888888888888,0.10215298362388368,1000000000.0,0.19999999999999998,True,
0.25,0.15,pilot_train,144,0.013888888888888888,0.11094518233558708,1000000000.0,0.15,True,
0.25,0.2,pilot_train,144,0.013888888888888888,0.0681224044747385,1000000000.0,0.09999999999999998,True,
0.25,0.25,pilot_train,144,0.013888888888888888,0.07089027715341141,1000000000.0,0.14999999999999997,True,
0.35,0.1,pilot_train,144,0.013888888888888888,0.10196231964375509,1000000000.0,0.1,True,
0.35,0.15,pilot_train,144,0.013888888888888888,0.11039373529893608,1000000000.0,0.05000000000000002,True,
0.35,0.2,pilot_train,144,0.013888888888888888,0.06662171959718892,1000000000.0,0.0,True,
0.35,0.25,pilot_train,144,0.013888888888888888,0.06961991413366421,1000000000.0,0.04999999999999999,True,
0.45,0.1,pilot_train,144,0.013888888888888888,0.10269085380679842,1000000000.0,0.20000000000000004,True,
0.45,0.15,pilot_train,144,0.013888888888888888,0.11090811681440482,1000000000.0,0.15000000000000005,True,
0.45,0.2,pilot_train,144,0.013888888888888888,0.0665868776832951,1000000000.0,0.10000000000000003,True,
0.45,0.25,pilot_train,144,0.013888888888888888,0.0693192845316853,1000000000.0,0.15000000000000002,True,
