mode,subgroup,case_count,geometry_valid_rate,median_valid_angle_fraction,fifth_percentile_roundtrip_dice,median_roundtrip_dice,median_roundtrip_hd95_mm,median_supported_slice_count
G0_current_predicted,all,32,0.84375,1.0,0.7068920140479127,0.9998856896450612,0.0,12.0
G0_current_predicted,CenterB,6,1.0,1.0,0.9996361586184548,0.9998621139800556,0.0,10.0
G0_current_predicted,CenterC,10,0.9,1.0,0.9993390385521715,1.0,0.0,14.0
G0_current_predicted,CenterH,4,0.0,0.01513671875,0.09045826876245297,0.697452296869286,2.23606797749979,0.0
G0_current_predicted,complete tri-modal,16,0.9375,1.0,0.9994184132458594,1.0,0.0,13.0
G0_current_predicted,LGE+C0,8,1.0,1.0,0.9986682605057249,0.9998856896450612,0.0,12.0
G0_current_predicted,LGE-only,8,0.5,0.4941162109375,0.21106929377905692,0.918018712208224,0.0,8.0
G0_current_predicted,failed five,5,0.0,0.01953125,0.12061102501660395,0.7918494686555523,1.8251407699364424,0.0
G0_current_predicted,other 27,27,1.0,1.0,0.9973257738437046,0.9999663424320958,0.0,14.0
G1_GT_anatomy,all,32,0.78125,1.0,0.815157300652308,0.9997043692390791,0.0,12.0
G1_GT_anatomy,CenterB,6,0.8333333333333334,1.0,0.9993005022568613,0.9996658172059101,0.0,10.0
G1_GT_anatomy,CenterC,10,0.9,1.0,0.9992517656466993,1.0,0.0,14.0
G1_GT_anatomy,CenterH,4,0.0,0.01484375,0.5863909549532711,0.812338702868767,2.0,0.0
G1_GT_anatomy,complete tri-modal,16,0.875,1.0,0.999196704300912,1.0,0.0,13.0
G1_GT_anatomy,LGE+C0,8,1.0,1.0,0.9958802667149108,0.9996982123579615,0.0,12.0
G1_GT_anatomy,LGE-only,8,0.375,0.475537109375,0.6329231361485855,0.9849235774639076,1.0,7.5
G1_GT_anatomy,failed five,5,0.0,0.019921875,0.5980240002520998,0.8405246807041767,1.7071067811865475,0.0
G1_GT_anatomy,other 27,27,0.9259259259259259,1.0,0.9942545645445833,0.9998055231427461,0.0,14.0
G2_supported_denominator,all,32,0.84375,1.0,0.7078588057045275,0.9998742974475026,0.0,12.0
G2_supported_denominator,CenterB,6,1.0,1.0,0.9996313964661817,0.99980102482324,0.0,10.0
G2_supported_denominator,CenterC,10,0.9,1.0,0.9991577335375191,1.0,0.0,14.0
G2_supported_denominator,CenterH,4,0.0,0.01513671875,0.0907920576041894,0.6985334946430186,2.23606797749979,0.0
G2_supported_denominator,complete tri-modal,16,0.9375,1.0,0.9993315927284419,1.0,0.0,13.0
G2_supported_denominator,LGE+C0,8,1.0,1.0,0.9986196109208567,0.9998761854226432,0.0,12.0
G2_supported_denominator,LGE-only,8,0.5,0.4941162109375,0.21184813440977526,0.918142978496997,0.0,6.5
G2_supported_denominator,failed five,5,0.0,0.01953125,0.12105607680558586,0.7917866052581078,1.8251407699364424,0.0
G2_supported_denominator,other 27,27,1.0,1.0,0.9972591196353982,0.9999718127237365,0.0,13.0
G3_repaired_predicted,all,32,0.125,0.318047531512605,0.0,0.49016507654608404,6.164414002968976,12.0
G3_repaired_predicted,CenterB,6,0.16666666666666666,0.48906249999999996,0.03513754457463067,0.5740116850407517,8.06225774829855,10.0
G3_repaired_predicted,CenterC,10,0.3,0.6551571800595238,0.3899887977572691,0.7107838326943978,5.954488324753502,14.0
G3_repaired_predicted,CenterH,4,0.0,0.01533203125,0.09124811381763313,0.6991741247708192,2.23606797749979,0.0
G3_repaired_predicted,complete tri-modal,16,0.25,0.5710332961309523,0.10541263372389201,0.630976296051964,6.164414002968976,13.0
G3_repaired_predicted,LGE+C0,8,0.0,0.1475674715909091,0.0,0.1413049613023512,11.313708498984761,12.0
G3_repaired_predicted,LGE-only,8,0.0,0.062890625,0.04271568263398936,0.37380554004259314,6.0,6.5
G3_repaired_predicted,failed five,5,0.0,0.01953125,0.12166415175684415,0.6854807318022577,2.699172818834085,0.0
G3_repaired_predicted,other 27,27,0.14814814814814814,0.357421875,0.0,0.44469048817312534,8.06225774829855,13.0
