variant,model_variant,source_model_variant,step,stage,component,loss_value,requires_grad,grad_l2_norm,param_with_grad_count,status,zero_justification,batch_cases,t2_present_batch_fraction,target_voxel_count
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,loss_anatomy_union_lv_rv,1.257965087890625,True,7.377173584419566,882,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,loss_scar_proposal,0.0904068648815155,True,0.11374996796912881,927,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,loss_edema_proposal_t2_present_only,-0.0,True,0.0,982,ZERO_GRAD_OR_DETACHED,LEGITIMATE_MASKED_NA: no applicable T2/no-T2 target in this real M7 batch,"Case1013,Case1025",0.0,0
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,loss_scar_refiner_roi,0.9445384740829468,True,2.476570823314622,935,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,loss_edema_refiner_t2_present_roi,-0.0,True,0.0,927,ZERO_GRAD_OR_DETACHED,LEGITIMATE_MASKED_NA: no applicable T2/no-T2 target in this real M7 batch,"Case1013,Case1025",0.0,0
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,loss_anchor_preservation_outside_roi,0.0012507617939263582,True,0.0033962778856131736,982,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,loss_correction_opportunity,0.9406564831733704,True,0.07167348226717973,974,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,loss_branch_arbitration_consistency,0.0,True,0.0,974,PASS_ZERO_JUSTIFIED,LEGITIMATE_ZERO_AT_SATISFIED_BRANCH_ARBITRATION_CONSISTENCY,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,loss_bounded_correction,3.992583990097046,True,0.009405410371955473,980,PASS,,"Case1013,Case1025",0.0,4922
m7_followup2_primary_repair,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,1,evidence_warmup,loss_component_remote_fp,0.6037592887878418,True,1.7311737240956702,980,PASS,,"Case1013,Case1025",0.0,4922
