known_bad_case,fixture_or_mutation,validator_command,expected_exit_code,actual_exit_code,expected_failure,actual_failure_reason,pass_fail_closed
good_packet,small packet subset copied from current result directory,/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/evaluation/validate_srr_v3_m7_continued_packet.py --packet /users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/followup2_validator_fixtures/good_packet_subset,0,0,,ok,True
all_gradient_rows_backward_failed,runtime/followup2_validator_fixtures/all_gradient_rows_backward_failed,/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/evaluation/validate_srr_v3_m7_continued_packet.py --packet /users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/followup2_validator_fixtures/all_gradient_rows_backward_failed,nonzero,1,all_gradient_rows_backward_failed,loss_gradient_sanity:all gradient sanity rows are BACKWARD_FAILED,True
missing_loss_graph_training_validity_report,runtime/followup2_validator_fixtures/missing_loss_graph_training_validity_report,/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/evaluation/validate_srr_v3_m7_continued_packet.py --packet /users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/followup2_validator_fixtures/missing_loss_graph_training_validity_report,nonzero,1,missing_loss_graph_training_validity_report,loss_graph_training_validity_report:missing original training graph validity statement,True
hard_subgroup_all_centerA_lge_only_no_t2,runtime/followup2_validator_fixtures/hard_subgroup_all_centerA_lge_only_no_t2,/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/evaluation/validate_srr_v3_m7_continued_packet.py --packet /users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/followup2_validator_fixtures/hard_subgroup_all_centerA_lge_only_no_t2,nonzero,1,hard_subgroup_all_centerA_lge_only_no_t2,hard_subgroup_coverage:selected formal-val rows are all CenterA/LGE-only/no-T2,True
diagnostic_rows_mixed_into_formal_best_variant,runtime/followup2_validator_fixtures/diagnostic_rows_mixed_into_formal_best_variant,/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/evaluation/validate_srr_v3_m7_continued_packet.py --packet /users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/followup2_validator_fixtures/diagnostic_rows_mixed_into_formal_best_variant,nonzero,1,diagnostic_rows_mixed_into_formal_best_variant,formal_diagnostic_boundary:diagnostic rows are mixed into formal best-variant decision,True
cine_copies_m5_no_new_registration_attempt,runtime/followup2_validator_fixtures/cine_copies_m5_no_new_registration_attempt,/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/evaluation/validate_srr_v3_m7_continued_packet.py --packet /users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/followup2_validator_fixtures/cine_copies_m5_no_new_registration_attempt,nonzero,1,cine_copies_m5_no_new_registration_attempt,cine_registration_attempt:no M7 continued/follow-up Cine registration attempt report,True
frame0_or_one_case_syn_marked_usable,runtime/followup2_validator_fixtures/frame0_or_one_case_syn_marked_usable,/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/evaluation/validate_srr_v3_m7_continued_packet.py --packet /users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/followup2_validator_fixtures/frame0_or_one_case_syn_marked_usable,nonzero,1,frame0_or_one_case_syn_marked_usable,registration_usability:frame0/one-case/untrained row marked usable,True
untrained_voxelmorph_marked_usable,runtime/followup2_validator_fixtures/untrained_voxelmorph_marked_usable,/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/evaluation/validate_srr_v3_m7_continued_packet.py --packet /users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/followup2_validator_fixtures/untrained_voxelmorph_marked_usable,nonzero,1,untrained_voxelmorph_marked_usable,registration_usability:frame0/one-case/untrained row marked usable,True
temporal_dictionary_ready_without_usable_registration,runtime/followup2_validator_fixtures/temporal_dictionary_ready_without_usable_registration,/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/evaluation/validate_srr_v3_m7_continued_packet.py --packet /users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/followup2_validator_fixtures/temporal_dictionary_ready_without_usable_registration,nonzero,1,temporal_dictionary_ready_without_usable_registration,temporal_dictionary_gate:temporal dictionary marked ready without usable non-reference registration,True
completion_ready_with_unresolved_blocker,runtime/followup2_validator_fixtures/completion_ready_with_unresolved_blocker,/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/evaluation/validate_srr_v3_m7_continued_packet.py --packet /users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/followup2_validator_fixtures/completion_ready_with_unresolved_blocker,nonzero,1,completion_ready_with_unresolved_blocker,loss_graph_training_validity_report:missing original training graph validity statement; completion_ready_gate:completion_check claims ready while blocker gates are unresolved,True
