frame_strategy,hosted_myocardium_cinemyops_claim,lv_dice_mean_train_frames,lv_hd95_mean_train_frames,myocardium_dice_mean_train_frames,myocardium_hd95_mean_train_frames,pathology_capable,registration_status,seed,source,source_path,train_cases,trained_dataset,val_cases
ed_middle_representative,false,0.6775167911385374,12.367483748073948,0.4655017392177521,12.138975499891407,false,,0,CineMA anatomy prior adapter,/users/a/e/aereinh/CARE/results/cinema_adapter/20260619_131229__cinema_acdc_seed0_ed_mid_repr/metrics_summary.json,64,acdc,15
,false,,,,,false,CINE_REGISTRATION_GAP_REMAINS,,M7 registration same-subset matrix,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/registration_same_subset_matrix.csv,,,
