anatomy_roi_prior_status,anatomy_scale0_semantic_family_mass,anatomy_scale1_semantic_family_mass,anatomy_scale2_semantic_family_mass,anatomy_scale3_semantic_family_mass,anchor_present_batch_fraction,baseline_gate_mean,baseline_gate_status,baseline_preservation_loss,baseline_preserve_gate_mean,baseline_preserve_voxels,baseline_residual_abs_mean,batch_cases,component_present_batch_fraction,component_proposal_ranking_loss,edema_anatomy_soft_gate_mean,edema_component_ranking_loss,edema_proposal_loss,edema_scale0_semantic_family_mass,edema_scale1_semantic_family_mass,edema_scale2_semantic_family_mass,edema_scale3_semantic_family_mass,edema_supervised_batch_fraction,elapsed_seconds,empty_union_fallback_fraction,encoder_profile,encoder_profile_expected,encoder_scale_channels,evidence_loss,final_loss,local_refinement_status,loss,loss_anatomy_union_lv_rv,loss_anchor_preservation_outside_roi,loss_bounded_correction,loss_branch_arbitration_consistency,loss_component_remote_fp,loss_dictionary_entropy_coverage_load_balance,loss_edema_proposal_t2_present_only,loss_edema_refiner_t2_present_roi,loss_no_t2_edema_safety,loss_prototype_diversity_margin,loss_scar_proposal,loss_scar_refiner_roi,lv_distance_mean,m6_expanded_total_loss,model_variant,p_lv_mean,p_rv_mean,p_union_mean,proposal_margin_loss,proposal_weight,prototype_source_edema,prototype_source_scar,refine_weight,roi_cover_loss,roi_remote_loss,rv_distance_mean,scar_anatomy_soft_gate_mean,scar_component_ranking_loss,scar_proposal_loss,scar_scale0_semantic_family_mass,scar_scale1_semantic_family_mass,scar_scale2_semantic_family_mass,scar_scale3_semantic_family_mass,semantic_retrieval_loss,source_model_variant,source_path,stage,step,union_distance_mean,variant
enabled_distance_soft_gates,0.8915523290634155,0.9900000095367432,0.8949854969978333,0.8860639333724976,1.0,0.01798621192574501,baseline_preserving_residual,0.001091651269234717,-0.0,-0.0,0.07166659832000732,Case1068,1.0,0.5939046740531921,0.0,0.0001350797392660752,-0.0,0.0,0.0,0.0,0.0,0.0,0.19366598222404718,0.0,balanced_4scale,balanced_4scale,16;32;64;128,1.3011937141418457,2.612978458404541,enabled_crop_soft_roi,2.612978458404541,1.3011937141418457,0.001091651269234717,3.9845309257507324,0.0,0.5939046740531921,0.0025178631767630577,-0.0,-0.0,0.0001350797392660752,0.31675657629966736,0.23229824006557465,0.8762644529342651,0.6777002215385437,2.612978458404541,m7_full_srr_context_arbitration,0.2416769564151764,0.22800922393798828,0.6959043741226196,0.31675657629966736,1.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,1.0,0.8762644529342651,0.5939046740531921,0.7045971155166626,0.5053068399429321,0.5939046740531921,0.23229824006557465,0.6730637550354004,0.6691300868988037,0.641177237033844,0.6832231283187866,0.0025178631767630577,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,1,0.19156797230243683,m7_full_srr_context_arbitration
enabled_distance_soft_gates,0.9887499809265137,0.9887499809265137,0.9887499809265137,0.9887500405311584,1.0,0.01798621192574501,baseline_preserving_residual,0.0016374404076486826,-0.0,-0.0,0.07169930636882782,Case2006,1.0,0.3491590619087219,0.36231279373168945,-0.0,0.529711127281189,0.9812500476837158,0.9812501072883606,0.9812499284744263,0.9812500476837158,1.0,14.663543954491615,0.0,balanced_4scale,balanced_4scale,16;32;64;128,0.7455586194992065,2.592493772506714,enabled_crop_soft_roi,2.592493772506714,0.7455586194992065,0.0016374404076486826,3.986349582672119,0.0,0.3491590619087219,0.0019880570471286774,0.529711127281189,0.5717458128929138,-0.0,0.18588382005691528,0.12165667861700058,0.47127658128738403,0.6962510347366333,2.592493772506714,m7_full_srr_context_arbitration,0.21222597360610962,0.12598031759262085,0.5155535936355591,0.18588382005691528,1.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,1.0,0.47127658128738403,0.3491590619087219,0.8198146820068359,0.3821055591106415,0.3491590619087219,0.12165667861700058,0.9812500476837158,0.9812499284744263,0.8873454332351685,0.9812499284744263,0.0019880570471286774,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.345720499753952,m7_full_srr_context_arbitration
enabled_distance_soft_gates,0.8880252838134766,0.9900000095367432,0.9900000095367432,0.9029304385185242,1.0,0.01798621192574501,baseline_preserving_residual,2.4198481696657836e-05,-0.0,-0.0,0.07189294695854187,Case8004,1.0,0.12276522815227509,0.0,0.0001350797392660752,-0.0,0.0,0.0,0.0,0.0,0.0,29.002445397898555,0.0,balanced_4scale,balanced_4scale,16;32;64;128,0.5975099802017212,1.2893604040145874,enabled_crop_soft_roi,1.2893604040145874,0.5975099802017212,2.4198481696657836e-05,3.997114658355713,0.0,0.12276522815227509,0.001970516052097082,-0.0,-0.0,0.0001350797392660752,0.16543085873126984,0.057377226650714874,0.508701503276825,0.7341588735580444,1.2893604040145874,m7_full_srr_context_arbitration,0.15519753098487854,0.0837828740477562,0.3821095824241638,0.16543085873126984,1.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,1.0,0.508701503276825,0.12276522815227509,0.8796805739402771,0.3263915181159973,0.12276522815227509,0.057377226650714874,0.6191202402114868,0.616523802280426,0.5200866460800171,0.48477792739868164,0.001970516052097082,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,200,0.44550538063049316,m7_full_srr_context_arbitration
enabled_distance_soft_gates,0.889968991279602,0.9900000691413879,0.9900000095367432,0.9900000095367432,1.0,0.01798621192574501,baseline_preserving_residual,0.001742976251989603,-0.0,-0.0,0.07166062295436859,Case1061,1.0,0.06330075114965439,0.0,0.0001350797392660752,-0.0,0.0,0.0,0.0,0.0,0.0,43.651742157526314,0.0,balanced_4scale,balanced_4scale,16;32;64;128,0.7301855087280273,1.4181312322616577,enabled_crop_soft_roi,1.4181312322616577,0.7301855087280273,0.001742976251989603,3.9841973781585693,0.0,0.06330075114965439,0.0017241428140550852,-0.0,-0.0,0.0001350797392660752,0.16852061450481415,0.1553676426410675,0.4120989441871643,0.7041130065917969,1.4181312322616577,m7_full_srr_context_arbitration,0.18358901143074036,0.07935583591461182,0.37264353036880493,0.16852061450481415,1.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,1.0,0.4120989441871643,0.06330075114965439,0.87529456615448,0.3284419775009155,0.06330075114965439,0.1553676426410675,0.6356932520866394,0.6370117664337158,0.6112506985664368,0.5698411464691162,0.0017241428140550852,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,300,0.4956642985343933,m7_full_srr_context_arbitration
,,,,,,,,,,,,,,,,,,,,,,,44.343596056103706,,,balanced_4scale,,,,,,,,,,,,,,,,,,,,m7_full_srr_context_arbitration,,,,,,,,,,,,,,,,,,,,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,300,,m7_full_srr_context_arbitration
enabled_distance_soft_gates,0.8849537372589111,0.9900000691413879,0.9900000095367432,0.8093082904815674,1.0,0.01798621192574501,baseline_preserving_residual,5.086308010504581e-05,-0.0,-0.0,0.07188413292169571,Case8024,1.0,0.07894038408994675,0.0,0.0001350797392660752,-0.0,0.0,0.0,0.0,0.0,0.0,59.69147761724889,0.0,balanced_4scale,balanced_4scale,16;32;64;128,0.5648168921470642,1.1986613273620605,enabled_crop_soft_roi,1.1986613273620605,0.5648168921470642,5.086308010504581e-05,3.996624708175659,0.0,0.07894038408994675,0.001955494750291109,-0.0,-0.0,0.0001350797392660752,0.16708527505397797,0.06999204307794571,0.44213995337486267,0.6995956301689148,1.1986613273620605,m7_full_srr_context_arbitration,0.15421640872955322,0.062222205102443695,0.3470520079135895,0.16708527505397797,1.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,1.0,0.44213995337486267,0.07894038408994675,0.8956198692321777,0.30886396765708923,0.07894038408994675,0.06999204307794571,0.6130321025848389,0.6311854124069214,0.6382001638412476,0.3038843274116516,0.001955494750291109,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,400,0.4871729612350464,m7_full_srr_context_arbitration
enabled_distance_soft_gates,0.9887500405311584,0.8397576212882996,0.9887499213218689,0.7734483480453491,1.0,0.01798621192574501,baseline_preserving_residual,0.0010423180647194386,-0.0,-0.0,0.07166685163974762,Case3010,1.0,0.0889221727848053,0.3253939151763916,-0.0,0.34367871284484863,0.981249988079071,0.9812500476837158,0.8699409365653992,0.9812501072883606,1.0,74.37240541819483,0.0,balanced_4scale,balanced_4scale,16;32;64;128,0.36325928568840027,2.3573505878448486,enabled_crop_soft_roi,2.3573505878448486,0.36325928568840027,0.0010423180647194386,3.984544277191162,0.0,0.0889221727848053,0.002574492711573839,0.34367871284484863,0.40618768334388733,-0.0,0.15168872475624084,0.4617651104927063,0.6628153324127197,0.7704049944877625,2.3573505878448486,m7_full_srr_context_arbitration,0.12152811884880066,0.05432131513953209,0.4025326073169708,0.15168872475624084,1.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,1.0,0.6628153324127197,0.0889221727848053,0.8876307010650635,0.33138084411621094,0.0889221727848053,0.4617651104927063,0.9812500476837158,0.7908898591995239,0.9812499284744263,0.5971773266792297,0.002574492711573839,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,500,0.41287314891815186,m7_full_srr_context_arbitration
enabled_distance_soft_gates,0.8858160972595215,0.9900000095367432,0.9900000095367432,0.9113470315933228,1.0,0.01798621192574501,baseline_preserving_residual,0.001356836874037981,-0.0,-0.0,0.07163060456514359,Case1066,1.0,0.024361703544855118,0.0,0.0001350797392660752,-0.0,0.0,0.0,0.0,0.0,0.0,89.21525832824409,0.0,balanced_4scale,balanced_4scale,16;32;64;128,0.41736486554145813,1.0925849676132202,enabled_crop_soft_roi,1.0925849676132202,0.41736486554145813,0.001356836874037981,3.9825291633605957,0.0,0.024361703544855118,0.0019252218771725893,-0.0,-0.0,0.0001350797392660752,0.16666032373905182,0.16473835706710815,0.3943389058113098,0.6541594862937927,1.0925849676132202,m7_full_srr_context_arbitration,0.23982083797454834,0.043714914470911026,0.40179920196533203,0.16666032373905182,1.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,1.0,0.3943389058113098,0.024361703544855118,0.9227769374847412,0.3598371744155884,0.024361703544855118,0.16473835706710815,0.5996135473251343,0.6341172456741333,0.5333646535873413,0.38342154026031494,0.0019252218771725893,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,600,0.47737210988998413,m7_full_srr_context_arbitration
,,,,,,,,,,,,,,,,,,,,,,,89.87387255951762,,,balanced_4scale,,,,,,,,,,,,,,,,,,,,m7_full_srr_context_arbitration,,,,,,,,,,,,,,,,,,,,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,600,,m7_full_srr_context_arbitration
enabled_distance_soft_gates,0.9887499809265137,0.827667236328125,0.8863440155982971,0.9003779888153076,1.0,0.01798621192574501,baseline_preserving_residual,0.00035533506888896227,-0.0,-0.0,0.07176610082387924,Case2023,1.0,0.14596004784107208,0.39034122228622437,-0.0,0.14712390303611755,0.9812500476837158,0.9812500476837158,0.5591445565223694,0.9812500476837158,1.0,105.00501037202775,0.0,balanced_4scale,balanced_4scale,16;32;64;128,0.825529158115387,1.9691548347473145,enabled_crop_soft_roi,1.9691548347473145,0.825529158115387,0.00035533506888896227,3.9900622367858887,0.0,0.14596004784107208,0.002731022657826543,0.14712390303611755,0.3840605616569519,-0.0,0.15128889679908752,0.16944852471351624,0.31772029399871826,0.6124482750892639,1.9691548347473145,m7_full_srr_context_arbitration,0.21582049131393433,0.0681157186627388,0.4658948481082916,0.15128889679908752,1.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,1.0,0.31772029399871826,0.14596004784107208,0.8398024439811707,0.4037933945655823,0.14596004784107208,0.16944852471351624,0.8963027000427246,0.887889564037323,0.9812499284744263,0.5812655687332153,0.002731022657826543,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,700,0.29838472604751587,m7_full_srr_context_arbitration
