component,source_path,stage,step,value,variant
loss_scar_proposal,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.12165667861700058,m7_full_srr_context_arbitration
loss_edema_proposal_t2_present_only,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.529711127281189,m7_full_srr_context_arbitration
loss_scar_refiner_roi,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.47127658128738403,m7_full_srr_context_arbitration
loss_edema_refiner_t2_present_roi,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.5717458128929138,m7_full_srr_context_arbitration
loss_anchor_preservation_outside_roi,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.0016374404076486826,m7_full_srr_context_arbitration
loss_branch_arbitration_consistency,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.0,m7_full_srr_context_arbitration
loss_bounded_correction,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,3.986349582672119,m7_full_srr_context_arbitration
loss_component_remote_fp,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.3491590619087219,m7_full_srr_context_arbitration
loss_no_t2_edema_safety,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,-0.0,m7_full_srr_context_arbitration
loss_dictionary_entropy_coverage_load_balance,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.0019880570471286774,m7_full_srr_context_arbitration
loss_prototype_diversity_margin,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.18588382005691528,m7_full_srr_context_arbitration
m6_expanded_total_loss,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,2.592493772506714,m7_full_srr_context_arbitration
anatomy_scale0_semantic_family_mass,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.9887499809265137,m7_full_srr_context_arbitration
anatomy_scale1_semantic_family_mass,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.9887499809265137,m7_full_srr_context_arbitration
anatomy_scale2_semantic_family_mass,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.9887499809265137,m7_full_srr_context_arbitration
anatomy_scale3_semantic_family_mass,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.9887500405311584,m7_full_srr_context_arbitration
edema_scale0_semantic_family_mass,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.9812500476837158,m7_full_srr_context_arbitration
edema_scale1_semantic_family_mass,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.9812501072883606,m7_full_srr_context_arbitration
edema_scale2_semantic_family_mass,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.9812499284744263,m7_full_srr_context_arbitration
edema_scale3_semantic_family_mass,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.9812500476837158,m7_full_srr_context_arbitration
scar_scale0_semantic_family_mass,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.9812500476837158,m7_full_srr_context_arbitration
scar_scale1_semantic_family_mass,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.9812499284744263,m7_full_srr_context_arbitration
scar_scale2_semantic_family_mass,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.8873454332351685,m7_full_srr_context_arbitration
scar_scale3_semantic_family_mass,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,100,0.9812499284744263,m7_full_srr_context_arbitration
loss_anatomy_union_lv_rv,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/training_log.csv,evidence_warmup,200,0.5975099802017212,m7_full_srr_context_arbitration
