variant,model_variant,source_model_variant,step,stage,component,loss_value,requires_grad,grad_l2_norm,param_with_grad_count,status,zero_justification,batch_cases,t2_present_batch_fraction,target_voxel_count,checkpoint_name,checkpoint_path
m7_full_srr_context_arbitration,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,12382,continued_gradient_sanity,loss_anatomy_union_lv_rv,0.5212937593460083,True,0.9641974600322853,882,PASS,,"Case2002,Case1002",0.5,3298,checkpoint_final,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/checkpoints/fold_0/propref_config/checkpoint_final.pt
m7_full_srr_context_arbitration,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,12382,continued_gradient_sanity,loss_scar_proposal,0.12155590206384659,True,0.10055236906228693,927,PASS,,"Case2002,Case1002",0.5,3298,checkpoint_final,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/checkpoints/fold_0/propref_config/checkpoint_final.pt
m7_full_srr_context_arbitration,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,12382,continued_gradient_sanity,loss_edema_proposal_t2_present_only,0.27352434396743774,True,0.5562458862130362,927,PASS,,"Case2002,Case1002",0.5,1431,checkpoint_final,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/checkpoints/fold_0/propref_config/checkpoint_final.pt
m7_full_srr_context_arbitration,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,12382,continued_gradient_sanity,loss_scar_refiner_roi,0.26920342445373535,True,0.16418632813622958,935,PASS,,"Case2002,Case1002",0.5,3298,checkpoint_final,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/checkpoints/fold_0/propref_config/checkpoint_final.pt
m7_full_srr_context_arbitration,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,12382,continued_gradient_sanity,loss_edema_refiner_t2_present_roi,0.3445417881011963,True,0.3705242157611263,935,PASS,,"Case2002,Case1002",0.5,1431,checkpoint_final,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/checkpoints/fold_0/propref_config/checkpoint_final.pt
m7_full_srr_context_arbitration,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,12382,continued_gradient_sanity,loss_anchor_preservation_outside_roi,1.4770491361559834e-05,True,6.440137739483272e-05,990,PASS,,"Case2002,Case1002",0.5,3298,checkpoint_final,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/checkpoints/fold_0/propref_config/checkpoint_final.pt
m7_full_srr_context_arbitration,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,12382,continued_gradient_sanity,loss_branch_arbitration_consistency,0.0,True,0.0,974,PASS_ZERO_JUSTIFIED,LEGITIMATE_ZERO_AT_SATISFIED_BRANCH_ARBITRATION_CONSISTENCY,"Case2002,Case1002",0.5,3298,checkpoint_final,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/checkpoints/fold_0/propref_config/checkpoint_final.pt
m7_full_srr_context_arbitration,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,12382,continued_gradient_sanity,loss_bounded_correction,3.78351092338562,True,0.5097934704294029,988,PASS,,"Case2002,Case1002",0.5,3298,checkpoint_final,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/checkpoints/fold_0/propref_config/checkpoint_final.pt
m7_full_srr_context_arbitration,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,12382,continued_gradient_sanity,loss_component_remote_fp,0.01832633465528488,True,0.08400491796792671,988,PASS,,"Case2002,Case1002",0.5,3298,checkpoint_final,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/checkpoints/fold_0/propref_config/checkpoint_final.pt
m7_full_srr_context_arbitration,m7_full_srr_context_arbitration,m6_full_srr_context_arbitration,12382,continued_gradient_sanity,loss_no_t2_edema_safety,0.0001350797392660752,True,0.0,935,PASS_ZERO_JUSTIFIED,"LEGITIMATE_SATURATED_NO_T2_SAFETY_BOUNDARY: no-T2 safety scalar is recorded, requires_grad is true, and zero local gradient reflects saturated near-zero edema outputs","Case2002,Case1002",0.5,1,checkpoint_final,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/checkpoints/fold_0/propref_config/checkpoint_final.pt
