variant,checkpoint_name,case_id,center,modality_group,t2_present,class_id,metric_name,proposal_threshold,proposal_recall,proposal_precision,lesion_wise_recall,proposal_voxels,gt_voxels,proposal_component_count,proposal_small_fp_count,proposal_remote_fp_count,outside_myocardium_fp_ratio,proposal_gate_mean,proposal_gate_p95,pos_similarity_mean,neg_similarity_mean,memory_negative_similarity_mean
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,5,myops_scar,0.05,0.5861723446893787,0.08062293274531422,1.0,7256,998,43,23,36,0.8503307607497244,0.008658120408654213,0.029519812017679205,-0.0016463377978652716,0.13618104159832,0.12819045782089233
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,5,myops_scar,0.1,0.5831663326653307,0.3570552147239264,1.0,1630,998,16,7,11,0.3539877300613497,0.008658120408654213,0.029519812017679205,-0.0016463377978652716,0.13618104159832,0.12819045782089233
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,5,myops_scar,0.2,0.5821643286573146,0.5344986200551978,1.0,1087,998,4,1,0,0.03955841766329347,0.008658120408654213,0.029519812017679205,-0.0016463377978652716,0.13618104159832,0.12819045782089233
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,5,myops_scar,0.3,0.5821643286573146,0.538961038961039,1.0,1078,998,5,3,0,0.032467532467532464,0.008658120408654213,0.029519812017679205,-0.0016463377978652716,0.13618104159832,0.12819045782089233
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,5,myops_scar,0.4,0.5821643286573146,0.5394614670380687,1.0,1077,998,5,3,0,0.031569173630454965,0.008658120408654213,0.029519812017679205,-0.0016463377978652716,0.13618104159832,0.12819045782089233
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.5821643286573146,0.5404651162790698,1.0,1075,998,5,3,0,0.03162790697674418,0.008658120408654213,0.029519812017679205,-0.0016463377978652716,0.13618104159832,0.12819045782089233
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,5,myops_scar,0.6,0.5821643286573146,0.5414725069897484,1.0,1073,998,5,3,0,0.03168685927306617,0.008658120408654213,0.029519812017679205,-0.0016463377978652716,0.13618104159832,0.12819045782089233
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,5,myops_scar,0.7,0.5821643286573146,0.5470809792843692,1.0,1062,998,5,3,0,0.032015065913371,0.008658120408654213,0.029519812017679205,-0.0016463377978652716,0.13618104159832,0.12819045782089233
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,5,myops_scar,0.8,0.5781563126252505,0.558027079303675,1.0,1034,998,5,3,0,0.03288201160541586,0.008658120408654213,0.029519812017679205,-0.0016463377978652716,0.13618104159832,0.12819045782089233
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,5,myops_scar,0.9,0.5681362725450901,0.5738866396761133,1.0,988,998,5,3,0,0.03340080971659919,0.008658120408654213,0.029519812017679205,-0.0016463377978652716,0.13618104159832,0.12819045782089233
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,4,myops_edema,0.05,0.6047745358090185,0.2153482880755608,0.6,8470,3016,76,41,62,0.6806375442739079,0.01273940596729517,0.02848095642402767,0.29903826117515564,0.45904725790023804,0.3899052143096924
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,4,myops_edema,0.1,0.5639920424403183,0.45396317053642915,0.6,3747,3016,18,10,13,0.344275420336269,0.01273940596729517,0.02848095642402767,0.29903826117515564,0.45904725790023804,0.3899052143096924
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,4,myops_edema,0.2,0.5318302387267905,0.5525318635893903,0.6,2903,3016,4,3,0,0.21736135032724768,0.01273940596729517,0.02848095642402767,0.29903826117515564,0.45904725790023804,0.3899052143096924
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,4,myops_edema,0.3,0.5185676392572944,0.5627923713566031,0.4,2779,3016,5,4,0,0.20762864339690537,0.01273940596729517,0.02848095642402767,0.29903826117515564,0.45904725790023804,0.3899052143096924
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,4,myops_edema,0.4,0.511604774535809,0.5664464023494861,0.4,2724,3016,5,4,0,0.20337738619676946,0.01273940596729517,0.02848095642402767,0.29903826117515564,0.45904725790023804,0.3899052143096924
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.5102785145888594,0.5685260435906908,0.4,2707,3016,5,4,0,0.2013298854820835,0.01273940596729517,0.02848095642402767,0.29903826117515564,0.45904725790023804,0.3899052143096924
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,4,myops_edema,0.6,0.5096153846153846,0.5686274509803921,0.4,2703,3016,5,4,0,0.2008879023307436,0.01273940596729517,0.02848095642402767,0.29903826117515564,0.45904725790023804,0.3899052143096924
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,4,myops_edema,0.7,0.5096153846153846,0.5688378978534419,0.4,2702,3016,5,4,0,0.2005921539600296,0.01273940596729517,0.02848095642402767,0.29903826117515564,0.45904725790023804,0.3899052143096924
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,4,myops_edema,0.8,0.5096153846153846,0.5688378978534419,0.4,2702,3016,5,4,0,0.2005921539600296,0.01273940596729517,0.02848095642402767,0.29903826117515564,0.45904725790023804,0.3899052143096924
m7_full_srr_context_arbitration,checkpoint_best,Case2002,CenterB,C0+LGE+T2,True,4,myops_edema,0.9,0.5096153846153846,0.5688378978534419,0.4,2702,3016,5,4,0,0.2005921539600296,0.01273940596729517,0.02848095642402767,0.29903826117515564,0.45904725790023804,0.3899052143096924
m7_full_srr_context_arbitration,checkpoint_best,Case1002,CenterA,LGE-only,False,5,myops_scar,0.05,0.7681862269641125,0.20294682895579758,1.0,7805,2062,103,92,51,0.5249199231262012,0.008215982466936111,0.028182370867580162,-0.006349207833409309,0.15047167241573334,0.14403881132602692
m7_full_srr_context_arbitration,checkpoint_best,Case1002,CenterA,LGE-only,False,5,myops_scar,0.1,0.6838021338506305,0.6969846762234305,1.0,2023,2062,25,24,0,0.11715274345032131,0.008215982466936111,0.028182370867580162,-0.006349207833409309,0.15047167241573334,0.14403881132602692
m7_full_srr_context_arbitration,checkpoint_best,Case1002,CenterA,LGE-only,False,5,myops_scar,0.2,0.6008729388942774,0.7366230677764566,1.0,1682,2062,1,0,0,0.11117717003567182,0.008215982466936111,0.028182370867580162,-0.006349207833409309,0.15047167241573334,0.14403881132602692
