class_id,component_count_mean,dice_mean,empty_prediction_rate,encoder_profile_expected,group,hd95_mean,hd_mean,metric_name,n,remote_fp_mean,source_model_variant,source_path,variant
4,0.0,1.0,1.0,balanced_4scale,all_cases,0.0,0.0,myops_edema,12,0.0,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_best.csv,m7_full_srr_context_arbitration__checkpoint_best__argmax
4,0.0,1.0,1.0,balanced_4scale,LGE-only,0.0,0.0,myops_edema,12,0.0,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_best.csv,m7_full_srr_context_arbitration__checkpoint_best__argmax
4,0.0,1.0,1.0,balanced_4scale,no_T2_empty_GT,0.0,0.0,myops_edema,12,0.0,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_best.csv,m7_full_srr_context_arbitration__checkpoint_best__argmax
5,6.333333333333333,0.5209191844178128,0.0,balanced_4scale,all_cases,14.654721064245184,26.241980706397676,myops_scar,12,0.5,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_best.csv,m7_full_srr_context_arbitration__checkpoint_best__argmax
5,6.333333333333333,0.5209191844178128,0.0,balanced_4scale,gt_positive_only,14.654721064245184,26.241980706397676,myops_scar,12,0.5,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_best.csv,m7_full_srr_context_arbitration__checkpoint_best__argmax
5,6.333333333333333,0.5209191844178128,0.0,balanced_4scale,LGE-only,14.654721064245184,26.241980706397676,myops_scar,12,0.5,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_best.csv,m7_full_srr_context_arbitration__checkpoint_best__argmax
4,0.0,1.0,1.0,balanced_4scale,all_cases,0.0,0.0,myops_edema,12,0.0,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_best.csv,m7_full_srr_context_arbitration__checkpoint_best__pathology_aware
4,0.0,1.0,1.0,balanced_4scale,LGE-only,0.0,0.0,myops_edema,12,0.0,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_best.csv,m7_full_srr_context_arbitration__checkpoint_best__pathology_aware
4,0.0,1.0,1.0,balanced_4scale,no_T2_empty_GT,0.0,0.0,myops_edema,12,0.0,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_best.csv,m7_full_srr_context_arbitration__checkpoint_best__pathology_aware
5,6.333333333333333,0.5210692574513057,0.0,balanced_4scale,all_cases,14.73629881231871,26.163794440923102,myops_scar,12,0.5833333333333334,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_best.csv,m7_full_srr_context_arbitration__checkpoint_best__pathology_aware
5,6.333333333333333,0.5210692574513057,0.0,balanced_4scale,gt_positive_only,14.73629881231871,26.163794440923102,myops_scar,12,0.5833333333333334,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_best.csv,m7_full_srr_context_arbitration__checkpoint_best__pathology_aware
5,6.333333333333333,0.5210692574513057,0.0,balanced_4scale,LGE-only,14.73629881231871,26.163794440923102,myops_scar,12,0.5833333333333334,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_best.csv,m7_full_srr_context_arbitration__checkpoint_best__pathology_aware
4,0.0,1.0,1.0,balanced_4scale,all_cases,0.0,0.0,myops_edema,12,0.0,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_final.csv,m7_full_srr_context_arbitration__checkpoint_final__argmax
4,0.0,1.0,1.0,balanced_4scale,LGE-only,0.0,0.0,myops_edema,12,0.0,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_final.csv,m7_full_srr_context_arbitration__checkpoint_final__argmax
4,0.0,1.0,1.0,balanced_4scale,no_T2_empty_GT,0.0,0.0,myops_edema,12,0.0,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_final.csv,m7_full_srr_context_arbitration__checkpoint_final__argmax
5,6.333333333333333,0.5209874485012993,0.0,balanced_4scale,all_cases,14.654264220507825,26.241980706397676,myops_scar,12,0.5,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_final.csv,m7_full_srr_context_arbitration__checkpoint_final__argmax
5,6.333333333333333,0.5209874485012993,0.0,balanced_4scale,gt_positive_only,14.654264220507825,26.241980706397676,myops_scar,12,0.5,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_final.csv,m7_full_srr_context_arbitration__checkpoint_final__argmax
5,6.333333333333333,0.5209874485012993,0.0,balanced_4scale,LGE-only,14.654264220507825,26.241980706397676,myops_scar,12,0.5,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_final.csv,m7_full_srr_context_arbitration__checkpoint_final__argmax
4,0.0,1.0,1.0,balanced_4scale,all_cases,0.0,0.0,myops_edema,12,0.0,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_final.csv,m7_full_srr_context_arbitration__checkpoint_final__pathology_aware
4,0.0,1.0,1.0,balanced_4scale,LGE-only,0.0,0.0,myops_edema,12,0.0,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_final.csv,m7_full_srr_context_arbitration__checkpoint_final__pathology_aware
4,0.0,1.0,1.0,balanced_4scale,no_T2_empty_GT,0.0,0.0,myops_edema,12,0.0,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_final.csv,m7_full_srr_context_arbitration__checkpoint_final__pathology_aware
5,6.25,0.5255463045788121,0.0,balanced_4scale,all_cases,14.573723169879209,26.77094593952943,myops_scar,12,0.5,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_final.csv,m7_full_srr_context_arbitration__checkpoint_final__pathology_aware
5,6.25,0.5255463045788121,0.0,balanced_4scale,gt_positive_only,14.573723169879209,26.77094593952943,myops_scar,12,0.5,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_final.csv,m7_full_srr_context_arbitration__checkpoint_final__pathology_aware
5,6.25,0.5255463045788121,0.0,balanced_4scale,LGE-only,14.573723169879209,26.77094593952943,myops_scar,12,0.5,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m7_training_and_cine_utilization/runtime/variants/m7_full_srr_context_arbitration/subgroup_metrics_checkpoint_final.csv,m7_full_srr_context_arbitration__checkpoint_final__pathology_aware
