variant,source_variant_dir,summary_present,predictions_present,subgroup_metrics_present,component_metrics_present,ready,searched_roots
srr_v2_multiscale_private_basic,results/20260629_srr_v2_unet_core/variants/srr_v2_multiscale_private_basic,True,True,True,True,True,"results/20260629_srr_v2_unet_core:ready; results/20260629_srr_v2_unet_core_htzhulab_fallback:missing summary,predictions,subgroup_metrics"
srr_v2_multiscale_private_proposal,results/20260629_srr_v2_unet_core_htzhulab_fallback/variants/srr_v2_multiscale_private_proposal,True,True,True,True,True,"results/20260629_srr_v2_unet_core:missing summary,predictions,subgroup_metrics; results/20260629_srr_v2_unet_core_htzhulab_fallback:ready"
srr_v2_proposal_uncertainty_hardneg,results/20260629_srr_v2_unet_core_htzhulab_fallback/variants/srr_v2_proposal_uncertainty_hardneg,True,True,True,True,True,"results/20260629_srr_v2_unet_core:missing summary,predictions,subgroup_metrics; results/20260629_srr_v2_unet_core_htzhulab_fallback:ready"
