case_id,mode,source_fold,image_shape_zyx,availability_lge_t2_c0,source_probability_path,source_prediction_path,output_prediction_path,gt_path,model_forward_count,checkpoint_actual_load_count,prototype_memory_actual_load_count,memory_query_policy,raw_anchor_used_for_final_baseline,safety_context_used_for_srr_evidence,changed_voxels,raw_label_mismatch,anchor_identity_softmax_max_abs_delta,nonidentity_downstream_tensor_max_abs_delta,no_t2_case,no_t2_full_chain_exact_zero,geometry_matches_gt,output_sha256
Case1002,srr_no_anchor_control,0,"[9, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1002.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1002.nii.gz,results/20260721_srr_batch4_forced_fold0_training/selected_checkpoint_controls/srr_no_anchor_control/predictions/Case1002.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1002.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,39060,0,,3.7392828464508057,True,True,True,82f873ea1b4d82de5b90724a90524829d9840ada127816e5b556f38005ee2174
Case1007,srr_no_anchor_control,0,"[24, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1007.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1007.nii.gz,results/20260721_srr_batch4_forced_fold0_training/selected_checkpoint_controls/srr_no_anchor_control/predictions/Case1007.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1007.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,83918,0,,3.691793441772461,True,True,True,8b21a7ff798f44c72094911a83c125b83988f183a158f411b4ead0d9d73d64f8
Case1009,srr_no_anchor_control,0,"[16, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1009.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1009.nii.gz,results/20260721_srr_batch4_forced_fold0_training/selected_checkpoint_controls/srr_no_anchor_control/predictions/Case1009.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1009.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,44018,0,,3.700610637664795,True,True,True,238d69d4c7cc8778d64b226629dbaeaa510610af26e107ae07f433ffde43c1ac
Case1010,srr_no_anchor_control,0,"[12, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1010.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1010.nii.gz,results/20260721_srr_batch4_forced_fold0_training/selected_checkpoint_controls/srr_no_anchor_control/predictions/Case1010.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1010.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,35779,0,,3.7262628078460693,True,True,True,3848d8c882255e2cd3e235b7913d7c53641792d1efdaedbb1f32dad872025705
Case1021,srr_no_anchor_control,0,"[12, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1021.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1021.nii.gz,results/20260721_srr_batch4_forced_fold0_training/selected_checkpoint_controls/srr_no_anchor_control/predictions/Case1021.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1021.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,54364,0,,3.754220485687256,True,True,True,a0b52f54358019debf8be39022da70fc6bb29f5977375bd8e633eafa2784e9c6
Case1023,srr_no_anchor_control,0,"[21, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1023.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1023.nii.gz,results/20260721_srr_batch4_forced_fold0_training/selected_checkpoint_controls/srr_no_anchor_control/predictions/Case1023.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1023.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,110600,0,,3.8184282779693604,True,True,True,03f0bf990b863c6d4a766a9cf4c6324cbdb9e03f0ba9f3a27e37e43e7bdd4f40
Case1029,srr_no_anchor_control,0,"[19, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1029.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1029.nii.gz,results/20260721_srr_batch4_forced_fold0_training/selected_checkpoint_controls/srr_no_anchor_control/predictions/Case1029.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1029.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,53398,0,,3.728394031524658,True,True,True,29ffc805060e7555a2609782c187e2cec89fc892c4bb10d0181d24026818db64
Case1033,srr_no_anchor_control,0,"[20, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1033.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1033.nii.gz,results/20260721_srr_batch4_forced_fold0_training/selected_checkpoint_controls/srr_no_anchor_control/predictions/Case1033.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1033.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,76323,0,,3.767822265625,True,True,True,fa84f3bd56264c9f46405e99fbfeab9d2d70e62a28f449cf84121ab1bea2d82c
Case1040,srr_no_anchor_control,0,"[12, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1040.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1040.nii.gz,results/20260721_srr_batch4_forced_fold0_training/selected_checkpoint_controls/srr_no_anchor_control/predictions/Case1040.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1040.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,35303,0,,3.760195732116699,True,True,True,8e391cd4a4a3190b2c6ca251b6f1c47e971607837dfd8a699e0d4c1e2f726c98
Case1042,srr_no_anchor_control,0,"[7, 256, 256]","1.0,0.0,0.0",data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1042.npz,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1042.nii.gz,results/20260721_srr_batch4_forced_fold0_training/selected_checkpoint_controls/srr_no_anchor_control/predictions/Case1042.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1042.nii.gz,1,1,1,validation_inference_all_train_shards,True,True,15270,0,,3.769191026687622,True,True,True,422cbad6833574f9722df20d8583a2ff5b273e3462163475db50b062d9357222
