source,job_id,state,exit_code,elapsed,timelimit,required_optimizer_steps,checkpoint_best_step,training_credit,optimizer_steps_credit,train_loop_seconds_credit,status,evidence_reason
temporal_dictionary,58932628,FAILED,1:0,00:00:07,08:00:00,20000,,0,0,0,STARTUP_FAILED,runtime_root_missing_upstream_summaries
temporal_dictionary,58997393,TIMEOUT,0:0,08:00:20,08:00:00,20000,6000,0,0,0,NEEDS_EVIDENCE_TIMEOUT,timeout_before_terminal_summary_or_final_checkpoint
