variant,case_id,P_union_nonzero_rate,P_LV_nonzero_rate,P_RV_nonzero_rate,distance_range,uncertainty_range,scar_proposal_foreground_rate,edema_proposal_foreground_rate,scar_positive_similarity_mean,scar_negative_similarity_mean,edema_positive_similarity_mean,edema_negative_similarity_mean,anchor_component_evidence_contribution,proposal_recall_precision_proxy,outside_myocardium_FP_proxy,no_T2_edema_proposal_voxels
m6_full_srr_context_arbitration,synthetic_anchor_derived_t2_present,1.0,1.0,1.0,0.04141491651535034:0.0924120843410492,0.33653032779693604:0.7272101044654846,0.0033333334140479565,0.0054166666232049465,-0.034285832196474075,0.3465083837509155,-0.24858981370925903,0.2702813446521759,0.010833333246409893,synthetic_nonzero_support,0.6137715936840021,0
m6_conservative_component_arbitration,synthetic_anchor_derived_t2_present,1.0,1.0,1.0,0.02309870719909668:0.08186616748571396,0.399291455745697:0.7173190116882324,0.0033333334140479565,0.006666666828095913,0.124903105199337,0.31784674525260925,-0.13852567970752716,0.27195921540260315,0.010833333246409893,synthetic_nonzero_support,0.604928778997822,0
m6_scar_precision_edema_safe,synthetic_anchor_derived_t2_present,1.0,1.0,1.0,0.043087661266326904:0.20720261335372925,0.30287712812423706:0.7416820526123047,0.0033333334140479565,0.007499999832361937,0.01025839801877737,0.24329493939876556,0.055438701063394547,0.3720669746398926,0.010833333246409893,synthetic_nonzero_support,0.6076861243565206,0
