fold,event,timestamp,steps,device
2,start,2026-08-01T04:37:19.019463+00:00,1,cuda
2,checkpoint,2026-08-01T04:37:19.883865+00:00,1,cuda,2.9990131855010986
2,complete,2026-08-01T04:37:19.885236+00:00,1,cuda,2.9990131855010986
2,start,2026-08-01T04:39:53.298429+00:00,4000,cuda
2,checkpoint,2026-08-01T04:40:11.534860+00:00,500,cuda,1.1273396015167236
2,checkpoint,2026-08-01T04:40:30.108346+00:00,1000,cuda,0.6076350808143616
2,checkpoint,2026-08-01T04:40:48.989977+00:00,1500,cuda,0.36127397418022156
2,start,2026-08-01T04:40:57.945073+00:00,4000,cuda
2,checkpoint,2026-08-01T04:41:08.420831+00:00,2000,cuda,0.2364349663257599
2,checkpoint,2026-08-01T04:41:18.173982+00:00,500,cuda,1.1435801982879639
2,checkpoint,2026-08-01T04:41:28.072748+00:00,2500,cuda,0.3701189458370209
2,checkpoint,2026-08-01T04:41:37.977497+00:00,1000,cuda,0.6179395318031311
2,checkpoint,2026-08-01T04:41:47.928712+00:00,3000,cuda,1.208748698234558
2,checkpoint,2026-08-01T04:41:58.004486+00:00,1500,cuda,0.3700273633003235
2,checkpoint,2026-08-01T04:42:07.822919+00:00,3500,cuda,0.08327450603246689
2,checkpoint,2026-08-01T04:42:17.770351+00:00,2000,cuda,0.2439391314983368
2,checkpoint,2026-08-01T04:42:27.703952+00:00,4000,cuda,0.06303846091032028
2,complete,2026-08-01T04:42:27.705367+00:00,4000,cuda,0.06303846091032028
3,start,2026-08-01T04:42:32.096887+00:00,4000,cuda
2,checkpoint,2026-08-01T04:42:37.510069+00:00,2500,cuda,0.3754306733608246
3,checkpoint,2026-08-01T04:42:52.149206+00:00,500,cuda,1.7837461233139038
2,checkpoint,2026-08-01T04:42:57.732021+00:00,3000,cuda,1.1937942504882812
3,checkpoint,2026-08-01T04:43:11.776209+00:00,1000,cuda,0.9995276927947998
2,checkpoint,2026-08-01T04:43:17.855319+00:00,3500,cuda,0.08508764952421188
3,checkpoint,2026-08-01T04:43:31.703027+00:00,1500,cuda,0.5989400744438171
2,checkpoint,2026-08-01T04:43:38.426493+00:00,4000,cuda,0.06462596356868744
2,complete,2026-08-01T04:43:38.428951+00:00,4000,cuda,0.06462596356868744
3,start,2026-08-01T04:43:42.742907+00:00,4000,cuda
3,checkpoint,2026-08-01T04:43:50.996607+00:00,2000,cuda,0.3714209496974945
3,checkpoint,2026-08-01T04:44:02.512573+00:00,500,cuda,1.4821783304214478
3,checkpoint,2026-08-01T04:44:10.010194+00:00,2500,cuda,0.2472529411315918
3,checkpoint,2026-08-01T04:44:21.583909+00:00,1000,cuda,0.8517070412635803
3,checkpoint,2026-08-01T04:44:29.150608+00:00,3000,cuda,0.1710081696510315
3,checkpoint,2026-08-01T04:44:40.758548+00:00,1500,cuda,0.5042263865470886
3,checkpoint,2026-08-01T04:44:48.548031+00:00,3500,cuda,0.12079405784606934
3,checkpoint,2026-08-01T04:45:00.369528+00:00,2000,cuda,0.3062191903591156
3,checkpoint,2026-08-01T04:45:08.276828+00:00,4000,cuda,0.10394025593996048
3,complete,2026-08-01T04:45:08.278421+00:00,4000,cuda,0.10394025593996048
3,checkpoint,2026-08-01T04:45:19.142861+00:00,2500,cuda,0.20256009697914124
3,checkpoint,2026-08-01T04:45:37.084752+00:00,3000,cuda,0.13880391418933868
3,checkpoint,2026-08-01T04:45:55.056245+00:00,3500,cuda,0.09880077093839645
3,checkpoint,2026-08-01T04:46:12.979728+00:00,4000,cuda,0.09092395752668381
3,complete,2026-08-01T04:46:12.981256+00:00,4000,cuda,0.09092395752668381
