variant,source_variant_dir,summary_present,predictions_present,subgroup_metrics_present,component_metrics_present,ready,searched_roots
srr_v2_capacity12_edema_t2_focus,results/20260629_srr_v2_unet_core/capacity_targeted_extras/variants/srr_v2_capacity12_edema_t2_focus,True,True,True,True,True,results/20260629_srr_v2_unet_core/capacity_targeted_extras:ready
srr_v2_capacity12_scar_precision_nointeract,results/20260629_srr_v2_unet_core/capacity_targeted_extras/variants/srr_v2_capacity12_scar_precision_nointeract,True,True,True,True,True,results/20260629_srr_v2_unet_core/capacity_targeted_extras:ready
