variant,step,stage,loss,evidence_loss,final_loss,scar_proposal_loss,edema_proposal_loss,proposal_margin_loss,roi_cover_loss,roi_remote_loss,proposal_weight,refine_weight,edema_supervised_batch_fraction,batch_cases,elapsed_seconds
srr_propref_scar_precision,1,evidence_warmup,3.910296678543091,3.910296678543091,4.071294784545898,0.6952710151672363,0.5203348994255066,0.2680344581604004,0.6279643774032593,0.2512606084346771,0.0,0.0,0.5,"Case1068,Case3029",0.19433297899377067
srr_propref_scar_precision,50,evidence_warmup,2.3814146518707275,2.3814146518707275,2.419759511947632,0.5963613390922546,0.5751521587371826,0.2797611951828003,0.6068888902664185,0.10835443437099457,0.0,0.0,1.0,"Case3027,Case2006",3.6043656900001224
srr_propref_scar_precision,100,evidence_warmup,2.0628442764282227,2.0628442764282227,2.0806186199188232,0.5647623538970947,0.33773159980773926,0.28183406591415405,0.4756782650947571,0.08875063061714172,0.0,0.0,0.5,"Case3021,Case8004",7.011306001004414
srr_propref_scar_precision,150,evidence_warmup,2.2414872646331787,2.2414872646331787,2.263190746307373,0.6054378151893616,0.2966243624687195,0.2791820168495178,0.4796488285064697,0.09953490644693375,0.0,0.0,0.5,"Case3032,Case1061",10.47096503499779
srr_propref_scar_precision,200,evidence_warmup,1.4897823333740234,1.4897823333740234,1.5034472942352295,0.5761386752128601,-0.0,0.16867682337760925,0.2995263636112213,0.08248154073953629,0.0,0.0,0.0,"Case3009,Case8024",13.990611806002562
srr_propref_scar_precision,250,evidence_warmup,1.7040822505950928,1.7040822505950928,1.7105357646942139,0.5303162932395935,0.44841712713241577,0.27422770857810974,0.5333684086799622,0.05871333181858063,0.0,0.0,1.0,"Case2009,Case3010",17.384723103998112
srr_propref_scar_precision,300,evidence_warmup,1.3965282440185547,1.3965282440185547,1.4018608331680298,0.5829931497573853,-0.0,0.1724046915769577,0.30047017335891724,0.10868169367313385,0.0,0.0,0.0,"Case1011,Case1066",20.80917188699823
srr_propref_scar_precision,300,evidence_warmup,,,,,,,,,,,,,21.0714428749925
srr_propref_scar_precision,350,evidence_warmup,1.7432509660720825,1.7432509660720825,1.7460055351257324,0.5056105256080627,0.48643267154693604,0.27095651626586914,0.5384238958358765,0.07381078600883484,0.0,0.0,1.0,"Case2029,Case2023",24.474703721003607
srr_propref_scar_precision,360,evidence_warmup,,,,,,,,,,,,,25.417184150006506
srr_propref_scar_precision,400,proposal_dictionary,1.9610159397125244,1.5351338386535645,1.5170445442199707,0.28372421860694885,0.46415528655052185,0.1322575956583023,0.4626816511154175,0.03388325870037079,0.550000011920929,0.20000000298023224,1.0,"Case2021,Case3041",28.47459574000095
srr_propref_scar_precision,450,proposal_dictionary,1.9034042358398438,1.5951216220855713,1.5784235000610352,0.34589821100234985,0.19341298937797546,0.1060127392411232,0.3522985577583313,0.027853114530444145,0.550000011920929,0.20000000298023224,0.5,"Case3024,Case2028",32.214343415995245
srr_propref_scar_precision,500,proposal_dictionary,1.5133929252624512,1.1911908388137817,1.2016359567642212,0.5712029933929443,-0.0,0.07309450209140778,0.29575738310813904,0.054114632308483124,0.550000011920929,0.20000000298023224,0.0,"Case8016,Case3005",35.97244417300681
srr_propref_scar_precision,550,proposal_dictionary,1.9831169843673706,1.5011922121047974,1.494593858718872,0.44472527503967285,0.39496034383773804,0.18270646035671234,0.4932800829410553,0.03720845654606819,0.550000011920929,0.20000000298023224,1.0,"Case2027,Case3010",39.70342805699329
srr_propref_scar_precision,600,proposal_dictionary,1.3347772359848022,1.0598118305206299,1.0585299730300903,0.48710015416145325,-0.0,0.06418448686599731,0.2608278691768646,0.05359821766614914,0.550000011920929,0.20000000298023224,0.0,"Case6003,Case1025",43.46036721399287
srr_propref_scar_precision,600,proposal_dictionary,,,,,,,,,,,,,43.717093942992506
srr_propref_scar_precision,650,proposal_dictionary,1.8211919069290161,1.4357682466506958,1.4226124286651611,0.3493666350841522,0.33865055441856384,0.06376525014638901,0.43737924098968506,0.03664523735642433,0.550000011920929,0.20000000298023224,1.0,"Case2035,Case2001",47.43109772900061
srr_propref_scar_precision,700,proposal_dictionary,1.8376197814941406,1.5131865739822388,1.4982318878173828,0.3870199918746948,0.18402770161628723,0.09415445476770401,0.35601532459259033,0.02012038417160511,0.550000011920929,0.20000000298023224,0.5,"Case2030,Case2005",51.16684288799297
srr_propref_scar_precision,750,proposal_dictionary,1.9118505716323853,1.5611813068389893,1.5430073738098145,0.39972010254859924,0.20565837621688843,0.16100957989692688,0.37872689962387085,0.026876874268054962,0.550000011920929,0.20000000298023224,0.5,"Case3014,Case1078",54.88362056600454
srr_propref_scar_precision,800,proposal_dictionary,1.8415144681930542,1.533010721206665,1.5220279693603516,0.40796464681625366,0.14306288957595825,0.049441419541835785,0.35098084807395935,0.043778132647275925,0.550000011920929,0.20000000298023224,0.5,"Case1003,Case2014",58.67851560800045
srr_propref_scar_precision,850,proposal_dictionary,1.4683232307434082,1.145253300666809,1.1223156452178955,0.2334139198064804,0.34565505385398865,0.04165472835302353,0.40783655643463135,0.03476541116833687,0.550000011920929,0.20000000298023224,1.0,"Case2010,Case2003",62.475468800999806
srr_propref_scar_precision,900,proposal_dictionary,2.051907777786255,1.7254940271377563,1.711714506149292,0.40558111667633057,0.1692037731409073,0.09347274154424667,0.3699660301208496,0.036210592836141586,0.550000011920929,0.20000000298023224,0.5,"Case1076,Case2034",66.29163228100515
srr_propref_scar_precision,900,proposal_dictionary,,,,,,,,,,,,,66.55387581899413
srr_propref_scar_precision,950,proposal_dictionary,1.8050928115844727,1.4724541902542114,1.464543104171753,0.4083140790462494,0.18298901617527008,0.0674712285399437,0.37016671895980835,0.05083131790161133,0.550000011920929,0.20000000298023224,0.5,"Case8013,Case2005",70.41578902500623
srr_propref_scar_precision,1000,proposal_dictionary,1.8859831094741821,1.460305094718933,1.4492673873901367,0.4446539878845215,0.3175029158592224,0.05901508033275604,0.4615364968776703,0.017167983576655388,0.550000011920929,0.20000000298023224,1.0,"Case3005,Case2032",74.21471308199398
srr_propref_scar_precision,1050,proposal_dictionary,2.070178747177124,1.7339612245559692,1.7183821201324463,0.3898426592350006,0.20745694637298584,0.07002589851617813,0.34704160690307617,0.014312610030174255,0.550000011920929,0.20000000298023224,0.5,"Case7001,Case3024",78.0047638679971
srr_propref_scar_precision,1080,proposal_dictionary,,,,,,,,,,,,,80.50597914999526
srr_propref_scar_precision,1100,soft_roi_refinement,2.6149041652679443,1.5128306150436401,1.4502307176589966,0.4291672110557556,0.47144949436187744,0.1457005739212036,0.4896499216556549,0.028081394731998444,0.550000011920929,1.0,1.0,"Case3022,Case3025",82.12183334199653
srr_propref_scar_precision,1150,soft_roi_refinement,2.2016589641571045,1.3154420852661133,1.237065076828003,0.24773848056793213,0.4467369318008423,0.12059834599494934,0.43039819598197937,0.027244511991739273,0.550000011920929,1.0,1.0,"Case3029,Case3022",86.16457090100448
