variant,step,stage,loss,evidence_loss,final_loss,scar_proposal_loss,edema_proposal_loss,proposal_margin_loss,roi_cover_loss,roi_remote_loss,proposal_weight,refine_weight,edema_supervised_batch_fraction,anchor_present_batch_fraction,component_present_batch_fraction,batch_cases,elapsed_seconds
srr_propref_no_proto_cascade,1,evidence_warmup,3.702603578567505,3.702603578567505,3.6952433586120605,0.4005017876625061,0.2833128571510315,0.25,0.384374737739563,0.07550600171089172,0.0,0.0,0.5,1.0,1.0,"Case1068,Case3029",0.4669648949056864
srr_propref_no_proto_cascade,50,evidence_warmup,1.9460362195968628,1.9460362195968628,1.9384562969207764,0.43570592999458313,0.5472121238708496,0.25,0.5033033490180969,0.042109131813049316,0.0,0.0,1.0,1.0,1.0,"Case3027,Case2006",20.512690431438386
srr_propref_no_proto_cascade,100,evidence_warmup,1.7274075746536255,1.7274075746536255,1.7199749946594238,0.3716069757938385,0.29708704352378845,0.25,0.37389999628067017,0.022333063185214996,0.0,0.0,0.5,1.0,1.0,"Case3021,Case8004",41.13998559117317
srr_propref_no_proto_cascade,150,evidence_warmup,1.677140712738037,1.677140712738037,1.6694780588150024,0.47821706533432007,0.30963850021362305,0.25,0.40515097975730896,0.019050415605306625,0.0,0.0,0.5,1.0,1.0,"Case3032,Case1061",61.70212273020297
srr_propref_no_proto_cascade,200,evidence_warmup,1.0532293319702148,1.0532293319702148,1.051293134689331,0.48056766390800476,-0.0,0.25,0.24855607748031616,0.016341768205165863,0.0,0.0,0.0,0.5,0.5,"Case3009,Case8024",82.7378733176738
srr_propref_no_proto_cascade,250,evidence_warmup,1.2914133071899414,1.2914133071899414,1.2857695817947388,0.4607779383659363,0.4335750937461853,0.25,0.4696950614452362,0.022424887865781784,0.0,0.0,1.0,1.0,1.0,"Case2009,Case3010",103.33322889264673
srr_propref_no_proto_cascade,300,evidence_warmup,0.8536269068717957,0.8536269068717957,0.8511713743209839,0.42596110701560974,-0.0,0.25,0.23154112696647644,0.01606673002243042,0.0,0.0,0.0,1.0,1.0,"Case1011,Case1066",124.1838323995471
srr_propref_no_proto_cascade,350,evidence_warmup,1.3185181617736816,1.3185181617736816,1.3160090446472168,0.3118222951889038,0.4098862409591675,0.25,0.4110795259475708,0.023016635328531265,0.0,0.0,1.0,1.0,1.0,"Case2029,Case2023",145.1247194139287
srr_propref_no_proto_cascade,400,evidence_warmup,1.2724841833114624,1.2724841833114624,1.270897388458252,0.22694072127342224,0.44608527421951294,0.25,0.3917253017425537,0.01484822016209364,0.0,0.0,1.0,1.0,1.0,"Case2021,Case3041",165.6314824456349
srr_propref_no_proto_cascade,450,evidence_warmup,1.391157627105713,1.391157627105713,1.3886967897415161,0.4285350739955902,0.23012953996658325,0.25,0.35562992095947266,0.013956060633063316,0.0,0.0,0.5,0.5,0.5,"Case3024,Case2028",187.13515338674188
srr_propref_no_proto_cascade,500,evidence_warmup,0.9801041483879089,0.9801041483879089,0.9768586158752441,0.48236003518104553,-0.0,0.25,0.24997524917125702,0.013267109170556068,0.0,0.0,0.0,0.5,0.5,"Case8016,Case3005",207.96892337314785
srr_propref_no_proto_cascade,550,evidence_warmup,1.2331783771514893,1.2331783771514893,1.2299983501434326,0.4153813123703003,0.4252113997936249,0.25,0.45782923698425293,0.02042260393500328,0.0,0.0,1.0,1.0,1.0,"Case2027,Case3010",228.71133603528142
srr_propref_no_proto_cascade,600,evidence_warmup,0.7382461428642273,0.7382461428642273,0.7378023862838745,0.4176531434059143,-0.0,0.25,0.22172975540161133,0.013457349501550198,0.0,0.0,0.0,0.5,0.5,"Case6003,Case1025",249.3401107089594
srr_propref_no_proto_cascade,600,evidence_warmup,,,,,,,,,,,,,,,251.1476821238175
srr_propref_no_proto_cascade,650,evidence_warmup,1.1352208852767944,1.1352208852767944,1.1366419792175293,0.37182697653770447,0.42024514079093933,0.25,0.42521941661834717,0.016217736527323723,0.0,0.0,1.0,0.5,0.5,"Case2035,Case2001",271.75750975869596
srr_propref_no_proto_cascade,700,evidence_warmup,1.332149624824524,1.332149624824524,1.3312910795211792,0.3842918574810028,0.20795443654060364,0.25,0.33073046803474426,0.00987248308956623,0.0,0.0,0.5,0.5,0.5,"Case2030,Case2005",292.33320717606694
srr_propref_no_proto_cascade,750,evidence_warmup,1.2660404443740845,1.2660404443740845,1.2669951915740967,0.34651848673820496,0.23934748768806458,0.25,0.3370096683502197,0.009065459482371807,0.0,0.0,0.5,1.0,1.0,"Case3014,Case1078",313.15965888183564
srr_propref_no_proto_cascade,800,evidence_warmup,1.2467564344406128,1.2467564344406128,1.2436705827713013,0.44005483388900757,0.26138195395469666,0.25,0.3656713366508484,0.016161054372787476,0.0,0.0,0.5,0.5,0.5,"Case1003,Case2014",333.87200179789215
srr_propref_no_proto_cascade,850,evidence_warmup,0.9727276563644409,0.9727276563644409,0.971899151802063,0.25719982385635376,0.3544759750366211,0.25,0.3613643944263458,0.014556266367435455,0.0,0.0,1.0,1.0,1.0,"Case2010,Case2003",354.92562516313046
srr_propref_no_proto_cascade,900,evidence_warmup,1.560317873954773,1.560317873954773,1.558608055114746,0.31553950905799866,0.22794434428215027,0.25,0.3189338445663452,0.013450417667627335,0.0,0.0,0.5,1.0,1.0,"Case1076,Case2034",375.5943032493815
srr_propref_no_proto_cascade,950,evidence_warmup,1.3263647556304932,1.3263647556304932,1.3233165740966797,0.3148646950721741,0.2026168406009674,0.25,0.31018269062042236,0.01973039284348488,0.0,0.0,0.5,1.0,1.0,"Case8013,Case2005",395.90807422902435
srr_propref_no_proto_cascade,1000,evidence_warmup,1.2077367305755615,1.2077367305755615,1.2065190076828003,0.40814006328582764,0.4366777241230011,0.25,0.46266740560531616,0.007101407274603844,0.0,0.0,1.0,1.0,0.5,"Case3005,Case2032",416.77363617904484
srr_propref_no_proto_cascade,1050,evidence_warmup,1.563125491142273,1.563125491142273,1.5576837062835693,0.33989134430885315,0.2595059871673584,0.25,0.33756786584854126,0.004124644212424755,0.0,0.0,0.5,1.0,1.0,"Case7001,Case3024",437.35480559431016
