case_count,empty_prediction_count,empty_prediction_rate,gt_positive_cases,harm_count_vs_nnunet,help_count_vs_nnunet,mean_component_count,mean_dice,mean_hd95,mean_precision,mean_recall,mean_remote_fp_volume_mm3,mean_volume_ratio,no_t2_edema_predicted_voxels_sum,pathology,population,seed,source,source_prefix,variant
44,28,0.6363636363636364,16,0,0,3.3181818181818183,0.3944358976789887,7.276922314931449,0.43962432590450795,0.4432884090805682,86.19135076349431,1.6121482631185355,0,edema,full44,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
16,0,0.0,16,0,0,9.125,0.3944358976789887,20.011536366061485,0.43962432590450795,0.4432884090805682,237.02621459960938,1.6121482631185355,0,edema,positive_gt,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
44,28,0.6363636363636364,16,0,0,3.3181818181818183,0.3944358976789887,7.276922314931449,0.43962432590450795,0.4432884090805682,86.19135076349431,1.6121482631185355,0,edema,all_cases_empty_safe,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
16,0,0.0,16,0,0,9.125,0.3944358976789887,20.011536366061485,0.43962432590450795,0.4432884090805682,237.02621459960938,1.6121482631185355,0,edema,complete_trimodal,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
22,14,0.6363636363636364,8,0,0,3.090909090909091,0.36947312505446006,7.407061358134959,0.3666473137259121,0.4513048256879191,0.0,1.704672842080665,0,edema,calibration,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
22,14,0.6363636363636364,8,0,0,3.5454545454545454,0.4193986703035173,7.146783271727938,0.5126013380831038,0.43527199247321735,172.38270152698863,1.5196236841564064,0,edema,audit,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
7,0,0.0,7,0,0,7.714285714285714,0.5029744773313501,15.933514343740368,0.5664575663130916,0.49456750520856435,541.7742047991071,0.915974670131474,0,edema,CenterB,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
9,0,0.0,9,0,0,10.222222222222221,0.3100170023938187,23.18333127231124,0.34097625003116505,0.40340466764768235,0.0,2.1536166132195835,0,edema,CenterC,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
24,24,1.0,0,0,0,0.0,,0.0,,,0.0,,0,edema,lge_only,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
4,4,1.0,0,0,0,0.0,,0.0,,,0.0,,0,edema,lge_c0,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
44,1,0.022727272727272728,43,0,0,4.681818181818182,0.5601692281262312,13.600533414596173,0.612705292861441,0.5886849550508866,620.3619700074735,1.1342902419246623,0,scar,full44,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
43,1,0.023255813953488372,43,0,0,4.627906976744186,0.573196419478004,13.600533414596173,0.6272935141200469,0.5886849550508866,634.7889925657869,1.1342902419246623,0,scar,positive_gt,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
44,1,0.022727272727272728,43,0,0,4.681818181818182,0.5601692281262312,13.600533414596173,0.612705292861441,0.5886849550508866,620.3619700074735,1.1342902419246623,0,scar,all_cases_empty_safe,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
16,0,0.0,16,0,0,1.875,0.6933346102422654,9.267223535037347,0.7467715355658926,0.678988375865061,1.102447509765625,0.9503274991252523,0,scar,complete_trimodal,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
22,1,0.045454545454545456,21,0,0,5.136363636363637,0.48994163998925033,17.461348087811988,0.5633935380532723,0.5331900928707315,847.3669243847474,1.2366483291951065,0,scar,calibration,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
22,0,0.0,22,0,0,4.2272727272727275,0.630396816263212,10.09070189349089,0.6597756042692385,0.6416573234955801,393.35701563019956,1.036584794984693,0,scar,audit,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
7,0,0.0,7,0,0,2.2857142857142856,0.6131815991584469,12.440137428805636,0.6826839718540195,0.6050199093729007,2.5198800223214284,0.939391866868635,0,scar,CenterB,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
9,0,0.0,9,0,0,1.5555555555555556,0.7556758410852354,6.799401617662012,0.7966174184529049,0.7365194053589633,0.0,0.958832990880399,0,scar,CenterC,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
24,1,0.041666666666666664,24,0,0,6.041666666666667,0.501789292579108,16.87568991233629,0.5371511781651798,0.5511857828695994,1136.5953133405244,1.3199311129477658,0,scar,lge_only,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
4,0,0.0,3,0,0,7.75,0.3777873129448342,11.601986289569018,0.5108764815471377,0.4070600881589211,0.0,0.6302979020033548,0,scar,lge_c0,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
43,1,0.023255813953488372,43,0,0,4.627906976744186,0.573196419478004,13.600533414596173,0.6272935141200469,0.5886849550508866,634.7889925657869,1.1342902419246623,0,scar,large_scar,fold0,baseline_nnunet_evaluation_only,baseline_nnunet_fold0_existing_prediction,nnunet_fold0_baseline
