edema_calibration_empty_prediction_count,edema_calibration_harm_count,edema_calibration_positive_gt_delta_vs_nnunet,edema_calibration_positive_gt_dice,edema_calibration_positive_gt_hd95,edema_calibration_remote_fp_volume_mm3,edema_margin,empty_prediction_count_total,harm_count_total,hd95_sum,mean_pathology_delta_vs_nnunet,minimum_pathology_delta_vs_nnunet,postprocess_id,remote_fp_sum,scar_calibration_empty_prediction_count,scar_calibration_harm_count,scar_calibration_positive_gt_delta_vs_nnunet,scar_calibration_positive_gt_dice,scar_calibration_positive_gt_hd95,scar_calibration_remote_fp_volume_mm3,scar_margin,temperature
0,2,0.02757639724491978,0.39704952229937984,,,-0.25,0,18,0.0,-0.05491720601275968,-0.13741080927043914,temp0.75_scar-0.25_edema-0.25,0.0,0,16,-0.13741080927043914,0.37586138500401356,,,-0.25,0.75
0,2,0.026039075856274407,0.39551220091073447,,,0.0,0,19,0.0,-0.058784254041861245,-0.1436075839399969,temp0.75_scar-0.25_edema0.0,0.0,0,17,-0.1436075839399969,0.3696646103344558,,,-0.25,0.75
0,2,0.0246753142847127,0.39414843933917276,,,0.25,0,19,0.0,-0.06282830783067841,-0.15033192994606953,temp0.75_scar-0.25_edema0.25,0.0,0,17,-0.15033192994606953,0.36294026432838317,,,-0.25,0.75
0,2,0.029396255274655392,0.39886938032911545,,,-0.25,0,16,0.0,-0.04506203620809768,-0.11952032769085075,temp0.75_scar0.0_edema-0.25,0.0,0,14,-0.11952032769085075,0.39375186658360195,,,0.0,0.75
0,2,0.02737767013935133,0.3968507951938114,,,0.0,0,16,0.0,-0.04932282430838064,-0.1260233187561126,temp0.75_scar0.0_edema0.0,0.0,0,14,-0.1260233187561126,0.3872488755183401,,,0.0,0.75
0,2,0.026191011343421666,0.3956641363978817,,,0.25,0,16,0.0,-0.053053261368508325,-0.13229753408043832,temp0.75_scar0.0_edema0.25,0.0,0,14,-0.13229753408043832,0.3809746601940144,,,0.0,0.75
0,2,0.030973149822821844,0.4004462748772819,,,-0.25,0,16,0.0,-0.03587495563603976,-0.10272306109490137,temp0.75_scar0.25_edema-0.25,0.0,0,14,-0.10272306109490137,0.41054913317955133,,,0.25,0.75
0,2,0.029300897602277498,0.39877402265673756,,,0.0,0,16,0.0,-0.040366821123538454,-0.1100345398493544,temp0.75_scar0.25_edema0.0,0.0,0,14,-0.1100345398493544,0.4032376544250983,,,0.25,0.75
0,2,0.02755443974462557,0.39702756479908563,,,0.25,0,16,0.0,-0.04445339143686289,-0.11646122261835135,temp0.75_scar0.25_edema0.25,0.0,0,14,-0.11646122261835135,0.39681097165610135,,,0.25,0.75
0,2,0.03147210990658683,0.4009452349610469,,,-0.25,0,15,0.0,-0.001811796177576569,-0.03509570226173997,temp1.0_scar-0.25_edema-0.25,0.0,0,13,-0.03509570226173997,0.47817649201271273,,,-0.25,1.0
