loss_name,raw_value,total_ratio
anatomy_ce,3.36397123336792,0.3143536134210541
anatomy_dice,0.9894311428070068,0.0924595465881286
distance,0.8130845427513123,0.07598045473616744
edema_binary_t2_gated,1.0019433498382568,0.09362877700637089
edema_boundary,0.29610195755958557,0.02766989187559531
edema_context,1.3793671131134033,0.12889796200999265
edema_dense,1.0019433498382568,0.09362877700637089
edema_extent,1.4683679342269897,0.13721483744488933
edema_extent_area,0.09496721625328064,0.008874418214292844
edema_extent_presence,2.841768741607666,0.26555526503031446
injury,1.1293632984161377,0.1055358114245219
no_t2_edema_exclusive_total_loss,5.282301425933838,0.49361615341728976
relation,0.007157978136092424,0.0006688928459167524
scar_center,0.22083643078804016,0.02063654091468753
scar_component,0.9907655715942383,0.09258424519047048
scar_context,1.3102798461914062,0.12244195198740654
scar_dense,1.0085430145263672,0.09424549703699901
scar_extent,0.3950748145580292,0.03691862590740123
scar_extent_area,0.09555740654468536,0.008929569830593485
scar_extent_presence,0.6945922374725342,0.06490768337668042
six_class_ce,3.3653640747070312,0.3144837705114385
six_class_dice,0.99360591173172,0.09284966695647896
wall,2.737279176712036,0.2557910102222108
