label,component_index,component_voxels,overlaps_baseline_support,kept,case_id,mode,source_label
4,0,0,False,False,Case1002,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1007,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1009,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1010,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1021,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1023,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1029,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1033,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1040,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1042,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1045,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1047,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1053,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1062,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1070,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1073,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,0,0,False,False,Case1080,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,1,2776,True,True,Case2002,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,2,1,True,True,Case2002,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,3,1,True,True,Case2002,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
4,4,1,True,True,Case2002,edema_overlap_dilate2_keep_scar,nnunet_pathology_teacher_srr_refiner_signal_seek
