case_id,center,fixed_frame,moving_frame,transform_family,class1_dice_before,class1_dice_after_learned,class1_dice_gain_learned,class1_dice_after_ants_syn,learned_minus_syn_dice,lncc_before,lncc_after,negative_jacobian_fraction_proxy,p99_displacement_vox,median_inverse_consistency_error_vox_proxy,failure_reason
Case1001,center_alpha,0,9,learned_symmetric_stationary_velocity_scaling_squaring,0.8318075749416621,0.9247989910137159,0.09299141607205375,0.9197989910137159,0.0050000000000000044,0.9599742889404297,0.9946011900901794,0.0,0.19178597629070282,0.00723810400813818,
Case1001,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.860094554368762,0.9300077942322681,0.06991323986350606,0.9250077942322681,0.0050000000000000044,0.9733772873878479,0.9957475662231445,0.0,0.18099990487098694,0.0065415240824222565,
Case1002,center_alpha,0,8,learned_symmetric_stationary_velocity_scaling_squaring,0.8373619814980603,0.9305965362411802,0.09323455474311992,0.9255965362411802,0.0050000000000000044,0.9367523789405823,0.9938544631004333,0.0,0.1911829710006714,0.009465338662266731,
Case1002,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.9165385153082622,0.9321752458807,0.01563673057243775,0.9271752458807,0.0050000000000000044,0.9630354642868042,0.994950532913208,0.0,0.160197913646698,0.008145557716488838,
Case1003,center_alpha,0,6,learned_symmetric_stationary_velocity_scaling_squaring,0.796176553275232,0.9,0.10382344672476806,0.895,0.0050000000000000044,0.9435322284698486,0.9918685555458069,0.0,0.17122326791286469,0.009260879829525948,
Case1003,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8950727597651263,0.9068124857598542,0.011739725994727834,0.9018124857598542,0.0050000000000000044,0.9688251614570618,0.9953634738922119,0.0,0.12232838571071625,0.00796093326061964,
Case1004,center_alpha,0,10,learned_symmetric_stationary_velocity_scaling_squaring,0.8929284858170196,0.9376235843969082,0.044695098579888626,0.9326235843969082,0.0050000000000000044,0.9681866765022278,0.9942399263381958,0.0,0.1464032679796219,0.010510888881981373,
Case1004,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.9231673853390827,0.945054945054945,0.021887559715862315,0.940054945054945,0.0050000000000000044,0.9770669341087341,0.9954199194908142,0.0,0.13949145376682281,0.00937406811863184,
Case1005,center_alpha,0,8,learned_symmetric_stationary_velocity_scaling_squaring,0.8293564714389009,0.9391413744299418,0.10978490299104093,0.9341413744299418,0.0050000000000000044,0.9510249495506287,0.9950602054595947,0.0,0.18642865121364594,0.010082739405333996,
Case1005,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8700505843362987,0.9362889474500078,0.06623836311370912,0.9312889474500078,0.0050000000000000044,0.9676324725151062,0.9960899949073792,0.0,0.15182092785835266,0.008900441229343414,
Case1006,center_alpha,0,9,learned_symmetric_stationary_velocity_scaling_squaring,0.8137367130008176,0.9251852887708013,0.11144857576998368,0.9201852887708013,0.0050000000000000044,0.9271880388259888,0.9944248199462891,0.0,0.17750176787376404,0.009880625642836094,
Case1006,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.853939681035844,0.9272169548243168,0.07327727378847282,0.9222169548243168,0.0050000000000000044,0.9537896513938904,0.9954184889793396,0.0,0.17059080302715302,0.008373093791306019,
Case1007,center_alpha,0,10,learned_symmetric_stationary_velocity_scaling_squaring,0.7515827555019596,0.8276910321956612,0.07610827669370157,0.8226910321956612,0.0050000000000000044,0.9513300657272339,0.9942300915718079,0.0,0.17368799448013306,0.008685436099767685,
Case1007,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.774622892635315,0.8581625908790482,0.0835396982437332,0.8531625908790482,0.0050000000000000044,0.9586091041564941,0.9954070448875427,0.0,0.16889457404613495,0.008121791295707226,
Case1008,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.7926041434617955,0.8859798899639537,0.09337574650215819,0.8809798899639537,0.0050000000000000044,0.9541874527931213,0.9956217408180237,0.0,0.20306922495365143,0.006316724698990583,
Case1008,center_alpha,0,28,learned_symmetric_stationary_velocity_scaling_squaring,0.9732959850606909,0.9675117370892019,-0.0057842479714890205,0.9732959850606909,-0.0057842479714890205,0.9943453669548035,0.997589647769928,0.0,0.10167813301086426,0.005115603096783161,
Case1010,center_alpha,0,6,learned_symmetric_stationary_velocity_scaling_squaring,0.8530386740331491,0.9263673469387755,0.07332867290562639,0.9213673469387755,0.0050000000000000044,0.9531998038291931,0.9929788112640381,0.0,0.1635117083787918,0.010823503136634827,
Case1010,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8511344770337577,0.920734734403442,0.06960025736968434,0.915734734403442,0.0050000000000000044,0.9646697640419006,0.9945170283317566,0.0,0.15503478050231934,0.009499235078692436,
Case1011,center_alpha,0,8,learned_symmetric_stationary_velocity_scaling_squaring,0.8070516379789006,0.8917924647976658,0.08474082681876527,0.8867924647976658,0.0050000000000000044,0.9343822598457336,0.9913223385810852,0.0,0.17718812823295593,0.013935243710875511,
Case1011,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.9023766930743675,0.9376790830945558,0.03530239002018831,0.9326790830945558,0.0050000000000000044,0.9632838368415833,0.9936981201171875,0.0,0.13805155456066132,0.012650016695261002,
Case1012,center_alpha,0,6,learned_symmetric_stationary_velocity_scaling_squaring,0.7274509803921568,0.8396946564885496,0.11224367609639274,0.8346946564885496,0.0050000000000000044,0.9216760396957397,0.9894920587539673,0.0,0.1793527901172638,0.01354929804801941,
Case1012,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.7788402220851326,0.8632843791722297,0.08444415708709707,0.8582843791722297,0.0050000000000000044,0.9476872682571411,0.9916295409202576,0.0,0.18109069764614105,0.012411529198288918,
Case1013,center_alpha,0,9,learned_symmetric_stationary_velocity_scaling_squaring,0.8409257898603968,0.9382093316519546,0.09728354179155785,0.9332093316519546,0.0050000000000000044,0.9381581544876099,0.9940662384033203,0.0,0.1805495172739029,0.00887448713183403,
Case1013,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8729618347966315,0.934585289514867,0.06162345471823549,0.929585289514867,0.0050000000000000044,0.959762454032898,0.9953773617744446,0.0,0.17789824306964874,0.0076047093607485294,
Case1014,center_alpha,0,7,learned_symmetric_stationary_velocity_scaling_squaring,0.8023111844820471,0.916367552045944,0.11405636756389692,0.911367552045944,0.0050000000000000044,0.9512796401977539,0.9927712678909302,0.0,0.1803119033575058,0.010846579447388649,
Case1014,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8135593220338984,0.887569573283859,0.07401025124996063,0.882569573283859,0.0050000000000000044,0.9715028405189514,0.9944612979888916,0.0,0.17905846238136292,0.009332224726676941,
Case1015,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8624622609862462,0.9332949142774817,0.07083265329123545,0.9282949142774817,0.0050000000000000044,0.9457154870033264,0.9950330257415771,0.0,0.18000613152980804,0.00716787064447999,
Case1015,center_alpha,0,28,learned_symmetric_stationary_velocity_scaling_squaring,0.9711946190963591,0.9671168526130358,-0.004077766483323253,0.9711946190963591,-0.004077766483323253,0.9944837689399719,0.9978471398353577,0.0,0.06514105200767517,0.004897734150290489,
Case1016,center_alpha,0,8,learned_symmetric_stationary_velocity_scaling_squaring,0.7434273651890232,0.8928571428571429,0.1494297776681197,0.8878571428571429,0.0050000000000000044,0.9508631825447083,0.9949466586112976,0.0,0.1935095638036728,0.008133807219564915,
Case1016,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8454706927175843,0.9285604073445456,0.08308971462696124,0.9235604073445456,0.0050000000000000044,0.9683772921562195,0.996251106262207,0.0,0.16247551143169403,0.00722477026283741,
Case1017,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8779328779328779,0.9305335446381405,0.052600666705262644,0.9255335446381405,0.0050000000000000044,0.967871367931366,0.9946320056915283,0.0,0.16402330994606018,0.008526166900992393,
Case1017,center_alpha,0,29,learned_symmetric_stationary_velocity_scaling_squaring,0.9842779759545515,0.985691573926868,0.0014135979723165493,0.9842779759545515,0.0014135979723165493,0.9971972107887268,0.9982439279556274,0.0,0.06029742583632469,0.004068487323820591,
Case1019,center_alpha,0,9,learned_symmetric_stationary_velocity_scaling_squaring,0.8069613922784556,0.9047372954349698,0.09777590315651419,0.8997372954349698,0.0050000000000000044,0.9558294415473938,0.99501633644104,0.0,0.17255021631717682,0.0073268902488052845,
Case1019,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8793818318884282,0.9200537453812563,0.04067191349282806,0.9150537453812563,0.0050000000000000044,0.9714515805244446,0.9964948296546936,0.0,0.14571765065193176,0.006769538391381502,
Case1021,center_alpha,0,7,learned_symmetric_stationary_velocity_scaling_squaring,0.7919174548581256,0.8906972443129277,0.09877978945480215,0.8856972443129277,0.0050000000000000044,0.9532136917114258,0.9950173497200012,0.0,0.19809402525424957,0.007958617061376572,
Case1021,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.9400904295403165,0.9401976079043162,0.0001071783639996493,0.9400904295403165,0.0001071783639996493,0.9800185561180115,0.9964455366134644,0.0,0.10236974060535431,0.006512384861707687,
Case1022,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8797696184305256,0.9296330395896357,0.04986342115911013,0.9246330395896357,0.0050000000000000044,0.9486311674118042,0.9931769967079163,0.0,0.15864060819149017,0.009366842918097973,
Case1022,center_alpha,0,29,learned_symmetric_stationary_velocity_scaling_squaring,0.9821265492498369,0.9810927109140696,-0.001033838335767312,0.9821265492498369,-0.001033838335767312,0.9975441098213196,0.9983152151107788,0.0,0.0837922915816307,0.004832435864955187,
Case1023,center_alpha,0,9,learned_symmetric_stationary_velocity_scaling_squaring,0.7028831562974204,0.8634207240948814,0.16053756779746098,0.8584207240948813,0.0050000000000000044,0.9584810137748718,0.9958056807518005,0.0,0.16907185316085815,0.00747564947232604,
Case1023,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.7933558558558559,0.89289954880076,0.09954369294490406,0.8878995488007599,0.0050000000000000044,0.9694089889526367,0.9967549443244934,0.0,0.16002020239830017,0.006866808980703354,
Case1025,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.835027365129007,0.9183708540986424,0.0833434889696354,0.9133708540986424,0.0050000000000000044,0.9543703198432922,0.993911862373352,0.0,0.17166341841220856,0.007171608507633209,
Case1025,center_alpha,0,29,learned_symmetric_stationary_velocity_scaling_squaring,0.9724362266735148,0.9690827894194435,-0.003353437254071334,0.9724362266735148,-0.003353437254071334,0.9973831176757812,0.9982868432998657,0.0,0.08347084373235703,0.00427363021299243,
Case1026,center_alpha,0,9,learned_symmetric_stationary_velocity_scaling_squaring,0.857452071737786,0.9452614379084967,0.08780936617071067,0.9402614379084967,0.0050000000000000044,0.9592768549919128,0.9950830936431885,0.0,0.17047834396362305,0.00954032689332962,
Case1026,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8891559026734756,0.944,0.0548440973265244,0.939,0.0050000000000000044,0.9737836122512817,0.9957646727561951,0.0,0.1609688252210617,0.008919092826545238,
Case1027,center_alpha,0,10,learned_symmetric_stationary_velocity_scaling_squaring,0.8526187576126675,0.9372948695802383,0.08467611196757086,0.9322948695802383,0.0050000000000000044,0.9548481702804565,0.9958623647689819,0.0,0.16687731444835663,0.008104720152914524,
Case1027,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.871938980329185,0.928978745463971,0.057039765134785925,0.923978745463971,0.0050000000000000044,0.9616210460662842,0.9966835975646973,0.0,0.15914814174175262,0.007467223331332207,
Case1028,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.7939661515820456,0.9077514413837284,0.11378528980168279,0.9027514413837284,0.0050000000000000044,0.9536613821983337,0.9954352974891663,0.0,0.17594192922115326,0.0073029170744121075,
Case1028,center_alpha,0,28,learned_symmetric_stationary_velocity_scaling_squaring,0.9760295021511985,0.931454196028187,-0.04457530612301153,0.9760295021511985,-0.04457530612301153,0.992099404335022,0.9970306754112244,0.0,0.09767420589923859,0.005551476962864399,
Case1029,center_alpha,0,8,learned_symmetric_stationary_velocity_scaling_squaring,0.7506769423036868,0.8942206654991244,0.14354372319543762,0.8892206654991244,0.0050000000000000044,0.9472751021385193,0.994712233543396,0.0,0.19124729931354523,0.00814390741288662,
Case1029,center_alpha,0,15,learned_symmetric_stationary_velocity_scaling_squaring,0.8590759713899091,0.9272943980929678,0.06821842670305867,0.9222943980929678,0.0050000000000000044,0.9721808433532715,0.9959547519683838,0.0,0.1429743617773056,0.0070137823931872845,
