variant,case_id,intervention,pathology,final_logit_delta,changed_labels,dice,hd95_mm,lesion_recall,remote_fp,volume_ratio
A3,Case1014,disable_scar_head,mixed,56.4710578918457,259,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1014,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1014,disable_scar_proposal,mixed,23.71087646484375,97,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1014,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1017,disable_scar_head,mixed,50.81838607788086,375,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1017,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1017,disable_scar_proposal,mixed,18.223979949951172,105,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1017,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1018,disable_scar_head,mixed,51.650917053222656,376,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1018,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1018,disable_scar_proposal,mixed,19.510665893554688,125,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1018,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1025,disable_scar_head,mixed,54.418731689453125,1542,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1025,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1025,disable_scar_proposal,mixed,18.673114776611328,663,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1025,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1027,disable_scar_head,mixed,50.159698486328125,2276,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1027,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1027,disable_scar_proposal,mixed,17.81454086303711,820,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1027,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1031,disable_scar_head,mixed,52.76652526855469,1099,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1031,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1031,disable_scar_proposal,mixed,19.128028869628906,523,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1031,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1034,disable_scar_head,mixed,59.34157943725586,2251,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1034,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1034,disable_scar_proposal,mixed,15.924308776855469,1474,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1034,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1039,disable_scar_head,mixed,52.15168380737305,2268,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1039,disable_edema_head,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1039,disable_scar_proposal,mixed,17.551410675048828,472,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
A3,Case1039,disable_edema_proposal,mixed,0.0,0,PATCH_PROXY,PATCH_NOT_COMPUTED,PATCH_PROXY,PATCH_PROXY,PATCH_PROXY
