variant,class,dice_delta_mean,dice_help_count,dice_harm_count,hd95_delta_mean,hd95_help_count,hd95_harm_count,remote_fp_delta_mean,remote_fp_help_count,remote_fp_harm_count,n,verdict,source_path
srr_propref_no_proto_cascade,myops_scar,3.3816938457257884e-05,18,5,0.003127809282809884,1,3,0.0,0,0,44,near_identity_not_meaningful,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/help_harm/srr_propref_no_proto_cascade/ablation_summary.csv
srr_propref_no_proto_cascade,myops_edema,-1.4321846323941703e-05,1,6,-1.3359184475980612e-05,1,0,0.0,0,0,44,near_identity_not_meaningful,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/help_harm/srr_propref_no_proto_cascade/ablation_summary.csv
srr_propref_scar_precision,myops_scar,4.608205594205434e-05,17,5,0.003957435054601295,0,3,0.0,0,0,44,near_identity_not_meaningful,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/help_harm/srr_propref_scar_precision/ablation_summary.csv
srr_propref_scar_precision,myops_edema,-2.5997956972779885e-05,3,5,2.9633139506657358e-05,0,2,0.0,0,0,44,near_identity_not_meaningful,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/help_harm/srr_propref_scar_precision/ablation_summary.csv
srr_propref_shared_dual_dict,myops_scar,5.497634884262349e-05,17,6,0.001840107398469462,2,2,0.0,0,0,44,near_identity_not_meaningful,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/help_harm/srr_propref_shared_dual_dict/ablation_summary.csv
srr_propref_shared_dual_dict,myops_edema,-2.3248135711161708e-05,4,5,2.9633139506657358e-05,0,2,0.0,0,0,44,near_identity_not_meaningful,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/help_harm/srr_propref_shared_dual_dict/ablation_summary.csv
srr_v25_no_anatomy_roi,myops_scar,4.0638925660208247e-05,14,6,0.003928535912099486,1,3,0.0,0,0,44,near_identity_not_meaningful,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/help_harm/srr_v25_no_anatomy_roi/ablation_summary.csv
srr_v25_no_anatomy_roi,myops_edema,-3.614192942984396e-05,6,6,0.00018630055269957586,0,3,0.0,0,0,44,near_identity_not_meaningful,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/help_harm/srr_v25_no_anatomy_roi/ablation_summary.csv
srr_v25_no_anchor,myops_scar,-0.5586587758556688,1,42,142.90620577611296,0,42,856.9318181818181,0,44,44,harmful,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/help_harm/srr_v25_no_anchor/ablation_summary.csv
srr_v25_no_anchor,myops_edema,-0.14205075659560573,0,16,59.37790448740292,0,16,2073.7272727272725,0,16,44,harmful,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/help_harm/srr_v25_no_anchor/ablation_summary.csv
srr_v25_no_local_refine,myops_scar,1.3212173769238717e-05,10,4,0.0019644096682978804,0,2,0.0,0,0,44,near_identity_not_meaningful,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/help_harm/srr_v25_no_local_refine/ablation_summary.csv
srr_v25_no_local_refine,myops_edema,0.0,0,0,0.0,0,0,0.0,0,0,44,near_identity_not_meaningful,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/help_harm/srr_v25_no_local_refine/ablation_summary.csv
