lane,fold,checkpoint_step,pathology,case_count,dice_mean,hd95_vox_mean,exact_hd_vox_mean,precision_mean,sensitivity_mean,lesion_recall_mean,small_lesion_recall_mean,remote_fp_count_sum,remote_fp_voxels_sum,blood_pool_adjacent_fp_count_sum,blood_pool_adjacent_fp_voxels_sum,pred_component_count_sum,gt_component_count_sum,volume_ratio_mean,selection_scope,selection_rule,outer_cases_accessed
m3_care_tds,2+3,500,scar,26,0.022935203349639142,136.75003447771616,182.10307909485917,0.019172804214693452,0.034300539874611874,0.47435897435897434,0.0,10595,81343,333,2959,11055,33,1.3239310396640689,global_inner_fold2_fold3,scar:max_dice_tol_0.01_then_lower_hd95_tol_1_then_lower_remote_fp_then_higher_sensitivity_then_earlier_checkpoint,False
m3_care_tds,2+3,500,pure_edema,26,0.0,,,0.0,0.0,0.0,0.0,0,0,0,0,0,260,0.0,global_inner_fold2_fold3,edema:max_dice_tol_0.01_then_higher_sensitivity_tol_0.02_then_lower_hd95_then_volume_ratio_closer_1_then_earlier_checkpoint,False
