variant,step,loss,anatomy_loss,scar_loss,edema_loss,retrieval_loss,soft_containment_loss,component_compactness_loss,proposal_bce_loss,proposal_margin_loss,proposal_uncertainty_loss,edema_supervised_batch_fraction,batch_cases,elapsed_seconds
repaired_joint_calibrated_proposal,1,4.108053207397461,1.4245558977127075,0.711785614490509,0.9332413077354431,0.0006614151643589139,-0.0,-0.0,0.9111354351043701,0.2723320722579956,1.5688281059265137,1.0,"Case2022,Case3043",0.5427374402061105
repaired_joint_calibrated_proposal,1,4.108053207397461,,,,,,,,,,,,0.7588879875838757
repaired_joint_calibrated_proposal,500,2.4073452949523926,0.6097396016120911,0.5099335312843323,0.6022685766220093,0.0011245894711464643,-0.0,-0.0,0.5764541625976562,0.3248966336250305,0.7848267555236816,1.0,"Case3027,Case2030",22.724754960276186
repaired_joint_calibrated_proposal,1000,1.8482495546340942,0.7255560159683228,0.42661339044570923,0.30719107389450073,0.0016174545744434,-0.0,-0.0,0.2890101373195648,0.09475569427013397,0.7021530866622925,0.5,"Case7001,Case2022",44.85634176246822
repaired_joint_calibrated_proposal,1500,1.5764808654785156,0.17794230580329895,0.443992018699646,0.46301719546318054,0.001051845378242433,-0.0,-0.0,0.438362717628479,0.06566966325044632,0.6158994436264038,1.0,"Case2026,Case3032",65.90057928394526
repaired_joint_calibrated_proposal,2000,1.9048528671264648,0.33984076976776123,0.5175121426582336,0.5117062330245972,0.0021095972042530775,-0.0,-0.0,0.4194374978542328,0.1894194334745407,0.5217302441596985,0.5,"Case8010,Case2015",87.75842019543052
repaired_joint_calibrated_proposal,2500,1.8468830585479736,0.5936180353164673,0.387005090713501,0.3939303159713745,0.0019174751359969378,-0.0,-0.0,0.41015148162841797,0.13818910717964172,0.6983292102813721,1.0,"Case3016,Case3020",109.70080293249339
repaired_joint_calibrated_proposal,3000,1.4575034379959106,0.5930537581443787,0.30157938599586487,0.23683591187000275,0.0010987321147695184,-0.0,-0.0,0.27189773321151733,0.05751200020313263,0.7066523432731628,0.5,"Case2014,Case2005",131.29166743904352
repaired_joint_calibrated_proposal,3500,2.117676258087158,0.8290569186210632,0.3656037449836731,0.4655352830886841,0.001789831556379795,-0.0,-0.0,0.36110398173332214,0.12240208685398102,0.6115632057189941,0.5,"Case3039,Case3033",153.10211967490613
repaired_joint_calibrated_proposal,4000,1.5994856357574463,0.2506234347820282,0.4890596568584442,0.3821714520454407,0.0025689282920211554,-0.0,-0.0,0.40804916620254517,0.1200844794511795,0.6090068817138672,0.5,"Case3025,Case8002",174.47891178913414
repaired_joint_calibrated_proposal,4500,1.6664916276931763,0.3653038740158081,0.4608718752861023,0.3873812258243561,0.0011503013083711267,-0.0,-0.0,0.3710139989852905,0.11911626905202866,0.5910940766334534,1.0,"Case2015,Case2016",196.1152799250558
repaired_joint_calibrated_proposal,5000,1.4147729873657227,0.20729662477970123,0.40257468819618225,0.3723891079425812,0.0020317004527896643,-0.0,-0.0,0.37442728877067566,0.08213929831981659,0.6189761161804199,0.5,"Case8030,Case3006",217.95859584584832
