epoch,mean_loss,max_loss,loss_is_finite,scar_changed_voxels_train_patches,no_t2_new_edema_voxels_train_patches
1,0.23777314309030773,0.5182472467422485,True,0,3
2,0.22713867235928775,0.5211912989616394,True,0,3
3,0.23406545858830213,0.5483551025390625,True,0,4
4,0.23225335743278264,0.5147745013237,True,0,0
5,0.22883379191160202,0.5188081860542297,True,0,2
6,0.22182962901890277,0.5536891222000122,True,0,6
7,0.2276521085202694,0.5523725152015686,True,0,5
8,0.22061373006552457,0.5187628269195557,True,0,0
9,0.2327603268250823,0.5176154971122742,True,0,3
10,0.21170284839347006,0.552404522895813,True,0,4
11,0.23158690193668008,0.5528807640075684,True,0,0
12,0.2300312251597643,0.5152657628059387,True,0,3
13,0.21403913155198098,0.5457026958465576,True,0,0
14,0.22592568054795265,0.5156318545341492,True,0,0
15,0.2325115815922618,0.5165006518363953,True,0,0
16,0.2309983260370791,0.5516922473907471,True,0,0
17,0.2200759892165661,0.5254228115081787,True,0,3
18,0.22295194631442428,0.524612545967102,True,0,0
19,0.21975142996758223,0.5521350502967834,True,0,0
20,0.22364133570343256,0.5518702268600464,True,0,0
21,0.22582797361537815,0.5159699320793152,True,0,0
22,0.21276187919080258,0.5158757567405701,True,0,0
23,0.21581867702305316,0.5529223084449768,True,0,0
24,0.20421191420406104,0.5127167701721191,True,0,0
25,0.21986097659915685,0.5186102390289307,True,0,0
26,0.22477138059213758,0.520221471786499,True,0,0
27,0.21630922377109527,0.5153172016143799,True,0,0
28,0.21878041803836823,0.5529810786247253,True,0,0
29,0.2207390613667667,0.5068137645721436,True,0,0
30,0.22021749589592218,0.517548680305481,True,0,0
