subset,n,baseline_edema_dice,candidate_edema_dice,delta_edema_dice,baseline_edema_hd95,candidate_edema_hd95,delta_edema_hd95_improvement,baseline_edema_component_count,candidate_edema_component_count,delta_edema_component_count_improvement,baseline_edema_remote_fp,candidate_edema_remote_fp,delta_edema_remote_fp_improvement,baseline_scar_dice,candidate_scar_dice,delta_scar_dice,baseline_scar_hd95,candidate_scar_hd95,delta_scar_hd95_improvement
all_case,44,0.3944358976789887,0.3946111242521098,0.00017522657312113443,7.276922314931449,7.280266313997561,-0.0033439990661126018,3.3181818181818183,3.2954545454545454,0.02272727272727293,0.13636363636363635,0.11363636363636363,0.02272727272727272,0.5601692281262312,0.5601692281262312,0.0,13.600533414596173,13.600533414596173,0.0
t2_present_gt_positive,16,0.3944358976789887,0.3946111242521098,0.00017522657312113443,20.011536366061485,20.02073236349329,-0.009195997431806546,9.125,9.0625,0.0625,0.375,0.3125,0.0625,0.6933346102422654,0.6933346102422654,0.0,9.267223535037347,9.267223535037347,0.0
complete_modality,16,0.3944358976789887,0.3946111242521098,0.00017522657312113443,20.011536366061485,20.02073236349329,-0.009195997431806546,9.125,9.0625,0.0625,0.375,0.3125,0.0625,0.6933346102422654,0.6933346102422654,0.0,9.267223535037347,9.267223535037347,0.0
CenterB,7,0.5029744773313501,0.5037154882938318,0.0007410109624816918,15.933514343740368,15.928126581153974,0.005387762586394729,7.714285714285714,7.571428571428571,0.14285714285714324,0.0,0.0,0.0,0.6131815991584468,0.6131815991584468,0.0,12.440137428805636,12.440137428805636,0.0
CenterC,9,0.3100170023938187,0.3097521744418815,-0.00026482795193716324,23.18333127231124,23.203870194201652,-0.020538921890413064,10.222222222222221,10.222222222222221,0.0,0.6666666666666666,0.5555555555555556,0.11111111111111105,0.7556758410852353,0.7556758410852353,0.0,6.799401617662012,6.799401617662012,0.0
no_t2_empty_gt,28,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4840747240599259,0.4840747240599259,0.0,16.267185648170834,16.267185648170834,0.0
modality:C0+LGE+T2,16,0.3944358976789887,0.3946111242521098,0.00017522657312113443,20.011536366061485,20.02073236349329,-0.009195997431806546,9.125,9.0625,0.0625,0.375,0.3125,0.0625,0.6933346102422654,0.6933346102422654,0.0,9.267223535037347,9.267223535037347,0.0
modality:C0+LGE,4,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3777873129448342,0.3777873129448342,0.0,11.601986289569018,11.601986289569018,0.0
modality:LGE-only,24,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5017892925791079,0.5017892925791079,0.0,16.875689912336288,16.875689912336288,0.0
