epoch,mean_loss,max_loss,loss_is_finite,scar_changed_voxels_train_patches,no_t2_new_edema_voxels_train_patches
1,0.2435202984660864,0.550012469291687,True,0,2
2,0.24255665785074235,0.5481013655662537,True,0,7
3,0.24697445544600488,0.5514150857925415,True,0,2
4,0.2401089088022709,0.5167880654335022,True,0,0
5,0.2345444656610489,0.5161108374595642,True,0,1
6,0.24295044299960136,0.5523998141288757,True,0,0
7,0.2516283531486988,0.5528344511985779,True,0,0
8,0.24185390220582484,0.5517675876617432,True,0,2
9,0.22645176097750663,0.5177800059318542,True,0,0
10,0.2365124752521515,0.5184502005577087,True,0,3
11,0.23783836330473423,0.5533598065376282,True,0,0
12,0.24319956029951573,0.5523849129676819,True,0,0
13,0.24149917912483215,0.5412201285362244,True,0,1
14,0.24948118975758551,0.5252000093460083,True,0,0
15,0.24199945090711117,0.5225811004638672,True,0,0
16,0.23870093551278115,0.552135169506073,True,0,0
17,0.23330435529351234,0.5149650573730469,True,0,0
18,0.2302757535278797,0.5145053267478943,True,0,2
19,0.23252337870001794,0.5161598324775696,True,0,0
20,0.24399183744192124,0.5226799249649048,True,0,0
21,0.22575280196964742,0.5160029530525208,True,0,2
22,0.23131071132421493,0.5533283352851868,True,0,0
23,0.23575287859141827,0.5077992677688599,True,0,0
24,0.2381609828174114,0.5231000185012817,True,0,0
25,0.2365814971923828,0.5521643757820129,True,0,0
26,0.2385552113354206,0.5154731869697571,True,0,2
27,0.22774313896894455,0.5517107248306274,True,0,0
28,0.24712610350549222,0.5525236129760742,True,0,0
29,0.23462057472765446,0.5526057481765747,True,0,0
30,0.24012249246239661,0.5160602927207947,True,0,0
31,0.2359583580493927,0.5512059926986694,True,0,2
32,0.23614217215776442,0.5502701997756958,True,0,2
33,0.24090494886040686,0.5420894622802734,True,0,0
34,0.23515146104991436,0.5194892287254333,True,0,1
35,0.2417024260610342,0.5528947710990906,True,0,0
36,0.23336873334646224,0.5518928170204163,True,0,0
37,0.234401105850935,0.5458998680114746,True,0,0
38,0.23934657260775566,0.5478184819221497,True,0,0
39,0.22942292453348637,0.5143401622772217,True,0,0
40,0.23943796029686928,0.5181751847267151,True,0,0
41,0.23281465473771096,0.517785906791687,True,0,0
42,0.2405743750631809,0.5523017644882202,True,0,2
43,0.2435908431261778,0.517410159111023,True,0,0
44,0.23484668177366258,0.5494683384895325,True,0,0
45,0.22325182321667672,0.5382949709892273,True,0,0
