case_id,center,class_id,component_count,dice,formal_variant,gt_empty,hd,hd95,invalid_label_values,metric_name,modality_group,pred_empty,pred_gt_volume_ratio,remote_fp_count,script_alias,small_fp_count,source_path,t2_present,variant
Case1009,CenterA,5,20,0.5300019293845263,anchored_srr_v25_full,False,133.56194547107773,27.16119377840083,,myops_scar,LGE-only,False,1.534474327628362,4,srr_propref_shared_dual_dict,17,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1010,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1010,CenterA,5,16,0.4629277566539924,anchored_srr_v25_full,False,109.93285313016838,9.205350171114356,,myops_scar,LGE-only,False,1.091451292246521,2,srr_propref_shared_dual_dict,8,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1010,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1010,CenterA,5,26,0.4248255046217695,anchored_srr_v25_full,False,149.26918560236825,11.681362065636034,,myops_scar,LGE-only,False,1.6346918489065607,12,srr_propref_shared_dual_dict,17,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1021,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1021,CenterA,5,15,0.540652818991098,anchored_srr_v25_full,False,159.34965482934516,9.0,,myops_scar,LGE-only,False,0.9082672706681767,7,srr_propref_shared_dual_dict,12,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
Case1021,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1021,CenterA,5,29,0.5006005284650492,anchored_srr_v25_full,False,161.12281093533088,101.96942195227587,,myops_scar,LGE-only,False,1.357304643261608,19,srr_propref_shared_dual_dict,20,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__pathology_aware
Case1023,CenterA,4,0,1.0,anchored_srr_v25_full,True,0.0,0.0,,myops_edema,LGE-only,True,,0,srr_propref_shared_dual_dict,0,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/component_hd_by_case_checkpoint_best.csv,False,srr_propref_shared_dual_dict__checkpoint_best__argmax
