class_id,component_count_mean,dice_mean,empty_prediction_rate,formal_variant,group,hd95_mean,hd_mean,metric_name,n,remote_fp_mean,script_alias,source_path,variant
4,35.52272727272727,0.6888057655434071,0.6363636363636364,anchored_srr_v25_full,all_cases,53.49181387779881,76.82622832267096,myops_edema,44,29.318181818181817,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv,srr_propref_shared_dual_dict__checkpoint_best__argmax
4,97.6875,0.14421585524436958,0.0,anchored_srr_v25_full,gt_positive_only,147.10248816394673,211.27212788734516,myops_edema,16,80.625,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv,srr_propref_shared_dual_dict__checkpoint_best__argmax
4,97.6875,0.14421585524436958,0.0,anchored_srr_v25_full,t2_present,147.10248816394673,211.27212788734516,myops_edema,16,80.625,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv,srr_propref_shared_dual_dict__checkpoint_best__argmax
4,97.6875,0.14421585524436958,0.0,anchored_srr_v25_full,complete_modality,147.10248816394673,211.27212788734516,myops_edema,16,80.625,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv,srr_propref_shared_dual_dict__checkpoint_best__argmax
4,56.714285714285715,0.23493646035945487,0.0,anchored_srr_v25_full,CenterB,134.25984006307633,220.32470014981905,myops_edema,7,40.0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv,srr_propref_shared_dual_dict__checkpoint_best__argmax
4,129.55555555555554,0.07365538459930324,0.0,anchored_srr_v25_full,CenterC,157.09121446462373,204.23123834986546,myops_edema,9,112.22222222222223,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv,srr_propref_shared_dual_dict__checkpoint_best__argmax
4,0.0,1.0,1.0,anchored_srr_v25_full,C0+LGE,0.0,0.0,myops_edema,4,0.0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv,srr_propref_shared_dual_dict__checkpoint_best__argmax
4,0.0,1.0,1.0,anchored_srr_v25_full,LGE-only,0.0,0.0,myops_edema,24,0.0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv,srr_propref_shared_dual_dict__checkpoint_best__argmax
4,0.0,1.0,1.0,anchored_srr_v25_full,no_T2_empty_GT,0.0,0.0,myops_edema,28,0.0,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv,srr_propref_shared_dual_dict__checkpoint_best__argmax
5,10.863636363636363,0.40915926000254116,0.0,anchored_srr_v25_full,all_cases,28.455811371841968,90.8272623047344,myops_scar,44,4.181818181818182,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv,srr_propref_shared_dual_dict__checkpoint_best__argmax
5,11.023255813953488,0.41867459163050724,0.0,anchored_srr_v25_full,gt_positive_only,28.455811371841968,90.8272623047344,myops_scar,43,4.186046511627907,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv,srr_propref_shared_dual_dict__checkpoint_best__argmax
