anchor_present_batch_fraction,batch_cases,component_present_batch_fraction,edema_proposal_loss,edema_supervised_batch_fraction,elapsed_seconds,evidence_loss,final_loss,formal_variant,loss,proposal_margin_loss,proposal_weight,refine_weight,roi_cover_loss,roi_remote_loss,scar_proposal_loss,script_alias,source_path,stage,step,variant
0.5,"Case6003,Case1025",0.5,-0.0,0.0,86.98913709499175,0.8208084106445312,0.8208490610122681,anchored_srr_v25_full,0.8208084106445312,0.23215731978416443,0.0,0.0,0.21374768018722534,0.009429026395082474,0.38063591718673706,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,600,srr_propref_shared_dual_dict
,,,,,87.47745379401022,,,anchored_srr_v25_full,,,,,,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,600,srr_propref_shared_dual_dict
0.5,"Case2035,Case2001",0.5,0.3909139931201935,1.0,94.82468394000898,1.227742314338684,1.224193811416626,anchored_srr_v25_full,1.227742314338684,0.23705124855041504,0.0,0.0,0.41931188106536865,0.00976649858057499,0.36122623085975647,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,650,srr_propref_shared_dual_dict
0.5,"Case2030,Case2005",0.5,0.1735452115535736,0.5,102.06211894800072,1.4525786638259888,1.4467923641204834,anchored_srr_v25_full,1.4525786638259888,0.24188899993896484,0.0,0.0,0.3133831322193146,0.005773463286459446,0.35586151480674744,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,700,srr_propref_shared_dual_dict
1.0,"Case3014,Case1078",1.0,0.22838149964809418,0.5,109.25185248500202,1.4060120582580566,1.3996281623840332,anchored_srr_v25_full,1.4060120582580566,0.2480873167514801,0.0,0.0,0.3210076689720154,0.005902161821722984,0.2771030366420746,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,750,srr_propref_shared_dual_dict
0.5,"Case1003,Case2014",0.5,0.3602515459060669,0.5,116.46859795300406,1.3406375646591187,1.3349266052246094,anchored_srr_v25_full,1.3406375646591187,0.23724237084388733,0.0,0.0,0.37526777386665344,0.010063265450298786,0.43124985694885254,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,800,srr_propref_shared_dual_dict
1.0,"Case2010,Case2003",1.0,0.21341395378112793,1.0,123.7303237330052,1.0913739204406738,1.08326256275177,anchored_srr_v25_full,1.0913739204406738,0.2432832568883896,0.0,0.0,0.3312961459159851,0.00956907868385315,0.16993257403373718,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,850,srr_propref_shared_dual_dict
1.0,"Case1076,Case2034",1.0,0.17041069269180298,0.5,130.96362293799757,1.6448698043823242,1.6360043287277222,anchored_srr_v25_full,1.6448698043823242,0.25050675868988037,0.0,0.0,0.29148486256599426,0.009243374690413475,0.15756487846374512,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,900,srr_propref_shared_dual_dict
1.0,"Case8013,Case2005",1.0,0.17287683486938477,0.5,138.21626470898627,1.3683747053146362,1.3594269752502441,anchored_srr_v25_full,1.3683747053146362,0.2372223138809204,0.0,0.0,0.2759035527706146,0.011804357171058655,0.1372816264629364,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,950,srr_propref_shared_dual_dict
1.0,"Case3005,Case2032",0.5,0.505557119846344,1.0,145.359277459007,1.355314016342163,1.351483702659607,anchored_srr_v25_full,1.355314016342163,0.2303505837917328,0.0,0.0,0.4669874310493469,0.004226613324135542,0.3423273265361786,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1000,srr_propref_shared_dual_dict
1.0,"Case7001,Case3024",1.0,0.36505478620529175,0.5,152.63841146600316,1.6534427404403687,1.6408708095550537,anchored_srr_v25_full,1.6534427404403687,0.23010341823101044,0.0,0.0,0.33784762024879456,0.0026805668603628874,0.3287356495857239,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1050,srr_propref_shared_dual_dict
1.0,"Case3022,Case3025",1.0,0.4453025758266449,1.0,159.78441973999725,1.451438069343567,1.438103199005127,anchored_srr_v25_full,1.451438069343567,0.23816588521003723,0.0,0.0,0.4270307421684265,0.009024304337799549,0.19529075920581818,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1100,srr_propref_shared_dual_dict
1.0,"Case3029,Case3022",1.0,0.34387972950935364,1.0,167.06478978699306,1.3013644218444824,1.2849997282028198,anchored_srr_v25_full,1.3013644218444824,0.23119378089904785,0.0,0.0,0.3630475401878357,0.008361433632671833,0.16851255297660828,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1150,srr_propref_shared_dual_dict
0.5,"Case2012,Case7006",0.5,0.33684346079826355,0.5,174.27871918899473,2.6341726779937744,2.6335678100585938,anchored_srr_v25_full,2.6341726779937744,0.23392489552497864,0.0,0.0,0.3933355510234833,0.0031656092032790184,0.5195724964141846,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1200,srr_propref_shared_dual_dict
,,,,,174.76558446401032,,,anchored_srr_v25_full,,,,,,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1200,srr_propref_shared_dual_dict
1.0,"Case2022,Case1001",0.5,0.25031664967536926,0.5,182.1280112559907,1.6115334033966064,1.6096909046173096,anchored_srr_v25_full,1.6115334033966064,0.2403494417667389,0.0,0.0,0.35843968391418457,0.007570285350084305,0.3746097683906555,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1250,srr_propref_shared_dual_dict
0.5,"Case1036,Case3017",0.5,-0.0,0.0,189.3411807490047,0.922779381275177,0.9223763942718506,anchored_srr_v25_full,0.922779381275177,0.22200651466846466,0.0,0.0,0.2006680816411972,0.004074445925652981,0.3299812078475952,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/training_log.csv,evidence_warmup,1300,srr_propref_shared_dual_dict
