center,class_id,component_count_mean,dice_mean,empty_prediction_rate,hd95_mean,metric_name,n,variant,volume_ratio_mean
center_alpha,1,2.2222222222222223,0.7166153201748316,0.0,4.649628116601219,class_1_myocardium,36,cine_deformable_or_feature_warp,1.3165312728851013
center_alpha,2,1.0277777777777777,0.9196057553681717,0.0,4.129161601688594,class_2_lv,36,cine_deformable_or_feature_warp,1.0506886908554418
center_alpha,3,0.0,0.0,1.0,,class_3_scar_sanity,36,cine_deformable_or_feature_warp,0.0
center_beta,1,2.0434782608695654,0.42575465973426596,0.0,19.358047418042723,class_1_myocardium,23,cine_deformable_or_feature_warp,0.827780616497017
center_beta,2,1.1304347826086956,0.6546492359497761,0.0,20.70847899924465,class_2_lv,23,cine_deformable_or_feature_warp,0.5518727035941017
center_beta,3,0.0,0.0,1.0,,class_3_scar_sanity,23,cine_deformable_or_feature_warp,0.0
center_alpha,1,1.4444444444444444,0.7329546653101633,0.0,4.332380330989114,class_1_myocardium,36,cine_motion_descriptor_temporal_refiner,1.1988728923769263
center_alpha,2,1.0,0.9220132571809138,0.0,4.055047095423147,class_2_lv,36,cine_motion_descriptor_temporal_refiner,0.9948346043677694
center_alpha,3,0.0,0.0,1.0,,class_3_scar_sanity,36,cine_motion_descriptor_temporal_refiner,0.0
center_beta,1,1.5217391304347827,0.29549872866505483,0.0,22.29067313547874,class_1_myocardium,23,cine_motion_descriptor_temporal_refiner,0.7316200363880497
center_beta,2,1.2173913043478262,0.5341861553331251,0.043478260869565216,22.480571035919755,class_2_lv,23,cine_motion_descriptor_temporal_refiner,0.4260477475905848
center_beta,3,0.0,0.0,1.0,,class_3_scar_sanity,23,cine_motion_descriptor_temporal_refiner,0.0
center_alpha,1,1.4444444444444444,0.7332830804130981,0.0,4.332380330989114,class_1_myocardium,36,cine_reference_control_recheck,1.1990374367568963
center_alpha,2,1.0,0.9220985033661329,0.0,4.055047095423147,class_2_lv,36,cine_reference_control_recheck,0.9952071826092
center_alpha,3,0.0,0.0,1.0,,class_3_scar_sanity,36,cine_reference_control_recheck,0.0
center_beta,1,1.5217391304347827,0.29549872866505483,0.0,22.29067313547874,class_1_myocardium,23,cine_reference_control_recheck,0.7316200363880497
center_beta,2,1.2173913043478262,0.5341861553331251,0.043478260869565216,22.480571035919755,class_2_lv,23,cine_reference_control_recheck,0.4260477475905848
center_beta,3,0.0,0.0,1.0,,class_3_scar_sanity,23,cine_reference_control_recheck,0.0
