case_id,population,model,t2_present,two_pass_full_volume_candidate_pipeline,pass1_aggregates_patch_final_labels,pass1_runs_component_decision,pass2_refines_each_candidate,component_utility_calls,candidate_count,accepted_candidates,rejected_candidates,changed_voxels_vs_anchor,scar_changed_voxels_vs_anchor,edema_zone_changed_voxels_vs_anchor,prediction_sha256
Case1002,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,116,116,0,116,0,0,0,46c6b26488e79f27ae9988f3560c45e68e233ff8e9b48dff50949b15f6fdb5c5
Case1007,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,112,112,0,112,0,0,0,17787ce09120acfb2e047baf79742d93383c79a7895fec397a95ed676b79148f
Case1009,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,133,133,0,133,0,0,0,ae6cc21394177911b91229c001b50aeb6389a03480b6dca7728521161df394ad
Case1010,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,166,166,0,166,0,0,0,9c9d110e82efd4897e6a449c899844c9f1b01726c50425b2015dfc926ce9e3c6
Case1021,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,94,94,0,94,0,0,0,07c7f44491500a759ce3795e80941dd1249b06da22905a4405113023b739520a
Case1023,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,136,136,0,136,0,0,0,cae8189a4df359304cfddaa0905169b1054f8f1debbe770d968b26a72064afdf
Case1029,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,116,116,0,116,0,0,0,c9ed4ac7ab472229a63a63e7f68caedc99e624c5f5f94fe11e55fcb595e59508
Case1033,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,177,177,0,177,0,0,0,7e1af8e4b5b86e4164ac0df15015fa9cfd51c5282a82f02acde1c3ed4749b38c
Case1040,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,132,132,0,132,0,0,0,45780751086323a0851ae5ad05e304804ede521238b80d684dadacdaaf08eab9
Case1042,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,46,46,0,46,0,0,0,606c48e2fab15cc714cfba704cd1a245a95ae1d3129fb6dd0abf0b4efa10f173
Case1045,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,52,52,0,52,0,0,0,fc4e728c7ad34726d3195f82f9ea2fdb02c569e340df3b03558c240792bd3636
Case1047,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,155,155,0,155,0,0,0,9d0b1b3bda1f7b86fce50c57a3ec281d22e43d48e087d68b3083297a3ac9fadb
Case1053,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,82,82,0,82,0,0,0,bb1baae4c7f5f7c1104a87edbddae16196db6f77e16e6eeac75579cb9b61460f
Case1062,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,60,60,0,60,0,0,0,8738ca2ddaec8d3dc4940b05e6affc6589c49b2b0bbda4a4dd4c66c76026352f
Case1070,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,170,170,0,170,0,0,0,f21642a7ab5c67eb31ace7c0f24e86207cdc42b0097335b55f86de1492a664fd
Case1073,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,135,135,0,135,0,0,0,44f72baf6d33a4f1b64839a24e6ffc21b011bed8187cc70aa2b581c02fd189c6
Case1080,fold0_outer44,A2_care_dpr_gate_b_r1_selected,False,True,False,False,True,87,87,0,87,0,0,0,42538c05ebcde86cf69cc88f0220d9ad30eaed71e1ce8d6c5a0878c5b0560982
Case2002,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,110,110,0,110,0,0,0,cd56e05d174e7a3386d203cfbad20eae33ac99a9526b2842cfdb7fd0b91ffdf3
Case2007,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,215,215,0,215,0,0,0,86451a5f06d37dcb91cf38f09cfc520d5d24067b7ceebc9c943c37edb3b2ef48
Case2008,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,103,103,3,100,30,30,0,d0c2dcae9e77e89f3a049c33067578fa13d9e80985264698fc024825df62a982
Case2017,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,133,133,0,133,0,0,0,32ef185fd1a8e2e2f9765b70a7afeb91f74b9023d9dfc9f6b80f3ca6555a787a
Case2020,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,76,76,0,76,0,0,0,f11a6c5615dc3be3d14d3bde203e68adbe28eced839db3a6fa1cbc7fe34a5d45
Case2031,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,68,68,1,67,9,9,4,51c13bdf038b3a93b2b7dab91ae685f386a76f7df00f591c03769f2e55fe6d97
Case2033,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,80,80,0,80,0,0,0,1cc0055fc43b6fd30b6275d346fed05aed904cb78197293690775d8db48d5468
Case3004,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,119,119,1,118,10,10,0,0b95ddc41907bec07bb0aacaafe211ffbd2b76096cf86ef390dff54066f26fb5
Case3011,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,117,117,0,117,0,0,0,fd55b5f740e55875ebb288816c15e6d565c5876cff93f483c93aade62eba60fa
Case3012,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,124,124,0,124,0,0,0,c35feaeca31040c08781e36d5b9cd802309e2a70b237fb33dfa430db2bedff00
Case3023,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,109,109,0,109,0,0,0,4bb8b1c62da45cb1c164c77240d8aaa1be9bd76569fe2eea2f528e97f5311ff5
Case3026,fold0_outer44,A2_care_dpr_gate_b_r1_selected,True,True,False,False,True,132,132,0,132,0,0,0,49bfe8c846eec3342b0440be34222b98dff1d683502020c69c3025edf427c4ef
