checkpoint_step,checkpoint,checkpoint_sha256,scar_utility_threshold,edema_utility_threshold,scar_signed_net_utility,edema_signed_net_utility,scar_accepted,scar_rejected,edema_accepted,edema_rejected,avg_dice_delta,avg_hd95_ratio,avg_remote_fp_ratio,eligible,eligibility_summary,outer_fold0_used,scar_utility_regression_min,edema_utility_regression_min,selection_uses_accept_logit_and_signed_regression_gate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0_r1/checkpoints/checkpoint_step00500.pt,d0dd8502a6350a0691d3fad0d25f03c87754ba0a53979eef47c32332818655c1,0.7,0.7,0.0,1.0993592256783344,0,537,13,1752,0.0011956219566535574,1.0003602577070374,0.5119047619047619,False,"{'scar': {'dice_delta_mean': 0.0, 'hd95_ratio_mean': 1.0, 'remote_fp_ratio_mean': 0.3333333333333333, 'component_count_ratio_mean': 1.0, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'edema_zone': {'dice_delta_mean': 0.003219743479775846, 'hd95_ratio_mean': 0.9971960919799315, 'remote_fp_ratio_mean': 0.5595238095238095, 'component_count_ratio_mean': 1.0, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'pure_edema': {'dice_delta_mean': 0.0003671223901848264, 'hd95_ratio_mean': 1.003884681141181, 'remote_fp_ratio_mean': 0.6428571428571429, 'component_count_ratio_mean': 1.2083333333333333, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}}",False,0.99,0.75,True
1000,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0_r1/checkpoints/checkpoint_step01000.pt,1982cf9d9371afaf61dad1c4f8612218656591ef36af8a1bc77ae9198aa5bce7,0.7,0.7,0.0,4.0,0,635,4,1112,0.004454698170798654,1.0,0.47222222222222215,False,"{'scar': {'dice_delta_mean': 0.0, 'hd95_ratio_mean': 1.0, 'remote_fp_ratio_mean': 0.3333333333333333, 'component_count_ratio_mean': 1.0, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'edema_zone': {'dice_delta_mean': 0.004710248358549811, 'hd95_ratio_mean': 1.0, 'remote_fp_ratio_mean': 0.5, 'component_count_ratio_mean': 1.0, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'pure_edema': {'dice_delta_mean': 0.00865384615384615, 'hd95_ratio_mean': 1.0, 'remote_fp_ratio_mean': 0.5833333333333334, 'component_count_ratio_mean': 1.0, 'improves_by_ge_0.005': True, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}}",False,0.99,0.99,True
1500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0_r1/checkpoints/checkpoint_step01500.pt,e2572a687907ca52588f17684a1bc669aafb60111bfceb9ed649312b72b2a324,0.7,0.7,34.27842695685739,2.2939933815607203,79,472,10,850,-0.001227139169954084,1.0335728191896605,7609953.157598398,False,"{'scar': {'dice_delta_mean': -0.00267264803845683, 'hd95_ratio_mean': 1.019518351118859, 'remote_fp_ratio_mean': 22829857.972037613, 'component_count_ratio_mean': 2.1666666666666665, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': False, 'no_component_count_explosion': True}, 'edema_zone': {'dice_delta_mean': 0.0013438197676452675, 'hd95_ratio_mean': 1.0265000557368749, 'remote_fp_ratio_mean': 0.709090909090909, 'component_count_ratio_mean': 1.0833333333333333, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'pure_edema': {'dice_delta_mean': -0.002352589239050689, 'hd95_ratio_mean': 1.0547000507132476, 'remote_fp_ratio_mean': 0.7916666666666666, 'component_count_ratio_mean': 1.0394782189137028, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}}",False,0.5,0.99,True
2000,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0_r1/checkpoints/checkpoint_step02000.pt,4122586a7fb03a05963775b37450045f62bcf75660ef803e3ae9e5e276fb2e38,0.7,0.7,7.102209302325582,2.1819512195121953,10,516,3,832,0.0010497825538728401,0.9991535476687816,0.47222222222222215,True,"{'scar': {'dice_delta_mean': 0.0008290073730456796, 'hd95_ratio_mean': 0.9991809235967756, 'remote_fp_ratio_mean': 0.3333333333333333, 'component_count_ratio_mean': 1.1666666666666667, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'edema_zone': {'dice_delta_mean': 0.0028354288517182524, 'hd95_ratio_mean': 0.9984256020186008, 'remote_fp_ratio_mean': 0.5, 'component_count_ratio_mean': 1.0, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'pure_edema': {'dice_delta_mean': -0.0005150885631454114, 'hd95_ratio_mean': 0.9998541173909686, 'remote_fp_ratio_mean': 0.5833333333333334, 'component_count_ratio_mean': 1.0833333333333333, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}}",False,0.75,0.99,True
2500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0_r1/checkpoints/checkpoint_step02500.pt,aa2c411c783af58a3a4ab6f9551a6731ddc597bba157fc91e34b1116f54e35b8,0.7,0.7,6.708642933052555,1.395433316035288,29,542,5,752,0.0005973762557680006,1.001052262591375,0.5295933188090052,True,"{'scar': {'dice_delta_mean': -0.0013886333178331582, 'hd95_ratio_mean': 1.0172210865481959, 'remote_fp_ratio_mean': 0.5054466230936819, 'component_count_ratio_mean': 1.4166666666666667, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'edema_zone': {'dice_delta_mean': 0.004787926970363426, 'hd95_ratio_mean': 0.9929906476427056, 'remote_fp_ratio_mean': 0.5, 'component_count_ratio_mean': 1.1666666666666667, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'pure_edema': {'dice_delta_mean': -0.001607164885226266, 'hd95_ratio_mean': 0.9929450535832234, 'remote_fp_ratio_mean': 0.5833333333333334, 'component_count_ratio_mean': 1.221739729804246, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}}",False,0.75,0.99,True
3000,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0_r1/checkpoints/checkpoint_step03000.pt,0b6751a20f4aab603450553f4473d4a3d4be57b5d5edf239dee32cd9f40897ca,0.7,0.7,0.2,5.184040602247568,1,490,23,753,0.0019218207542226363,1.0127559840046123,0.7509157509157509,False,"{'scar': {'dice_delta_mean': 0.00012186986863711262, 'hd95_ratio_mean': 0.9963809874041646, 'remote_fp_ratio_mean': 0.3333333333333333, 'component_count_ratio_mean': 1.0, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'edema_zone': {'dice_delta_mean': 0.002257434044434801, 'hd95_ratio_mean': 1.0017823182704253, 'remote_fp_ratio_mean': 0.8154761904761906, 'component_count_ratio_mean': 1.0416666666666667, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'pure_edema': {'dice_delta_mean': 0.003386158349595996, 'hd95_ratio_mean': 1.0401046463392467, 'remote_fp_ratio_mean': 1.103937728937729, 'component_count_ratio_mean': 1.1418269230769231, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': False, 'no_component_count_explosion': True}}",False,0.9,0.95,True
3500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0_r1/checkpoints/checkpoint_step03500.pt,a9b9d67846f085fce70e1d6aa911a57909e096193042a7e2359becdad8d1d4a8,0.7,0.7,0.8450574712643678,4.570042314805294,2,495,21,749,-0.0005555933586961245,1.015670220253144,0.771062271062271,False,"{'scar': {'dice_delta_mean': -0.0009773284313725483, 'hd95_ratio_mean': 0.9927454059256652, 'remote_fp_ratio_mean': 0.3333333333333333, 'component_count_ratio_mean': 1.0, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'edema_zone': {'dice_delta_mean': -0.0009128486009886786, 'hd95_ratio_mean': 1.0061510686153783, 'remote_fp_ratio_mean': 0.7976190476190476, 'component_count_ratio_mean': 1.0416666666666667, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'pure_edema': {'dice_delta_mean': 0.00022339695627285328, 'hd95_ratio_mean': 1.0481141862183883, 'remote_fp_ratio_mean': 1.1822344322344323, 'component_count_ratio_mean': 1.1889880952380951, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': False, 'no_component_count_explosion': True}}",False,0.9,0.95,True
4000,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0_r1/checkpoints/checkpoint_step04000.pt,639773540cbf6371c4bf2c6f4c6eb4c1f254be2098e22f187b94b4d9519028a6,0.7,0.7,2.081550925925926,3.653565095111598,4,545,19,707,0.00014386853430156354,1.0266508979129227,0.7762515262515263,False,"{'scar': {'dice_delta_mean': -7.370283018867663e-05, 'hd95_ratio_mean': 0.9927868443808521, 'remote_fp_ratio_mean': 0.3333333333333333, 'component_count_ratio_mean': 1.0, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'edema_zone': {'dice_delta_mean': -0.0017269794948355972, 'hd95_ratio_mean': 1.0383736935452694, 'remote_fp_ratio_mean': 0.8214285714285715, 'component_count_ratio_mean': 1.0694444444444444, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': True, 'no_component_count_explosion': True}, 'pure_edema': {'dice_delta_mean': 0.0022322879279289645, 'hd95_ratio_mean': 1.0487921558126467, 'remote_fp_ratio_mean': 1.173992673992674, 'component_count_ratio_mean': 1.0168269230769231, 'improves_by_ge_0.005': False, 'not_below_anchor_by_more_than_0.005': True, 'no_new_infinite_exact_hd': True, 'remote_fp_le_1.10x_anchor': False, 'no_component_count_explosion': True}}",False,0.9,0.95,True
