population,model,pathology,n_cases,gt_positive_cases,dice_mean,hd95_mean_mm,exact_hd_mean_mm_finite_only,exact_hd_infinite_cases,remote_fp_volume_mean_mm3,component_count_mean,precision_mean,recall_mean
fold0_complete_trimodal16,A0_nnunet_anchor,edema_zone,16,16,0.7521939693452417,11.697259191742496,26.322339033138267,0,1056.673320812587,2.0,0.7975842873698394,0.7366194462873774
fold0_complete_trimodal16,A0_nnunet_anchor,pure_edema,16,16,0.3944358976789887,20.011536366061485,29.60888731738582,0,2150.0779831779846,9.125,0.43962432590450795,0.4432884090805682
fold0_complete_trimodal16,A0_nnunet_anchor,scar,16,16,0.6933346102422654,9.267223535037347,22.635525500658318,0,313.15622713438967,1.875,0.7467715355658926,0.678988375865061
fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,edema_zone,16,16,0.7521040614690292,11.710488984002435,26.322339033138267,0,1056.673320812587,2.0,0.7973841563750065,0.7366194462873774
fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,pure_edema,16,16,0.39417180867170587,19.99764298077492,29.60888731738582,0,2140.2784493180543,9.125,0.44048346779002534,0.44275739514693846
fold0_complete_trimodal16,A2_care_dpr_gate_b_r1_selected,scar,16,16,0.6926425849776243,9.330588199427087,22.635525500658318,0,313.15622713438967,1.875,0.7450687528174076,0.6794189861012814
fold0_outer44,A0_nnunet_anchor,edema_zone,44,43,0.5815726314364045,14.526261283817181,27.37514611359957,2,1569.0254195803063,4.7272727272727275,0.6399848095887526,0.6189897771351179
fold0_outer44,A0_nnunet_anchor,pure_edema,44,16,0.7797948718832686,7.276922314931449,10.766868115413025,0,781.8465393374489,3.3181818181818183,0.7962270276016393,0.7975594214838431
fold0_outer44,A0_nnunet_anchor,scar,44,43,0.5601692281262312,13.600533414596173,25.970645720273883,2,1298.6555673336893,4.681818181818182,0.6215074452964083,0.5980330242542756
fold0_outer44,A2_care_dpr_gate_b_r1_selected,edema_zone,44,43,0.5815399376632362,14.531301204678114,27.37514611359957,2,1569.0254195803063,4.7272727272727275,0.6399120346815407,0.6189897771351179
fold0_outer44,A2_care_dpr_gate_b_r1_selected,pure_edema,44,16,0.7796988395169838,7.271870174827245,10.766868115413025,0,778.2830724792925,3.3181818181818183,0.7965394428327365,0.7973663255079777
fold0_outer44,A2_care_dpr_gate_b_r1_selected,scar,44,43,0.5599175825754527,13.624672334363693,25.970645720273883,2,1298.6555673336893,4.681818181818182,0.6208882515696865,0.5981896097947194
