lane,parameter,shape,trainable,initial_sha256,post_step_sha256,changed
pretrained,proj.weight,4x4x1x1x1,True,8a6f47cb1b7784103da92d2444f1a1dd189428209440cf326a24541601cc1c38,85ad6aa8139e84f26f454ff40d866f89862cdf059e9d501e8adc5babb4938c30,True
pretrained,proj.bias,4,True,1feafb3923576e7aaca8eee51f687b2c02d1f548bf9fdb1e28d630b740ab4d1a,6b9533289eb0c7a7c5c6ce57942effbf41fc9257616f7e6bf52972d414925d5b,True
pretrained,head.weight,4x4x1x1x1,True,04f33406ddd8cd53d3d8f6ab46b21dfe91b0b9dbad698614b2b0f6d9a61d45f1,06a68ba1b2dac21ee2acafaeef75873814cf9cebc5ce79ed3cb5aa1a1986883d,True
pretrained,head.bias,4,True,52bb1237e55873164ddc30a9580a8e738205efb7ae8f61ac5b4437333b07c42f,41cdadd168fab449529a313a648f837ef990a4909122ccd43cd82605210cc47d,True
random_control,proj.weight,4x4x1x1x1,True,8a6f47cb1b7784103da92d2444f1a1dd189428209440cf326a24541601cc1c38,c0ea5031d4de805ae33fe107ed050fd766115f53659c5b115f8becf0f03a6385,True
random_control,proj.bias,4,True,1feafb3923576e7aaca8eee51f687b2c02d1f548bf9fdb1e28d630b740ab4d1a,7b4d09213d9bd264eadce5198d5ce0d2f424e57966cd32efdd854a861e54a506,True
random_control,head.weight,4x4x1x1x1,True,04f33406ddd8cd53d3d8f6ab46b21dfe91b0b9dbad698614b2b0f6d9a61d45f1,3a206466ab35fa21f5b19e2b45d0337d2e804c548bd23b90e353b1edf558aa81,True
random_control,head.bias,4,True,52bb1237e55873164ddc30a9580a8e738205efb7ae8f61ac5b4437333b07c42f,2f320c82cf646cfe657db78741461aa5a4a59a117c4e818dfee054debb83c3a4,True
