case_id,method,frame0_myo_dice,warped_myo_dice,temporal_myo_proxy_dice,frame0_lv_dice,warped_lv_dice,temporal_lv_proxy_dice,before_ncc,registration_runtime_seconds,jacobian_or_fold_proxy
Case1001,ANTsPy_SyNOnly,0.6624609618988132,0.690532618186354,0.8324528721570372,0.767775651405859,0.790013729315702,0.8123271153982552,0.945963832157706,3.8642887719906867,
Case1001,ANTsPy_SyNOnly,0.7499194120301721,0.766939687267312,0.8768908678088049,0.8538918881979088,0.8780035130746031,0.9016999740461977,0.9635359362020653,0.7594791879528202,
Case1002,ANTsPy_SyNOnly,0.6104122461351925,0.6104122461351925,0.7889575009081002,0.7641048787493332,0.7641048787493332,0.7758088115753536,0.9208520557574272,0.33789220603648573,
Case1002,ANTsPy_SyNOnly,0.7921645445641528,0.7921645445641528,0.8715639983895173,0.8973375698477046,0.8973375698477046,0.8973375698477046,0.9498593688664645,0.3319167430163361,
Case1003,ANTsPy_SyNOnly,0.608413948256468,0.608413948256468,0.8212965433133884,0.49448785186770844,0.49448785186770844,0.5361640129045686,0.9093693636810446,0.34155885002110153,
Case1003,ANTsPy_SyNOnly,0.770304512113803,0.770304512113803,0.8720897043832824,0.7632490474541046,0.7632490474541046,0.7636772853185596,0.9560001476033765,0.358977877011057,
Case1004,ANTsPy_SyNOnly,0.7213228035538006,0.7213228035538006,0.8202022042080335,0.8151867998454831,0.8151867998454831,0.8197460282557308,0.9567537249628227,0.31329099100548774,
Case1004,ANTsPy_SyNOnly,0.774356896900952,0.774356896900952,0.8534887025721188,0.8561840843720039,0.8561840843720039,0.8565495207667732,0.9691667251591927,0.3114739250158891,
Case1005,ANTsPy_SyNOnly,0.5731372475269869,0.5731372475269869,0.7732505497348338,0.6689586447433981,0.6689586447433981,0.6822217837411207,0.9126147105971412,0.34711439203238115,
Case1005,ANTsPy_SyNOnly,0.6602484237550497,0.6602484237550497,0.8076742154425106,0.7581042742198038,0.7581042742198038,0.7602952783323274,0.9555163104572287,0.33989460999146104,
Case1006,ANTsPy_SyNOnly,0.5357664233576642,0.5809276061163632,0.7933425049229856,0.7230637128627855,0.7554901895243507,0.7760281403070449,0.8974645642461834,0.7933065819670446,
Case1006,ANTsPy_SyNOnly,0.6247833895207788,0.6610411445611141,0.8269690400755934,0.7838945539198007,0.8191874880793439,0.8319235244174712,0.9371735853596608,0.7748630419955589,
Case1007,ANTsPy_SyNOnly,0.5146070741453308,0.524628059984589,0.7502635939147462,0.6006069402295817,0.6165348170042597,0.6234754778998357,0.9265309016345603,0.8706180329900235,
Case1007,ANTsPy_SyNOnly,0.5845141237773105,0.630379439932113,0.8026388999284636,0.7038123167155426,0.7414487716249308,0.7506273525721455,0.9422587178692852,0.8519807960256003,
Case1008,ANTsPy_SyNOnly,0.655098645115284,0.655098645115284,0.8006783014201936,0.6212055819306574,0.6212055819306574,0.658923948786119,0.9399658674406041,0.34940481500234455,
Case1008,ANTsPy_SyNOnly,0.937641132534306,0.937641132534306,0.9456081372295492,0.9610753581067054,0.9610753581067054,0.9610753581067054,0.9900625521638697,0.3505021840101108,
Case1010,ANTsPy_SyNOnly,0.5331640471082703,0.6016696223885116,0.7933711555688265,0.7372392365734576,0.7822037844473606,0.8079887295931052,0.9246686778159189,0.8507491899654269,
Case1010,ANTsPy_SyNOnly,0.6523710977059575,0.6876876876876877,0.8493765972276001,0.8257425742574257,0.8530950656041214,0.8660113812726332,0.952254944043125,0.8470351069699973,
Case1011,ANTsPy_SyNOnly,0.5370194667102896,0.5370194667102896,0.7606086643199645,0.6162604518768903,0.6162604518768903,0.6509409418090365,0.9047504043727311,0.3427773549919948,
Case1011,ANTsPy_SyNOnly,0.7190357155086806,0.7190357155086806,0.842932261057841,0.8253321256038647,0.8253321256038647,0.8331271323060773,0.9455302238493849,0.3364705659914762,
Case1012,ANTsPy_SyNOnly,0.4751124041258926,0.4751124041258926,0.778836785699157,0.5537350735906693,0.5537350735906693,0.6817692843131051,0.8850114320117783,0.29579306399682537,
Case1012,ANTsPy_SyNOnly,0.6285036653730056,0.6285036653730056,0.8457630194157141,0.7940412263987529,0.7940412263987529,0.8179966044142615,0.9283364113608911,0.30168781703105196,
Case1013,ANTsPy_SyNOnly,0.661160525201186,0.6887113790504898,0.8272180734909552,0.7003532911863146,0.7286012526096033,0.7427519971277264,0.9075037254287935,0.8331483420333825,
Case1013,ANTsPy_SyNOnly,0.72065880313303,0.7396186506578742,0.8526771809610103,0.7792887029288703,0.8050181633859931,0.8125419744795165,0.9412431411866659,0.8801007730071433,
