case_id,registration_method,warped_nonreference_frame_count,frame_quality_mean,attempt_status
Case1001,ANTsPy_SyNOnly,2,0.728736152726833,EXECUTED
Case1002,ANTsPy_SyNOnly,2,0.7012883953496727,EXECUTED
Case1003,ANTsPy_SyNOnly,2,0.6893592301851355,EXECUTED
Case1004,ANTsPy_SyNOnly,2,0.7478398502273763,EXECUTED
Case1005,ANTsPy_SyNOnly,2,0.6166928356410183,EXECUTED
Case1006,ANTsPy_SyNOnly,2,0.6209843753387386,EXECUTED
Case1007,ANTsPy_SyNOnly,2,0.577503749958351,EXECUTED
Case1008,ANTsPy_SyNOnly,2,0.796369888824795,EXECUTED
Case1010,ANTsPy_SyNOnly,2,0.6446786550380996,EXECUTED
Case1011,ANTsPy_SyNOnly,2,0.628027591109485,EXECUTED
Case1012,ANTsPy_SyNOnly,2,0.5518080347494492,EXECUTED
Case1013,ANTsPy_SyNOnly,2,0.714165014854182,EXECUTED
