case_id,center,checkpoint_name,class_id,decode_mode,gt_coverage,gt_voxels,lesion_wise_recall,memory_negative_similarity_mean,metric_name,modality_group,neg_similarity_mean,outside_myocardium_fp_ratio,outside_myocardium_roi_ratio,pos_similarity_mean,pred_coverage,proposal_component_count,proposal_gate_mean,proposal_gate_p95,proposal_precision,proposal_recall,proposal_remote_fp_count,proposal_small_fp_count,proposal_threshold,proposal_voxels,residual_abs_mean,roi_mean,roi_threshold,roi_voxels,source_path,t2_present,variant
Case1002,CenterA,checkpoint_best,4,,,0,,0.11656861752271652,myops_edema,LGE-only,0.25662291049957275,,,0.16808396577835083,,0,2.0611552464799843e-09,2.061153470123145e-09,,,0,0,0.05,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1002,CenterA,checkpoint_best,4,,,0,,0.11656861752271652,myops_edema,LGE-only,0.25662291049957275,,,0.16808396577835083,,0,2.0611552464799843e-09,2.061153470123145e-09,,,0,0,0.1,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1002,CenterA,checkpoint_best,4,,,0,,0.11656861752271652,myops_edema,LGE-only,0.25662291049957275,,,0.16808396577835083,,0,2.0611552464799843e-09,2.061153470123145e-09,,,0,0,0.2,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1002,CenterA,checkpoint_best,4,,,0,,0.11656861752271652,myops_edema,LGE-only,0.25662291049957275,,,0.16808396577835083,,0,2.0611552464799843e-09,2.061153470123145e-09,,,0,0,0.3,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1002,CenterA,checkpoint_best,4,,,0,,0.11656861752271652,myops_edema,LGE-only,0.25662291049957275,,,0.16808396577835083,,0,2.0611552464799843e-09,2.061153470123145e-09,,,0,0,0.4,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1002,CenterA,checkpoint_best,4,,,0,,0.11656861752271652,myops_edema,LGE-only,0.25662291049957275,,,0.16808396577835083,,0,2.0611552464799843e-09,2.061153470123145e-09,,,0,0,0.5,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1002,CenterA,checkpoint_best,4,,,0,,0.11656861752271652,myops_edema,LGE-only,0.25662291049957275,,,0.16808396577835083,,0,2.0611552464799843e-09,2.061153470123145e-09,,,0,0,0.6,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1002,CenterA,checkpoint_best,4,,,0,,0.11656861752271652,myops_edema,LGE-only,0.25662291049957275,,,0.16808396577835083,,0,2.0611552464799843e-09,2.061153470123145e-09,,,0,0,0.7,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1002,CenterA,checkpoint_best,4,,,0,,0.11656861752271652,myops_edema,LGE-only,0.25662291049957275,,,0.16808396577835083,,0,2.0611552464799843e-09,2.061153470123145e-09,,,0,0,0.8,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1002,CenterA,checkpoint_best,4,,,0,,0.11656861752271652,myops_edema,LGE-only,0.25662291049957275,,,0.16808396577835083,,0,2.0611552464799843e-09,2.061153470123145e-09,,,0,0,0.9,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,5,,,2509,0.7777777777777778,0.1000932976603508,myops_scar,LGE-only,0.10197072476148605,0.8758531647791016,,-0.10166894644498825,,27,0.0169252660125494,0.0947766438126564,0.015217513929540655,0.9677162216022319,16,16,0.05,159553,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,5,,,2509,0.6666666666666666,0.1000932976603508,myops_scar,LGE-only,0.10197072476148605,0.795549040887373,,-0.10166894644498825,,67,0.0169252660125494,0.0947766438126564,0.03340333469577596,0.9445994420087684,48,47,0.1,70951,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,5,,,2509,0.6666666666666666,0.1000932976603508,myops_scar,LGE-only,0.10197072476148605,0.2886649371382958,,-0.10166894644498825,,72,0.0169252660125494,0.0947766438126564,0.22700059868289763,0.9067357512953368,34,64,0.2,10022,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,5,,,2509,0.5555555555555556,0.1000932976603508,myops_scar,LGE-only,0.10197072476148605,0.17323072280066396,,-0.10166894644498825,,18,0.0169252660125494,0.0947766438126564,0.3342387203862985,0.8828218413710641,0,16,0.3,6627,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,5,,,2509,0.5555555555555556,0.1000932976603508,myops_scar,LGE-only,0.10197072476148605,0.15549872122762148,,-0.10166894644498825,,12,0.0169252660125494,0.0947766438126564,0.3703324808184143,0.8656835392586688,0,11,0.4,5865,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,5,,,2509,0.4444444444444444,0.1000932976603508,myops_scar,LGE-only,0.10197072476148605,0.13883225208526415,,-0.10166894644498825,,8,0.0169252660125494,0.0947766438126564,0.39425393883225207,0.8477481068154643,0,6,0.5,5395,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,5,,,2509,0.3333333333333333,0.1000932976603508,myops_scar,LGE-only,0.10197072476148605,0.12733042443474812,,-0.10166894644498825,,11,0.0169252660125494,0.0947766438126564,0.4147163823879413,0.8333997608609007,0,9,0.6,5042,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,5,,,2509,0.3333333333333333,0.1000932976603508,myops_scar,LGE-only,0.10197072476148605,0.11963835155592935,,-0.10166894644498825,,10,0.0169252660125494,0.0947766438126564,0.43166526492851137,0.8182542845755281,0,8,0.7,4756,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,5,,,2509,0.3333333333333333,0.1000932976603508,myops_scar,LGE-only,0.10197072476148605,0.1103202846975089,,-0.10166894644498825,,8,0.0169252660125494,0.0947766438126564,0.4499555160142349,0.8062973296133918,0,6,0.8,4496,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,5,,,2509,0.3333333333333333,0.1000932976603508,myops_scar,LGE-only,0.10197072476148605,0.10909503288727602,,-0.10166894644498825,,8,0.0169252660125494,0.0947766438126564,0.45588568836470855,0.8011159824631328,0,6,0.9,4409,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,4,,,0,,0.11391815543174744,myops_edema,LGE-only,0.2629747688770294,,,0.1743263602256775,,0,2.061150361498676e-09,2.061153470123145e-09,,,0,0,0.05,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,4,,,0,,0.11391815543174744,myops_edema,LGE-only,0.2629747688770294,,,0.1743263602256775,,0,2.061150361498676e-09,2.061153470123145e-09,,,0,0,0.1,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,4,,,0,,0.11391815543174744,myops_edema,LGE-only,0.2629747688770294,,,0.1743263602256775,,0,2.061150361498676e-09,2.061153470123145e-09,,,0,0,0.2,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,4,,,0,,0.11391815543174744,myops_edema,LGE-only,0.2629747688770294,,,0.1743263602256775,,0,2.061150361498676e-09,2.061153470123145e-09,,,0,0,0.3,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,4,,,0,,0.11391815543174744,myops_edema,LGE-only,0.2629747688770294,,,0.1743263602256775,,0,2.061150361498676e-09,2.061153470123145e-09,,,0,0,0.4,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,4,,,0,,0.11391815543174744,myops_edema,LGE-only,0.2629747688770294,,,0.1743263602256775,,0,2.061150361498676e-09,2.061153470123145e-09,,,0,0,0.5,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,4,,,0,,0.11391815543174744,myops_edema,LGE-only,0.2629747688770294,,,0.1743263602256775,,0,2.061150361498676e-09,2.061153470123145e-09,,,0,0,0.6,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,4,,,0,,0.11391815543174744,myops_edema,LGE-only,0.2629747688770294,,,0.1743263602256775,,0,2.061150361498676e-09,2.061153470123145e-09,,,0,0,0.7,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,4,,,0,,0.11391815543174744,myops_edema,LGE-only,0.2629747688770294,,,0.1743263602256775,,0,2.061150361498676e-09,2.061153470123145e-09,,,0,0,0.8,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1007,CenterA,checkpoint_best,4,,,0,,0.11391815543174744,myops_edema,LGE-only,0.2629747688770294,,,0.1743263602256775,,0,2.061150361498676e-09,2.061153470123145e-09,,,0,0,0.9,0,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1009,CenterA,checkpoint_best,5,,,4090,0.5714285714285714,0.09903966635465622,myops_scar,LGE-only,0.10098153352737427,0.8860384615384616,,-0.09954781085252762,,34,0.018292659893631935,0.09442689269781113,0.036528846153846155,0.9288508557457212,27,21,0.05,104000,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
Case1009,CenterA,checkpoint_best,5,,,4090,0.42857142857142855,0.09903966635465622,myops_scar,LGE-only,0.10098153352737427,0.8103287578376547,,-0.09954781085252762,,58,0.018292659893631935,0.09442689269781113,0.07411879342484325,0.8555012224938875,49,38,0.1,47208,,,,,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/proposal_pr_sweep_checkpoint_best.csv,False,m8_full_srr_context_arbitration_longrun
