batch_cases,component,grad_l2_norm,loss_value,model_variant,param_with_grad_count,requires_grad,source_model_variant,source_path,stage,status,step,t2_present_batch_fraction,target_voxel_count,variant,zero_justification
Case1068,loss_anatomy_union_lv_rv,10.928445028558546,1.5825161933898926,m8_full_srr_context_arbitration_longrun,882,True,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/loss_component_gradient_sanity.csv,evidence_warmup,PASS,1,0.0,2720,m8_full_srr_context_arbitration_longrun,
Case1068,loss_scar_proposal,1.0070111035082245,0.247503399848938,m8_full_srr_context_arbitration_longrun,927,True,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/loss_component_gradient_sanity.csv,evidence_warmup,PASS,1,0.0,2720,m8_full_srr_context_arbitration_longrun,
Case1068,loss_edema_proposal_t2_present_only,0.0,-0.0,m8_full_srr_context_arbitration_longrun,982,True,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/loss_component_gradient_sanity.csv,evidence_warmup,ZERO_GRAD_OR_DETACHED,1,0.0,0,m8_full_srr_context_arbitration_longrun,LEGITIMATE_MASKED_NA: no applicable T2/no-T2 target in this real M7 batch
Case1068,loss_scar_refiner_roi,5.305436278216228,0.8819676637649536,m8_full_srr_context_arbitration_longrun,935,True,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/loss_component_gradient_sanity.csv,evidence_warmup,PASS,1,0.0,2720,m8_full_srr_context_arbitration_longrun,
Case1068,loss_edema_refiner_t2_present_roi,0.0,-0.0,m8_full_srr_context_arbitration_longrun,927,True,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/loss_component_gradient_sanity.csv,evidence_warmup,ZERO_GRAD_OR_DETACHED,1,0.0,0,m8_full_srr_context_arbitration_longrun,LEGITIMATE_MASKED_NA: no applicable T2/no-T2 target in this real M7 batch
Case1068,loss_anchor_preservation_outside_roi,0.00547598859074763,0.0007763382163830101,m8_full_srr_context_arbitration_longrun,982,True,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/loss_component_gradient_sanity.csv,evidence_warmup,PASS,1,0.0,2720,m8_full_srr_context_arbitration_longrun,
Case1068,loss_correction_opportunity,0.08903475839063629,0.9318363666534424,m8_full_srr_context_arbitration_longrun,974,True,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/loss_component_gradient_sanity.csv,evidence_warmup,PASS,1,0.0,2720,m8_full_srr_context_arbitration_longrun,
Case1068,loss_branch_arbitration_consistency,0.0,0.0,m8_full_srr_context_arbitration_longrun,974,True,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/loss_component_gradient_sanity.csv,evidence_warmup,PASS_ZERO_JUSTIFIED,1,0.0,2720,m8_full_srr_context_arbitration_longrun,LEGITIMATE_ZERO_AT_SATISFIED_BRANCH_ARBITRATION_CONSISTENCY
Case1068,loss_bounded_correction,0.042467599428472086,3.9850642681121826,m8_full_srr_context_arbitration_longrun,980,True,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/loss_component_gradient_sanity.csv,evidence_warmup,PASS,1,0.0,2720,m8_full_srr_context_arbitration_longrun,
Case1068,loss_component_remote_fp,4.200834507852756,0.5959062576293945,m8_full_srr_context_arbitration_longrun,980,True,m6_full_srr_context_arbitration,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_full_srr_context_arbitration_longrun/loss_component_gradient_sanity.csv,evidence_warmup,PASS,1,0.0,2720,m8_full_srr_context_arbitration_longrun,
