class_id,component_count_mean,dice_mean,empty_prediction_rate,group,hd95_mean,hd_mean,metric_name,n,remote_fp_mean,source_path,variant
5,6.333333333333333,0.5333490122682826,0.0,all_cases,14.52868484647662,27.129662019847988,myops_scar,12,0.3333333333333333,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_scar_precision_edema_safe_longrun/subgroup_metrics_checkpoint_best.csv,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax
5,6.333333333333333,0.5333490122682826,0.0,gt_positive_only,14.52868484647662,27.129662019847988,myops_scar,12,0.3333333333333333,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_scar_precision_edema_safe_longrun/subgroup_metrics_checkpoint_best.csv,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax
5,6.333333333333333,0.5333490122682826,0.0,LGE-only,14.52868484647662,27.129662019847988,myops_scar,12,0.3333333333333333,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_scar_precision_edema_safe_longrun/subgroup_metrics_checkpoint_best.csv,m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax
4,0.0,1.0,1.0,all_cases,0.0,0.0,myops_edema,12,0.0,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_scar_precision_edema_safe_longrun/subgroup_metrics_checkpoint_best.csv,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware
4,0.0,1.0,1.0,LGE-only,0.0,0.0,myops_edema,12,0.0,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_scar_precision_edema_safe_longrun/subgroup_metrics_checkpoint_best.csv,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware
4,0.0,1.0,1.0,no_T2_empty_GT,0.0,0.0,myops_edema,12,0.0,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_scar_precision_edema_safe_longrun/subgroup_metrics_checkpoint_best.csv,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware
5,5.75,0.5382414476509874,0.0,all_cases,14.381077131748953,27.071384029815466,myops_scar,12,0.5,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_scar_precision_edema_safe_longrun/subgroup_metrics_checkpoint_best.csv,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware
5,5.75,0.5382414476509874,0.0,gt_positive_only,14.381077131748953,27.071384029815466,myops_scar,12,0.5,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_scar_precision_edema_safe_longrun/subgroup_metrics_checkpoint_best.csv,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware
5,5.75,0.5382414476509874,0.0,LGE-only,14.381077131748953,27.071384029815466,myops_scar,12,0.5,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_scar_precision_edema_safe_longrun/subgroup_metrics_checkpoint_best.csv,m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware
4,0.0,1.0,1.0,all_cases,0.0,0.0,myops_edema,12,0.0,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_t2_centerC_edema_repair_longrun/subgroup_metrics_checkpoint_best.csv,m8_t2_centerC_edema_repair_longrun__checkpoint_best__argmax
4,0.0,1.0,1.0,LGE-only,0.0,0.0,myops_edema,12,0.0,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_t2_centerC_edema_repair_longrun/subgroup_metrics_checkpoint_best.csv,m8_t2_centerC_edema_repair_longrun__checkpoint_best__argmax
4,0.0,1.0,1.0,no_T2_empty_GT,0.0,0.0,myops_edema,12,0.0,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_t2_centerC_edema_repair_longrun/subgroup_metrics_checkpoint_best.csv,m8_t2_centerC_edema_repair_longrun__checkpoint_best__argmax
5,7.166666666666667,0.5334873964279128,0.0,all_cases,14.408764479612765,26.651344871682728,myops_scar,12,0.5833333333333334,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_t2_centerC_edema_repair_longrun/subgroup_metrics_checkpoint_best.csv,m8_t2_centerC_edema_repair_longrun__checkpoint_best__argmax
5,7.166666666666667,0.5334873964279128,0.0,gt_positive_only,14.408764479612765,26.651344871682728,myops_scar,12,0.5833333333333334,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_t2_centerC_edema_repair_longrun/subgroup_metrics_checkpoint_best.csv,m8_t2_centerC_edema_repair_longrun__checkpoint_best__argmax
5,7.166666666666667,0.5334873964279128,0.0,LGE-only,14.408764479612765,26.651344871682728,myops_scar,12,0.5833333333333334,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_t2_centerC_edema_repair_longrun/subgroup_metrics_checkpoint_best.csv,m8_t2_centerC_edema_repair_longrun__checkpoint_best__argmax
4,0.0,1.0,1.0,all_cases,0.0,0.0,myops_edema,12,0.0,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_t2_centerC_edema_repair_longrun/subgroup_metrics_checkpoint_best.csv,m8_t2_centerC_edema_repair_longrun__checkpoint_best__pathology_aware
4,0.0,1.0,1.0,LGE-only,0.0,0.0,myops_edema,12,0.0,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_t2_centerC_edema_repair_longrun/subgroup_metrics_checkpoint_best.csv,m8_t2_centerC_edema_repair_longrun__checkpoint_best__pathology_aware
4,0.0,1.0,1.0,no_T2_empty_GT,0.0,0.0,myops_edema,12,0.0,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_t2_centerC_edema_repair_longrun/subgroup_metrics_checkpoint_best.csv,m8_t2_centerC_edema_repair_longrun__checkpoint_best__pathology_aware
5,5.916666666666667,0.5341988372484342,0.0,all_cases,14.529217057316652,27.03204474824552,myops_scar,12,0.4166666666666667,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_t2_centerC_edema_repair_longrun/subgroup_metrics_checkpoint_best.csv,m8_t2_centerC_edema_repair_longrun__checkpoint_best__pathology_aware
5,5.916666666666667,0.5341988372484342,0.0,gt_positive_only,14.529217057316652,27.03204474824552,myops_scar,12,0.4166666666666667,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_t2_centerC_edema_repair_longrun/subgroup_metrics_checkpoint_best.csv,m8_t2_centerC_edema_repair_longrun__checkpoint_best__pathology_aware
5,5.916666666666667,0.5341988372484342,0.0,LGE-only,14.529217057316652,27.03204474824552,myops_scar,12,0.4166666666666667,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/variants/m8_t2_centerC_edema_repair_longrun/subgroup_metrics_checkpoint_best.csv,m8_t2_centerC_edema_repair_longrun__checkpoint_best__pathology_aware
