method,transform_family,case_id,center,fixed_frame,moving_frame,available_nonreference_prediction_frames,requested_pairs_per_case,pair_limit_reason,before_myocardium_dice,after_myocardium_dice,before_lv_dice,after_lv_dice,before_myocardium_hd95,after_myocardium_hd95,before_lv_hd95,after_lv_hd95,image_ncc_before,image_ncc_after,displacement_mean,displacement_p95,displacement_max,jacobian_fold_voxels,registration_metric,iterations,runtime_seconds,failure_reason,m7_continued_decision,module_available
SimpleITK_Demons,dense_displacement,Case1003,center_alpha,0,6,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.608413948256468,0.7828228842310732,0.49448785186770844,0.8336227308602999,7.030608201026891,4.817908763885498,11.508534479141236,6.0,0.9093693636810446,EVIDENCE_NOT_FOUND,1.5917587280273438,4.492151498794556,15.725703239440918,21135,0.000293772433018352,40,0.8880297570140101,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
ANTsPy_SyNOnly,SyNOnly_dense_displacement,Case1003,center_alpha,0,6,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.608413948256468,0.608413948256468,0.49448785186770844,0.49448785186770844,7.030608201026891,7.030608201026891,11.508534479141236,11.508534479141236,0.9093693636810446,EVIDENCE_NOT_FOUND,,,,,,25,0.33791653299704194,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
frame0_identity_control,identity_reference_control,Case1003,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999999,EVIDENCE_NOT_FOUND,,,,,,,0.0,reference-frame control row; not a non-reference registration method,NOT_USABLE_REFERENCE_CONTROL,
SimpleITK_Demons,dense_displacement,Case1003,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.770304512113803,0.8378652410360402,0.7632490474541046,0.8891015998906058,4.213151931762695,2.612865447998047,5.842581272125244,3.305063009262085,0.9560001476033765,EVIDENCE_NOT_FOUND,1.0932068824768066,3.126867949962616,16.229543685913086,11805,9.634833045931637e-05,40,0.8905518290121108,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
ANTsPy_SyNOnly,SyNOnly_dense_displacement,Case1003,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.770304512113803,0.770304512113803,0.7632490474541046,0.7632490474541046,4.213151931762695,4.213151931762695,5.842581272125244,5.842581272125244,0.9560001476033765,EVIDENCE_NOT_FOUND,,,,,,25,0.342206139001064,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
frame0_identity_control,identity_reference_control,Case1004,center_alpha,0,10,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,EVIDENCE_NOT_FOUND,,,,,,,0.0,reference-frame control row; not a non-reference registration method,NOT_USABLE_REFERENCE_CONTROL,
SimpleITK_Demons,dense_displacement,Case1004,center_alpha,0,10,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.7213228035538006,0.45965616764964234,0.8151867998454831,0.7681451612903226,4.674072265625,6.292642378807068,8.179611206054688,9.2178127288818,0.9567537249628227,EVIDENCE_NOT_FOUND,3.6980905532836914,9.399183654785157,23.223970413208008,55272,0.008493961968062886,40,0.8541269899578765,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
ANTsPy_SyNOnly,SyNOnly_dense_displacement,Case1004,center_alpha,0,10,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.7213228035538006,0.7213228035538006,0.8151867998454831,0.8151867998454831,4.674072265625,4.674072265625,8.179611206054688,8.179611206054688,0.9567537249628227,EVIDENCE_NOT_FOUND,,,,,,25,0.3104115729802288,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
frame0_identity_control,identity_reference_control,Case1004,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,EVIDENCE_NOT_FOUND,,,,,,,0.0,reference-frame control row; not a non-reference registration method,NOT_USABLE_REFERENCE_CONTROL,
SimpleITK_Demons,dense_displacement,Case1004,center_alpha,0,15,2,3,ONLY_2_NONREFERENCE_CINEMA_PREDICTIONS_AVAILABLE_FOR_REQUESTED_3,0.774356896900952,0.7798855766335441,0.8561840843720039,0.8775837952649848,3.695164203643799,3.695178508758545,5.8425750732421875,4.817908763885498,0.9691667251591927,EVIDENCE_NOT_FOUND,2.102278709411621,4.964808011054991,12.680498123168945,30587,0.0016094543968421002,40,0.8577827169792727,,NOT_USABLE_FOR_TEMPORAL_DICTIONARY,
