class_name,status,proposal_seed_voxels,roi_threshold_fraction,crop_volume_ratio,is_full_volume_crop,crop_bounds_zyx,crop_mask_voxels,residual_abs_mean,evidence_status
scar,PASS,32,0.00390625,0.046875,False,0;6;10;18;10;18,384,0.012229003943502903,synthetic_bounded_crop_runtime
edema,PASS,32,0.00390625,0.08544921875,False,0;7;9;19;9;19,700,0.016611862927675247,synthetic_bounded_crop_runtime
