variant,class_id,metric_name,group,n,dice_mean,hd_mean,hd95_mean,component_count_mean,remote_fp_mean,empty_prediction_rate,source_variant,ablation_id
best_conditional_control,4,myops_edema,all_cases,44,0.29011343886609364,104.86990369719896,81.85939535141786,60.65909090909091,48.65909090909091,0.25,conditional_dualhead_control,B0
best_conditional_control,4,myops_edema,gt_positive_only,16,0.11031195688175752,176.96796248902325,138.13772965551766,159.6875,126.6875,0.0,conditional_dualhead_control,B0
best_conditional_control,4,myops_edema,t2_present,16,0.11031195688175752,176.96796248902325,138.13772965551766,159.6875,126.6875,0.0,conditional_dualhead_control,B0
best_conditional_control,4,myops_edema,complete_modality,16,0.11031195688175752,176.96796248902325,138.13772965551766,159.6875,126.6875,0.0,conditional_dualhead_control,B0
best_conditional_control,4,myops_edema,CenterB,7,0.2135202428369816,177.32452400191121,128.6565209052719,114.71428571428571,75.0,0.0,conditional_dualhead_control,B0
best_conditional_control,4,myops_edema,CenterC,9,0.030038845583249898,176.69063686788817,145.51200312793102,194.66666666666666,166.88888888888889,0.0,conditional_dualhead_control,B0
best_conditional_control,4,myops_edema,C0+LGE,4,0.25,0.0,0.0,5.5,5.5,0.25,conditional_dualhead_control,B0
best_conditional_control,4,myops_edema,LGE-only,24,0.4166666666666667,0.0,0.0,3.8333333333333335,3.8333333333333335,0.4166666666666667,conditional_dualhead_control,B0
best_conditional_control,4,myops_edema,no_T2_empty_GT,28,0.39285714285714285,0.0,0.0,4.071428571428571,4.071428571428571,0.39285714285714285,conditional_dualhead_control,B0
best_conditional_control,5,myops_scar,all_cases,44,0.0581369138129236,169.75105067615783,113.44915153919219,190.72727272727272,139.8181818181818,0.0,conditional_dualhead_control,B0
best_conditional_control,5,myops_scar,gt_positive_only,43,0.05948893506438695,169.75105067615783,113.44915153919219,192.32558139534885,140.2325581395349,0.0,conditional_dualhead_control,B0
best_conditional_control,5,myops_scar,t2_present,16,0.1233858046529162,176.0644115214122,134.1515657992483,177.375,145.0,0.0,conditional_dualhead_control,B0
best_conditional_control,5,myops_scar,complete_modality,16,0.1233858046529162,176.0644115214122,134.1515657992483,177.375,145.0,0.0,conditional_dualhead_control,B0
best_conditional_control,5,myops_scar,CenterB,7,0.053176627455053756,174.6165889877711,124.92900789471669,72.28571428571429,51.0,0.0,conditional_dualhead_control,B0
best_conditional_control,5,myops_scar,CenterC,9,0.17799294247347588,177.19049571424418,141.32466639166176,259.1111111111111,218.11111111111111,0.0,conditional_dualhead_control,B0
best_conditional_control,5,myops_scar,C0+LGE,4,0.08187730286210845,170.7978741828678,136.18359705126687,270.0,224.25,0.0,conditional_dualhead_control,B0
best_conditional_control,5,myops_scar,LGE-only,24,0.010680921744731068,165.4112905076495,96.80573634347878,186.41666666666666,122.29166666666667,0.0,conditional_dualhead_control,B0
best_conditional_control,5,myops_scar,no_T2_empty_GT,1,0.0,,,122.0,122.0,0.0,conditional_dualhead_control,B0
best_srr_recovered,4,myops_edema,all_cases,44,0.27463882317995003,88.9728404782535,59.48467295598383,17.886363636363637,13.545454545454545,0.25,srr_expert_dropout,B1
best_srr_recovered,4,myops_edema,gt_positive_only,16,0.1927567637448626,146.1696664999879,97.72481985625915,34.5625,22.625,0.125,srr_expert_dropout,B1
best_srr_recovered,4,myops_edema,t2_present,16,0.1927567637448626,146.1696664999879,97.72481985625915,34.5625,22.625,0.125,srr_expert_dropout,B1
best_srr_recovered,4,myops_edema,complete_modality,16,0.1927567637448626,146.1696664999879,97.72481985625915,34.5625,22.625,0.125,srr_expert_dropout,B1
best_srr_recovered,4,myops_edema,CenterB,7,0.353197889936981,134.20962232691173,74.18288745254172,25.0,14.428571428571429,0.0,srr_expert_dropout,B1
best_srr_recovered,4,myops_edema,CenterC,9,0.06796922115099278,158.12971067306407,121.26675225997658,42.0,29.0,0.2222222222222222,srr_expert_dropout,B1
best_srr_recovered,4,myops_edema,C0+LGE,4,0.0,,,36.75,36.75,0.0,srr_expert_dropout,B1
best_srr_recovered,4,myops_edema,LGE-only,24,0.375,0.0,0.0,3.625,3.625,0.375,srr_expert_dropout,B1
best_srr_recovered,4,myops_edema,no_T2_empty_GT,28,0.32142857142857145,0.0,0.0,8.357142857142858,8.357142857142858,0.32142857142857145,srr_expert_dropout,B1
best_srr_recovered,5,myops_scar,all_cases,44,0.09230958402923188,165.3667058224605,127.03165757912724,92.95454545454545,71.63636363636364,0.045454545454545456,srr_expert_dropout,B1
best_srr_recovered,5,myops_scar,gt_positive_only,43,0.0944563185415396,165.3667058224605,127.03165757912724,93.93023255813954,72.11627906976744,0.046511627906976744,srr_expert_dropout,B1
