mode,total_step,pathology,group,case_count,metric_case_count,anchor_dice_mean,srr_dice_mean,dice_delta_mean,anchor_hd95_mean,srr_hd95_mean,hd95_delta_mean,anchor_remote_fp_volume_mm3_mean,srr_remote_fp_volume_mm3_mean,remote_fp_delta_mm3_mean,changed_voxels_vs_anchor_mean,evidence_source
anchor_identity,0,myops_edema,all_cases,44,44,0.7797948718832686,0.7797948718832686,0.0,7.276922314931449,7.276922314931449,0.0,86.19135076349431,86.19135076349431,0.0,0.0,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
anchor_identity,0,myops_scar,all_cases,44,44,0.5601692281262312,0.5601692281262312,0.0,13.600533414596173,13.600533414596173,0.0,620.3619700074735,620.3619700074735,0.0,0.0,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
full_learned,0,myops_edema,all_cases,44,44,0.7797948718832686,0.7818386288640397,0.0020437569807709734,7.276922314931449,7.168427530496185,-0.10849478443526443,86.19135076349431,92.6557106665135,6.464359903019176,73.13636363636364,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
full_learned,0,myops_scar,all_cases,44,44,0.5601692281262312,0.5552428713957404,-0.004926356730490792,13.600533414596173,14.149882443586792,0.549349028990618,620.3619700074735,558.8263838533835,-61.535586154090055,136.04545454545453,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
learned_source_gate_one,0,myops_edema,all_cases,44,44,0.7797948718832686,0.7803192664543327,0.0005243945710639852,7.276922314931449,7.171393499835897,-0.10552881509555134,86.19135076349431,92.24230216242158,6.050951398927261,92.56818181818181,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
learned_source_gate_one,0,myops_scar,all_cases,44,44,0.5601692281262312,0.5535981907379223,-0.006571037388309004,13.600533414596173,13.938990791967921,0.33845737737174775,620.3619700074735,538.8944864502502,-81.46748355722336,191.9318181818182,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
no_anchor_diagnostic,0,myops_edema,all_cases,44,44,0.7797948718832686,0.6996320911063063,-0.08016278077696226,6.135846653211869,14.58596458903314,8.450117935821272,86.19135076349431,178.71608763305878,92.52473686956445,522.1136363636364,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
no_anchor_diagnostic,0,myops_scar,all_cases,44,44,0.5601692281262312,0.23821252996477568,-0.3219566981614555,11.53530835518721,63.24668731074454,51.71137895555732,620.3619700074735,1043.941310611095,423.57934060362163,1908.659090909091,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
production_gate_closed,0,myops_edema,all_cases,44,44,0.7797948718832686,0.7797948718832686,0.0,7.276922314931449,7.276922314931449,0.0,86.19135076349431,86.19135076349431,0.0,0.0,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
production_gate_closed,0,myops_scar,all_cases,44,44,0.5601692281262312,0.5601692281262312,0.0,13.600533414596173,13.600533414596173,0.0,620.3619700074735,620.3619700074735,0.0,0.0,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
production_gate_one,0,myops_edema,all_cases,44,44,0.7797948718832686,0.7806532796901128,0.0008584078068441651,7.276922314931449,7.16666722098229,-0.1102550939491596,86.19135076349431,91.39667302039817,5.205322256903853,89.0,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
production_gate_one,0,myops_scar,all_cases,44,44,0.5601692281262312,0.5543438034515747,-0.0058254246746564705,13.600533414596173,13.835305021646025,0.23477160704985384,620.3619700074735,554.7017136039861,-65.66025640348738,169.61363636363637,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
proposal_only_gate_one,0,myops_edema,all_cases,44,44,0.7797948718832686,0.7807084448610364,0.0009135729777678144,7.276922314931449,7.197124849103336,-0.07979746582811277,86.19135076349431,89.62398717778895,3.432636414294627,81.68181818181819,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
proposal_only_gate_one,0,myops_scar,all_cases,44,44,0.5601692281262312,0.5540469194755717,-0.006122308650659422,13.600533414596173,13.758985105319203,0.15845169072303408,620.3619700074735,596.2442593447369,-24.117710662736577,128.54545454545453,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
prototype_maps_off,0,myops_edema,all_cases,44,44,0.7797948718832686,0.7815712045889769,0.0017763327057082655,7.276922314931449,7.157826798418594,-0.1190955165128542,86.19135076349431,92.14833318129945,5.956982417805131,71.8409090909091,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
prototype_maps_off,0,myops_scar,all_cases,44,44,0.5601692281262312,0.5553344717264351,-0.004834756399796043,13.600533414596173,14.131899145388374,0.5313657307922015,620.3619700074735,559.2512023647531,-61.11076764272037,132.95454545454547,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
refiner_only_gate_one,0,myops_edema,all_cases,44,44,0.7797948718832686,0.781282442817735,0.0014875709344663117,7.276922314931449,7.1840583878872515,-0.09286392704419753,86.19135076349431,93.63288721330031,7.441536449805991,87.79545454545455,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
refiner_only_gate_one,0,myops_scar,all_cases,44,44,0.5601692281262312,0.55437968733428,-0.005789540791951166,13.600533414596173,14.104411492515728,0.5038780779195575,620.3619700074735,534.0399304283075,-86.322039579166,194.1818181818182,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
semantic_negative_memory_off,0,myops_edema,all_cases,44,44,0.7797948718832686,0.7820651793886598,0.0022703075053912285,7.276922314931449,7.170489996874665,-0.10643231805678276,86.19135076349431,92.14833318129945,5.956982417805131,71.25,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
semantic_negative_memory_off,0,myops_scar,all_cases,44,44,0.5601692281262312,0.5552316720631546,-0.0049375560630765735,13.600533414596173,14.043879230644517,0.4433458160483464,620.3619700074735,560.000963691751,-60.36100631572251,132.77272727272728,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
zero_anchor_confirmation_context,0,myops_edema,all_cases,44,44,0.7797948718832686,0.7824160798764951,0.002621207993226629,7.276922314931449,7.181218266333342,-0.09570404859810738,86.19135076349431,89.38595229136263,3.194601527868312,74.93181818181819,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
zero_anchor_confirmation_context,0,myops_scar,all_cases,44,44,0.5601692281262312,0.5519875578088107,-0.008181670317420535,13.600533414596173,14.023893969702922,0.42336055510674603,620.3619700074735,532.8739082682562,-87.48806173921726,200.70454545454547,results/20260721_srr_batch7_mechanism_closure_repair/intervention_summary.csv
