case_id,center,stage_id,stage_name,evidence_source,checkpoint_scope,edema_reliable,prediction_voxels_myo,prediction_voxels_lv,prediction_voxels_rv,prediction_voxels_pure_edema,prediction_voxels_scar,notes,myo_dice,lv_dice,rv_dice,pure_edema_dice,scar_dice,lesion_union_dice
Case1002,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,4289,1043,2540,10490,3308,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.1461479113854293,0.11021319171861772,0.0,,0.1154562383612663,0.17831021437578815
Case1002,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,4289,1043,2540,10490,3308,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.1461479113854293,0.11021319171861772,0.0,,0.1154562383612663,0.17831021437578815
Case1007,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,15611,8199,10866,29996,4969,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.3731189899434779,0.3882055085287574,0.0,,0.24926450922706606,0.0841116507445162
Case1007,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,15611,8199,10866,29996,4969,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.3731189899434779,0.3882055085287574,0.0,,0.24926450922706606,0.0841116507445162
Case1009,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,6684,6937,3842,19997,6897,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.05788212745567801,0.35066942991545774,0.0,,0.08628378993355784,0.14033049315775883
Case1009,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,6684,6937,3842,19997,6897,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.05788212745567801,0.35066942991545774,0.0,,0.08628378993355784,0.14033049315775883
Case1010,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,3801,1616,2593,17399,3980,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.3326016785022595,0.05627586206896552,0.0,,0.2520026702269693,0.13030652815185328
Case1010,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,3801,1616,2593,17399,3980,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.3326016785022595,0.05627586206896552,0.0,,0.2520026702269693,0.13030652815185328
Case1021,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,7019,7109,4830,7397,1937,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.21095996890788962,0.5416336241078509,0.0,,0.3915743991358358,0.20414414414414414
Case1021,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,7019,7109,4830,7397,1937,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.21095996890788962,0.5416336241078509,0.0,,0.3915743991358358,0.20414414414414414
Case1023,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,10812,3436,8706,26972,2872,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.05588966764639385,0.10438916178101727,0.0,,0.06664127951256664,0.06243793445878848
Case1023,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,10812,3436,8706,26972,2872,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.05588966764639385,0.10438916178101727,0.0,,0.06664127951256664,0.06243793445878848
Case1029,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,7819,490,3468,41013,5995,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.30072284384592535,0.022701635645798083,0.0,,0.0012158054711246201,0.002017103355535478
Case1029,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,7819,490,3468,41013,5995,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.30072284384592535,0.022701635645798083,0.0,,0.0012158054711246201,0.002017103355535478
Case1033,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,5135,1816,4865,40179,8696,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.12011957604855512,0.017105713308244955,0.0,,0.09626672927917351,0.1056726338847345
Case1033,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,5135,1816,4865,40179,8696,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.12011957604855512,0.017105713308244955,0.0,,0.09626672927917351,0.1056726338847345
Case1040,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,3358,783,3701,22622,4901,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.08546788518470845,0.039651156492064354,0.0,,0.11125265392781317,0.08434668373362078
Case1040,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,3358,783,3701,22622,4901,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.08546788518470845,0.039651156492064354,0.0,,0.11125265392781317,0.08434668373362078
Case1042,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,3787,2326,2185,6484,1944,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.09726918075422626,0.0,0.0,,0.06666666666666667,0.04156845939575744
Case1042,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,3787,2326,2185,6484,1944,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.09726918075422626,0.0,0.0,,0.06666666666666667,0.04156845939575744
Case1045,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,6238,1227,1078,22869,1160,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.09071626692772067,0.04174651680737557,0.0,,0.06570996978851963,0.09969824038876043
Case1045,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,6238,1227,1078,22869,1160,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.09071626692772067,0.04174651680737557,0.0,,0.06570996978851963,0.09969824038876043
Case1047,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,10786,2446,8338,28836,7686,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.43965590665190357,0.1393549472267777,0.0,,0.4432244614315497,0.23638550872160274
Case1047,CenterA,M1,clean pathology-specific checkpoint,existing_clean_oof_held_out_gt,oof_fold0,0,10786,2446,8338,28836,7686,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.43965590665190357,0.1393549472267777,0.0,,0.4432244614315497,0.23638550872160274
Case1053,CenterA,M0,clean single checkpoint raw,existing_clean_oof_held_out_gt,oof_fold0,0,4989,2810,3064,13871,994,"Existing OOF clean MoSAIC evidence: covered once, trained_on_case=false.",0.07139255823333669,0.21055468707886368,0.0,,0.11735941320293398,0.053154058808745915
