model_id,experiment_id,artifact_type,path,sha256,size_bytes,binding_status
BATCH0_3_SRR_V2_ANCHOR_CONTROL,srr_production_anchor_bounded_controls,checkpoint,results/srr_production/inference/runtime_checkpoints/anchor_bounded_srr_correction_zero_step_diagnostic.pth,BOUND_SIZE_ONLY_FOR_PACKET_RUNTIME,631495,BOUND
BATCH0_3_SRR_V2_ANCHOR_CONTROL,srr_production_anchor_bounded_controls,checkpoint,results/srr_production/inference/runtime_checkpoints/anchor_identity_control_zero_step_diagnostic.pth,BOUND_SIZE_ONLY_FOR_PACKET_RUNTIME,621659,BOUND
BATCH0_3_SRR_V2_ANCHOR_CONTROL,srr_production_anchor_bounded_controls,checkpoint,results/srr_production/inference/runtime_checkpoints/srr_no_anchor_control_zero_step_diagnostic.pth,BOUND_SIZE_ONLY_FOR_PACKET_RUNTIME,620663,BOUND
BATCH7_BR2_SIP,batch7_minimal_pathology_decomposition_and_repair,checkpoint,results/20260721_srr_batch7_mechanism_closure_repair/runtime/assets/semantic_memory.pt,BOUND_SIZE_ONLY_FOR_PACKET_RUNTIME,108469,BOUND
BATCH7_BR2_SIP,batch7_minimal_pathology_decomposition_and_repair,checkpoint,results/20260721_srr_batch7_mechanism_closure_repair/runtime/checkpoint_roundtrip/batch7_repair_roundtrip.pt,BOUND_SIZE_ONLY_FOR_PACKET_RUNTIME,369855097,BOUND
BATCH7_BR2_SIP,batch7_minimal_pathology_decomposition_and_repair,checkpoint,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/checkpoints/fold_0/propref_config/checkpoint_best.pt,BOUND_SIZE_ONLY_FOR_PACKET_RUNTIME,370852189,BOUND
BATCH7_BR2_SIP,batch7_minimal_pathology_decomposition_and_repair,checkpoint,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/checkpoints/fold_0/propref_config/checkpoint_final.pt,BOUND_SIZE_ONLY_FOR_PACKET_RUNTIME,370853597,BOUND
BATCH7_BR2_SIP,batch7_minimal_pathology_decomposition_and_repair,checkpoint,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/checkpoints/fold_0/propref_config/checkpoint_validation_step_120.pt,BOUND_SIZE_ONLY_FOR_PACKET_RUNTIME,370874397,BOUND
BATCH7_BR2_SIP,batch7_minimal_pathology_decomposition_and_repair,checkpoint,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/checkpoints/fold_0/propref_config/checkpoint_validation_step_200.pt,BOUND_SIZE_ONLY_FOR_PACKET_RUNTIME,370874397,BOUND
BATCH7_BR2_SIP,batch7_minimal_pathology_decomposition_and_repair,checkpoint,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal/attempts/batch7_repair_proposal_htzhulab_59828884/variants/batch7_repair_proposal_htzhulab_59828884/checkpoints/fold_0/propref_config/checkpoint_validation_step_360.pt,BOUND_SIZE_ONLY_FOR_PACKET_RUNTIME,370874397,BOUND
