pdf,page,image_width_px,image_height_px,x_ppi,y_ppi,estimated_width_pt,estimated_height_pt,page_width_pt,page_height_pt,right_overflow_pt,bottom_overflow_pt,status,notes
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,17,1800,3400,262.0,262.0,494.656,934.351,595.28,841.89,0.0,92.461,FAIL_HEIGHT_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,18,2182,1595,250.0,250.0,628.416,459.36,595.28,841.89,33.136,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,18,2182,1595,250.0,250.0,628.416,459.36,595.28,841.89,33.136,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,19,2182,1595,250.0,250.0,628.416,459.36,595.28,841.89,33.136,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,19,2182,1595,250.0,250.0,628.416,459.36,595.28,841.89,33.136,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,20,2182,1595,250.0,250.0,628.416,459.36,595.28,841.89,33.136,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,20,2182,1595,250.0,250.0,628.416,459.36,595.28,841.89,33.136,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,21,2182,1595,250.0,250.0,628.416,459.36,595.28,841.89,33.136,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,21,2182,1595,250.0,250.0,628.416,459.36,595.28,841.89,33.136,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,22,2098,1595,250.0,250.0,604.224,459.36,595.28,841.89,8.944,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,22,2098,1595,250.0,250.0,604.224,459.36,595.28,841.89,8.944,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,23,2155,1595,250.0,250.0,620.64,459.36,595.28,841.89,25.36,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,23,2155,1595,250.0,250.0,620.64,459.36,595.28,841.89,25.36,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,24,2185,1595,250.0,250.0,629.28,459.36,595.28,841.89,34.0,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,24,2185,1595,250.0,250.0,629.28,459.36,595.28,841.89,34.0,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,25,2174,1595,250.0,250.0,626.112,459.36,595.28,841.89,30.832,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,25,2174,1595,250.0,250.0,626.112,459.36,595.28,841.89,30.832,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,26,2182,1595,250.0,250.0,628.416,459.36,595.28,841.89,33.136,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,26,2182,1595,250.0,250.0,628.416,459.36,595.28,841.89,33.136,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,27,2213,1595,250.0,250.0,637.344,459.36,595.28,841.89,42.064,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,27,2213,1595,250.0,250.0,637.344,459.36,595.28,841.89,42.064,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,28,2199,1595,250.0,250.0,633.312,459.36,595.28,841.89,38.032,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,28,2199,1595,250.0,250.0,633.312,459.36,595.28,841.89,38.032,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,29,2188,1595,250.0,250.0,630.144,459.36,595.28,841.89,34.864,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,29,2188,1595,250.0,250.0,630.144,459.36,595.28,841.89,34.864,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,30,2216,1595,250.0,250.0,638.208,459.36,595.28,841.89,42.928,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,30,2216,1595,250.0,250.0,638.208,459.36,595.28,841.89,42.928,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,31,2171,1595,250.0,250.0,625.248,459.36,595.28,841.89,29.968,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,31,2171,1595,250.0,250.0,625.248,459.36,595.28,841.89,29.968,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,32,2150,1595,250.0,250.0,619.2,459.36,595.28,841.89,23.92,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,32,2150,1595,250.0,250.0,619.2,459.36,595.28,841.89,23.92,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,33,2190,1595,250.0,250.0,630.72,459.36,595.28,841.89,35.44,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,33,2190,1595,250.0,250.0,630.72,459.36,595.28,841.89,35.44,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf,34,2185,1595,250.0,250.0,629.28,459.36,595.28,841.89,34.0,0.0,FAIL_WIDTH_EXCEEDS_PAGE,A3/landscape atlas rebuild required
