case_rows,empty_prediction_rate,mean_baseline_dice,mean_dice,mean_dice_delta_vs_standard_nnunet,mean_hd95,mean_remote_fp_volume_mm3,pathology,seed,subgroup,variant,evidence_source
44,0.6363636363636364,0.3944358976789887,0.21986228508261313,-0.17457361259637555,42.27717934372492,3103.574805442544,edema,20260723,all_cases,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
16,0.0,0.3944358976789887,0.21986228508261313,-0.17457361259637555,116.26224319524353,8534.830714966996,edema,20260723,positive_gt,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
16,0.0,0.3944358976789887,0.21986228508261313,-0.17457361259637555,116.26224319524353,8534.830714966996,edema,20260723,complete_trimodal,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
7,0.0,0.5029744773313501,0.37566149867238263,-0.12731297865896746,109.71210019814647,7207.417108390543,edema,20260723,CenterB,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
9,0.0,0.3100170023938187,0.09868511895723682,-0.21133188343658182,121.35679885965234,9567.263520082019,edema,20260723,CenterC,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
24,1.0,,,,0.0,0.0,edema,20260723,lge_only,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
4,1.0,,,,0.0,0.0,edema,20260723,lge_c0,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
0,,,,,,,edema,20260723,small_scar,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
0,,,,,,,edema,20260723,large_scar,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
10,0.0,0.2782908961049526,0.07016488446394242,-0.20812601164101013,126.44983838262824,10844.957364211663,edema,20260723,low_baseline,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
6,0.0,0.5880109003023821,0.46935795278039755,-0.11865294752198452,99.28291788293569,4684.619632892559,edema,20260723,high_baseline,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
44,0.0,0.5601692281262312,0.2784772693066108,-0.28169195881962034,70.9654765695827,4020.4285381856853,scar,20260723,all_cases,student_direct_reliable,results/20260722_care_myops_batch9_reliable_label_distillation/subgroup_metrics.csv
