source,page,right_overflow_pt,bottom_overflow_pt,status,v4_pdf_bbox_checked
V3_PDF_CLIPPING_AUDIT,17,0.0,92.461,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,18,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,18,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,19,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,19,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,20,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,20,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,21,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,21,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,22,8.944,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,22,8.944,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,23,25.36,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,23,25.36,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,24,34.0,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,24,34.0,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,25,30.832,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,25,30.832,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,26,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,26,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,27,42.064,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,27,42.064,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,28,38.032,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,28,38.032,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,29,34.864,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,29,34.864,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,30,42.928,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,30,42.928,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,31,29.968,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,31,29.968,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,32,23.92,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,32,23.92,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,33,35.44,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,33,35.44,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,34,34.0,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,34,34.0,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,35,34.864,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,35,34.864,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,36,26.8,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,36,26.8,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,37,0.88,0.0,SOURCE_V3_GEOMETRY_ESTIMATE_PASS,False
V3_PDF_CLIPPING_AUDIT,37,0.88,0.0,SOURCE_V3_GEOMETRY_ESTIMATE_PASS,False
V3_PDF_CLIPPING_AUDIT,38,0.0,0.0,SOURCE_V3_GEOMETRY_ESTIMATE_PASS,False
V3_PDF_CLIPPING_AUDIT,38,0.0,0.0,SOURCE_V3_GEOMETRY_ESTIMATE_PASS,False
V3_PDF_CLIPPING_AUDIT,39,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,39,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,40,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,40,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,41,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,41,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,42,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,42,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,43,0.0,0.0,SOURCE_V3_GEOMETRY_ESTIMATE_PASS,False
V3_PDF_CLIPPING_AUDIT,43,0.0,0.0,SOURCE_V3_GEOMETRY_ESTIMATE_PASS,False
V3_PDF_CLIPPING_AUDIT,44,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,44,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,45,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,45,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,46,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,46,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,47,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,47,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,48,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,48,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,49,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,49,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,50,0.0,0.0,SOURCE_V3_GEOMETRY_ESTIMATE_PASS,False
V3_PDF_CLIPPING_AUDIT,50,0.0,0.0,SOURCE_V3_GEOMETRY_ESTIMATE_PASS,False
V3_PDF_CLIPPING_AUDIT,51,0.0,0.0,SOURCE_V3_GEOMETRY_ESTIMATE_PASS,False
V3_PDF_CLIPPING_AUDIT,51,0.0,0.0,SOURCE_V3_GEOMETRY_ESTIMATE_PASS,False
V3_PDF_CLIPPING_AUDIT,52,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,52,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,53,0.0,0.0,SOURCE_V3_GEOMETRY_ESTIMATE_PASS,False
V3_PDF_CLIPPING_AUDIT,53,0.0,0.0,SOURCE_V3_GEOMETRY_ESTIMATE_PASS,False
V3_PDF_CLIPPING_AUDIT,54,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,54,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,55,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,55,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,56,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,56,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,57,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
V3_PDF_CLIPPING_AUDIT,57,33.136,0.0,FAIL_SOURCE_V3_CLIPPED_REBUILD_REQUIRED,False
